"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-1,92,069"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl No."	"DAMODAR"	"NARESH"	"POONAM"	"RAJU"	"RASHID"	""	"PRADEEP"	"VINOD"	"ANIL"	"ASHOK"	"KAPIL DEO"	"DHARAMDE"	"BRAHMDEO"	"SHAM"	"SHARVAN"	"Total of"	"No. of"	"Total"	"No. of"	""
"6"	"of Polling Station"	"RAWAT"	"KUMAR"	"DEVI"	"YADAV"	"AHMAD"	""	"KUMAR
SINGH (AJPF)"	"PRASAD
YADAV (LJP)"	"KUMAR"	"KUMAR"	"MANDAL"	"O YADAV"	"YADAV"	"PRABHU
SHARAN SINGH"	"SINGH"	"valid votes"	"rejected votes"	""	"tendered votes"	""
"7"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"8"	"1"	"83"	"7"	"498"	"2"	"13"	""	"22"	"14"	"7"	"0"	"2"	"0"	"0"	"0"	"1"	"649"	"&"	"649"	"&"	""
"9"	"2"	"195"	"26"	"458"	"1"	"56"	""	"5"	"17"	"4"	"1"	"3"	"0"	"2"	"1"	"10"	"779"	"&"	"779"	"&"	""
"10"	"3"	"115"	"27"	"507"	"2"	"18"	""	"6"	"7"	"2"	"2"	"4"	"2"	"0"	"4"	"7"	"703"	"&"	"703"	"&"	""
"11"	"4"	"113"	"15"	"105"	"0"	"35"	""	"15"	"11"	"4"	"1"	"1"	"1"	"1"	"0"	"3"	"305"	"&"	"305"	"&"	""
"12"	"5"	"318"	"22"	"154"	"3"	"9"	""	"2"	"1"	"0"	"0"	"3"	"0"	"0"	"2"	"1"	"515"	"&"	"515"	"&"	""
"13"	"6"	"69"	"4"	"490"	"1"	"10"	""	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"595"	"&"	"595"	"&"	""
"14"	"7"	"281"	"19"	"78"	"6"	"16"	""	"1"	"5"	"3"	"3"	"4"	"0"	"1"	"1"	"9"	"427"	"&"	"427"	"&"	""
"15"	"8"	"80"	"4"	"67"	"10"	"53"	""	"1"	"27"	"4"	"1"	"2"	"1"	"0"	"2"	"0"	"252"	"&"	"252"	"&"	""
