"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly :- 90 - KEOTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"8"	"1"	"1"	"73"	"228"	"8"	"7"	"7"	"39"	"13"	"16"	"23"	"41"	"455"	"-"	"455"	""
"9"	"2"	"2"	"101"	"161"	"8"	"4"	"2"	"56"	"3"	"9"	"6"	"26"	"376"	"-"	"376"	""
"10"	"3"	"3"	"290"	"148"	"6"	"5"	"1"	"34"	"5"	"5"	"9"	"19"	"522"	"-"	"522"	""
"11"	"4"	"4"	"175"	"97"	"10"	"4"	"2"	"40"	"9"	"6"	"11"	"23"	"377"	"-"	"377"	""
"12"	"5"	"5"	"366"	"63"	"4"	"3"	"1"	"29"	"2"	"4"	"1"	"7"	"480"	"-"	"480"	""
"13"	"6"	"6"	"403"	"29"	"2"	"2"	"0"	"5"	"0"	"0"	"0"	"1"	"442"	"-"	"442"	""
"14"	"7"	"7"	"107"	"96"	"4"	"2"	"4"	"137"	"5"	"16"	"15"	"15"	"401"	"-"	"401"	""
"15"	"8"	"8"	"155"	"116"	"6"	"3"	"3"	"100"	"9"	"3"	"11"	"9"	"415"	"-"	"415"	""
"16"	"9"	"9"	"146"	"92"	"7"	"27"	"8"	"227"	"6"	"6"	"11"	"13"	"543"	"-"	"543"	""
"17"	"10"	"10"	"155"	"244"	"7"	"3"	"5"	"91"	"4"	"10"	"4"	"19"	"542"	"-"	"542"	""
"18"	"11"	"11"	"27"	"110"	"9"	"2"	"6"	"49"	"4"	"1"	"0"	"20"	"228"	"-"	"228"	""
"19"	"12"	"12"	"21"	"109"	"5"	"4"	"1"	"39"	"1"	"1"	"6"	"15"	"202"	"-"	"202"	""
"20"	"13"	"13"	"247"	"56"	"11"	"7"	"3"	"40"	"5"	"6"	"3"	"18"	"396"	"-"	"396"	""
"21"	"14"	"14"	"289"	"63"	"7"	"8"	"8"	"33"	"11"	"12"	"5"	"14"	"450"	"-"	"450"	""
"22"	"15"	"15"	"292"	"55"	"3"	"1"	"8"	"36"	"8"	"3"	"5"	"14"	"425"	"-"	"425"	""
"23"	"16"	"16"	"201"	"83"	"10"	"9"	"8"	"130"	"15"	"19"	"23"	"43"	"541"	"-"	"541"	""
"24"	"17"	"17"	"398"	"151"	"7"	"3"	"3"	"48"	"7"	"4"	"11"	"15"	"647"	"-"	"647"	""
"25"	"18"	"18"	"235"	"131"	"3"	"1"	"2"	"54"	"6"	"6"	"3"	"14"	"455"	"-"	"455"	""
"26"	"19"	"19"	"56"	"138"	"11"	"1"	"3"	"40"	"3"	"6"	"19"	"17"	"294"	"-"	"294"	""
"27"	"20"	"20"	"213"	"73"	"4"	"2"	"0"	"65"	"4"	"2"	"3"	"6"	"372"	"-"	"372"	""
"28"	"21"	"21"	"300"	"103"	"8"	"5"	"3"	"56"	"8"	"10"	"3"	"24"	"520"	"-"	"520"	""
"29"	"22"	"22"	"362"	"33"	"1"	"4"	"0"	"11"	"2"	"2"	"1"	"3"	"419"	"-"	"419"	""
"30"	"23"	"23"	"80"	"100"	"11"	"0"	"2"	"43"	"5"	"10"	"8"	"17"	"276"	"-"	"276"	""
"31"	"24"	"24"	"157"	"262"	"7"	"7"	"3"	"39"	"6"	"8"	"11"	"9"	"509"	"-"	"509"	""
"32"	"25"	"25"	"204"	"92"	"9"	"2"	"2"	"52"	"5"	"10"	"8"	"20"	"404"	"-"	"404"	""
"33"	"26"	"26"	"358"	"12"	"2"	"0"	"1"	"6"	"2"	"0"	"0"	"3"	"384"	"-"	"384"	""
"34"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"35"	""	""	"Ashok Ku.
Yadav"	"Md. Mohsin"	"Ram Vinod Paswan"	"Md. Jamaluddin"	"Majharul Haque"	"Mahesh Prasad Gupta"	"Mithilesh Kumar Yadav"	"Azhar Imam"	"Garibnath Paswan"	"Muzaffar Husain"	""	""	""	""
