"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"6"	"1"	"118"	"32"	"284"	"16"	"13"	"9"	"8"	"3"	"27"	"16"	"25"	"551"	""
"7"	"2"	"60"	"25"	"160"	"9"	"67"	"9"	"6"	"32"	"6"	"1"	"8"	"383"	""
"8"	"3"	"266"	"54"	"262"	"11"	"9"	"4"	"5"	"5"	"18"	"3"	"13"	"650"	""
"9"	"4"	"224"	"23"	"246"	"6"	"11"	"8"	"11"	"5"	"12"	"9"	"11"	"566"	""
"10"	"5"	"150"	"26"	"182"	"5"	"110"	"8"	"6"	"35"	"21"	"8"	"2"	"553"	""
"11"	"6"	"269"	"26"	"166"	"13"	"124"	"6"	"5"	"29"	"17"	"11"	"12"	"678"	""
"12"	"7"	"188"	"21"	"219"	"6"	"8"	"4"	"0"	"7"	"22"	"3"	"17"	"495"	""
"13"	"8"	"7"	"23"	"184"	"2"	"16"	"3"	"4"	"143"	"9"	"4"	"9"	"404"	""
"14"	"9"	"263"	"33"	"202"	"14"	"30"	"4"	"7"	"23"	"19"	"16"	"21"	"632"	""
"15"	"10"	"315"	"50"	"259"	"7"	"13"	"4"	"7"	"19"	"27"	"3"	"16"	"720"	""
"16"	"11"	"240"	"12"	"185"	"21"	"24"	"2"	"5"	"5"	"17"	"9"	"30"	"550"	""
"17"	"12"	"559"	"30"	"105"	"47"	"9"	"9"	"3"	"6"	"15"	"4"	"14"	"801"	""
"18"	"13"	"162"	"37"	"358"	"5"	"24"	"4"	"2"	"7"	"9"	"1"	"9"	"618"	""
"19"	"14"	"211"	"5"	"77"	"4"	"17"	"5"	"3"	"4"	"5"	"1"	"8"	"340"	""
"20"	";ksx"	"3032"	"397"	"2889"	"166"	"475"	"79"	"72"	"323"	"224"	"89"	"195"	"7941"	""
"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk {ks="	""	""
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"155 /kqjS;k ¼v0tk0½ fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"ernku dsUnz
la[;k"	"ujs'k nkl"	"czge nso
jtd"	"Hkqnso
pkS/kjh"	"ekfud nkl"	"tokgj yky
ikloku"	"Hktukjk;.k
nkl"	"xhrk 'kadj"	"fcgkjh yky
ikloku"	"jkts'k dqekj"	"jke:Ik gfjtu"	"lfPpnkuan
flag"	"erks dk ;ksx"	""
"32"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""
"33"	"15"	"60"	"12"	"305"	"5"	"6"	"0"	"3"	"0"	"4"	"2"	"5"	"402"	""
"34"	"16"	"142"	"25"	"310"	"39"	"58"	"5"	"7"	"6"	"17"	"6"	"15"	"630"	""
"35"	"17"	"284"	"18"	"170"	"5"	"20"	"5"	"10"	"3"	"19"	"5"	"12"	"551"	""
"36"	"18"	"397"	"37"	"254"	"30"	"18"	"3"	"7"	"5"	"16"	"28"	"23"	"818"	""
"37"	"19"	"180"	"31"	"225"	"3"	"33"	"11"	"2"	"9"	"16"	"3"	"8"	"521"	""
"38"	"20"	"260"	"50"	"346"	"8"	"22"	"11"	"6"	"6"	"20"	"9"	"17"	"755"	""
"39"	"21"	"195"	"13"	"145"	"6"	"48"	"4"	"1"	"6"	"5"	"0"	"0"	"423"	""
"40"	"22"	"91"	"26"	"50"	"2"	"13"	"0"	"1"	"2"	"1"	"9"	"0"	"195"	""
"41"	"23"	"194"	"35"	"286"	"14"	"11"	"7"	"14"	"4"	"13"	"5"	"24"	"607"	""
"42"	"24"	"160"	"28"	"273"	"9"	"3"	"2"	"7"	"1"	"9"	"2"	"6"	"500"	""
"43"	"25"	"113"	"18"	"363"	"14"	"18"	"9"	"179"	"6"	"12"	"5"	"14"	"751"	""
"44"	"26"	"108"	"14"	"493"	"4"	"5"	"1"	"8"	"3"	"7"	"3"	"4"	"650"	""
"45"	"27"	"54"	"17"	"211"	"10"	"36"	"4"	"10"	"6"	"7"	"1"	"2"	"358"	""
"46"	"28"	"148"	"38"	"323"	"58"	"19"	"4"	"22"	"7"	"21"	"25"	"17"	"682"	""
