"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Rejecte.d.Votes"	"Total"	"No..Tender.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"4"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"5"	"1"	6	88	11	216	7	2	3	0	7	6	0	12	"358"	"0"	"358"	"0"
"6"	"2"	57	149	51	276	12	11	16	9	12	4	6	21	"624"	"0"	"624"	"0"
"7"	"3"	26	59	106	354	5	1	16	0	0	1	1	8	"577"	"0"	"577"	"0"
"8"	"4"	23	177	71	249	22	7	15	6	28	5	1	24	"628"	"0"	"628"	"0"
"9"	"5"	6	83	15	505	0	2	9	4	6	4	2	8	"644"	"0"	"644"	"0"
"10"	"6"	12	71	136	141	9	8	6	9	10	11	6	48	"467"	"0"	"467"	"0"
"11"	"7"	12	187	55	80	9	12	10	8	8	7	5	21	"414"	"0"	"414"	"0"
"12"	"8"	6	260	54	80	5	2	6	5	7	3	6	40	"474"	"0"	"474"	"0"
"13"	"9"	18	151	114	161	14	10	16	10	10	6	10	40	"560"	"0"	"560"	"0"
"14"	"10"	1	35	148	220	4	0	0	0	0	1	4	11	"424"	"0"	"424"	"0"
"15"	"11"	18	100	10	169	7	5	1	4	10	4	2	13	"343"	"0"	"343"	"0"
"16"	"12"	0	383	0	15	0	0	1	0	0	0	2	2	"403"	"0"	"403"	"0"
"17"	"13"	2	156	226	50	15	0	1	1	1	1	2	12	"467"	"0"	"467"	"0"
"18"	"14"	14	196	181	87	5	0	4	6	12	8	9	34	"556"	"0"	"556"	"0"
"19"	"15"	29	369	36	156	9	4	14	10	24	7	10	40	"708"	"0"	"708"	"0"
"20"	"16"	9	66	29	274	8	3	8	3	16	10	3	26	"455"	"0"	"455"	"0"
"21"	"17"	4	70	21	130	6	4	1	4	14	2	4	18	"278"	"0"	"278"	"0"
"22"	"18"	11	105	4	128	8	1	7	5	8	2	1	36	"316"	"0"	"316"	"0"
"23"	"19"	5	207	50	66	5	3	6	3	5	3	1	8	"362"	"0"	"362"	"0"
"24"	"20"	2	351	11	11	1	0	2	0	0	1	0	2	"381"	"0"	"381"	"0"
"25"	"21"	12	53	55	294	6	3	NA	NA	6	3	5	17	"459"	"0"	"459"	"0"
"26"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"27"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
"28"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"29"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"30"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	"14"	"15"	"16"	"17"
"31"	"22"	5	10	207	47	1	0	0	0	1	0	1	3	"275"	"0"	"275"	"0"
"32"	"23"	5	252	40	138	8	4	1	2	5	2	5	14	"476"	"0"	"476"	"0"
"33"	"24"	1	314	29	5	0	0	0	0	0	0	0	19	"368"	"0"	"368"	"0"
"34"	"25"	17	40	149	63	4	0	9	4	5	4	1	11	"307"	"0"	"307"	"0"
"35"	"26"	8	140	20	169	5	2	5	4	19	4	4	24	"404"	"0"	"404"	"0"
"36"	"27"	5	15	307	76	6	2	4	6	13	13	7	19	"473"	"0"	"473"	"0"
"37"	"28"	0	28	3	448	0	1	0	0	4	0	0	7	"491"	"0"	"491"	"0"
"38"	"29"	11	29	148	111	2	2	2	0	4	1	0	6	"316"	"0"	"316"	"0"
"39"	"30"	0	18	5	364	0	1	1	0	0	0	0	1	"390"	"0"	"390"	"0"
"40"	"31"	33	30	383	31	9	3	4	1	1	4	2	10	"511"	"0"	"511"	"0"
"41"	"32"	16	133	88	295	10	3	4	5	17	8	11	30	"620"	"0"	"620"	"0"
"42"	"33"	19	25	295	28	6	1	2	2	3	8	6	9	"404"	"0"	"404"	"0"
"43"	"34"	0	7	257	14	22	0	0	5	1	3	1	10	"320"	"0"	"320"	"0"
"44"	"35"	20	35	210	125	26	3	6	7	7	9	5	18	"471"	"0"	"471"	"0"
"45"	"36"	23	66	212	85	113	13	6	16	9	20	8	27	"598"	"0"	"598"	"0"
"46"	"37"	17	108	71	278	71	12	22	5	13	8	8	37	"650"	"0"	"650"	"0"
"47"	"38"	2	21	23	189	19	3	5	1	8	0	1	16	"288"	"0"	"288"	"0"
"48"	"39"	24	246	61	21	8	9	1	6	20	7	9	94	"506"	"0"	"506"	"0"
"49"	"40"	1	139	53	26	33	7	2	5	17	6	5	15	"309"	"0"	"309"	"0"
"50"	"41"	16	25	178	53	29	6	4	5	4	3	3	7	"333"	"0"	"333"	"0"
"51"	"42"	5	54	154	5	174	11	NA	NA	5	2	3	10	"427"	"0"	"427"	"0"
"52"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. Tender Votes"
"53"	""	1	2	3	4	5	6	7	8	9	10	11	12	""	""	""	""
