"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"5"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"6"	"1"	"241"	"13"	"153"	"10"	"24"	"6"	"10"	"27"	"484"	"0"	"484"	"0"
"7"	"2"	"213"	"19"	"300"	"3"	"11"	"6"	"3"	"8"	"563"	"0"	"563"	"0"
"8"	"3"	"471"	"16"	"116"	"4"	"9"	"4"	"2"	"11"	"633"	"0"	"633"	"0"
"9"	"4"	"198"	"13"	"136"	"6"	"14"	"6"	"7"	"7"	"387"	"0"	"387"	"0"
"10"	"5"	"135"	"19"	"266"	"11"	"19"	"25"	"4"	"22"	"501"	"0"	"501"	"0"
"11"	"6"	"183"	"10"	"179"	"11"	"8"	"5"	"4"	"7"	"407"	"0"	"407"	"0"
"12"	"7"	"130"	"9"	"368"	"16"	"11"	"28"	"10"	"21"	"593"	"0"	"593"	"0"
"13"	"8"	"134"	"13"	"119"	"11"	"23"	"8"	"4"	"2"	"314"	"0"	"314"	"0"
"14"	"9"	"258"	"20"	"303"	"13"	"22"	"12"	"9"	"14"	"651"	"0"	"651"	"0"
"15"	"10"	"210"	"9"	"155"	"2"	"52"	"13"	"3"	"15"	"459"	"0"	"459"	"0"
"16"	"11"	"119"	"13"	"223"	"5"	"11"	"15"	"10"	"18"	"414"	"0"	"414"	"0"
"17"	"12"	"110"	"9"	"163"	"12"	"8"	"7"	"5"	"11"	"325"	"0"	"325"	"0"
"18"	"13"	"132"	"1"	"143"	"9"	"17"	"7"	"2"	"3"	"314"	"0"	"314"	"0"
"19"	"14"	"199"	"7"	"163"	"14"	"25"	"11"	"4"	"9"	"432"	"0"	"432"	"0"
"20"	"Round
Total"	"2733"	"171"	"2787"	"127"	"254"	"153"	"77"	"175"	"6477"	"0"	"6477"	"0"
"21"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-2"	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"26"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
"27"	"15"	"66"	"6"	"209"	"5"	"3"	"7"	"3"	"15"	"314"	"0"	"314"	"0"
"28"	"16"	"209"	"14"	"128"	"5"	"10"	"6"	"3"	"11"	"386"	"0"	"386"	"0"
"29"	"17"	"344"	"15"	"41"	"4"	"9"	"2"	"5"	"22"	"442"	"0"	"442"	"0"
"30"	"18"	"193"	"16"	"185"	"12"	"32"	"20"	"7"	"16"	"481"	"0"	"481"	"0"
"31"	"19"	"137"	"6"	"392"	"16"	"12"	"20"	"5"	"23"	"611"	"0"	"611"	"0"
"32"	"20"	"55"	"1"	"86"	"2"	"5"	"6"	"2"	"5"	"162"	"0"	"162"	"0"
"33"	"21"	"350"	"10"	"135"	"5"	"25"	"10"	"4"	"15"	"554"	"0"	"554"	"0"
"34"	"22"	"103"	"16"	"270"	"14"	"13"	"12"	"5"	"7"	"440"	"0"	"440"	"0"
"35"	"23"	"160"	"24"	"239"	"19"	"13"	"26"	"16"	"36"	"533"	"0"	"533"	"0"
"36"	"24"	"195"	"19"	"211"	"7"	"15"	"19"	"11"	"12"	"489"	"0"	"489"	"0"
"37"	"25"	"107"	"8"	"337"	"9"	"6"	"22"	"11"	"27"	"527"	"0"	"527"	"0"
"38"	"26"	"408"	"30"	"214"	"5"	"16"	"15"	"8"	"13"	"709"	"0"	"709"	"0"
"39"	"27"	"55"	"5"	"281"	"4"	"17"	"3"	"2"	"2"	"369"	"0"	"369"	"0"
"40"	"28"	"323"	"12"	"270"	"10"	"25"	"8"	"3"	"7"	"658"	"0"	"658"	"0"
"41"	"Round
Total"	"2705"	"182"	"2998"	"117"	"201"	"176"	"85"	"211"	"6675"	"0"	"6675"	"0"
"42"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 32-Ziradei ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 32-Ziradeai"	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"Total No.of Electores in Assembly Constituency …………………….                                                  Round No.-3"	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"47"	"Booth No."	"AZAZUL HAQUE"	"SHANKAR PRASAD YADAV"	"SHYAM BAHADUR SINGH"	"NATHUNI PRASAD"	"NAUSHAD ALI FAROOQUI"	"AZHAR ALI NAWAJ ANSARI"	"NASIR KHAN"	"PREMCHAND TIWARI"	""	""	""	""
