"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"7"	"1"	"311"	"30"	"16"	"256"	"4"	"8"	"1"	"10"	"1"	"5"	"20"	"28"	"7"	"4"	"13"	"714"	"0"	"714"	"0"	""
"8"	"2"	"144"	"127"	"54"	"308"	"9"	"3"	"9"	"12"	"5"	"3"	"32"	"26"	"10"	"2"	"29"	"773"	"0"	"773"	"0"	""
"9"	"3"	"160"	"96"	"33"	"420"	"13"	"10"	"1"	"9"	"56"	"4"	"11"	"5"	"0"	"2"	"2"	"822"	"0"	"822"	"0"	""
"10"	"4"	"108"	"15"	"94"	"304"	"31"	"10"	"6"	"13"	"16"	"9"	"87"	"25"	"7"	"5"	"3"	"733"	"0"	"733"	"0"	""
"11"	"5"	"242"	"26"	"75"	"301"	"13"	"7"	"1"	"5"	"6"	"2"	"11"	"19"	"6"	"7"	"15"	"736"	"0"	"736"	"0"	""
"12"	"6"	"239"	"24"	"50"	"102"	"15"	"5"	"9"	"7"	"9"	"3"	"74"	"11"	"7"	"6"	"26"	"587"	"0"	"587"	"0"	""
"13"	"7"	"334"	"52"	"9"	"64"	"5"	"1"	"3"	"3"	"8"	"5"	"29"	"9"	"5"	"11"	"16"	"554"	"0"	"554"	"0"	""
"14"	"8"	"49"	"3"	"56"	"114"	"3"	"2"	"3"	"12"	"6"	"8"	"282"	"11"	"3"	"3"	"12"	"567"	"0"	"567"	"0"	""
"15"	"9"	"130"	"72"	"30"	"90"	"14"	"7"	"5"	"10"	"4"	"6"	"128"	"25"	"6"	"9"	"22"	"558"	"0"	"558"	"0"	""
"16"	"10"	"184"	"18"	"15"	"77"	"8"	"9"	"3"	"15"	"4"	"4"	"139"	"19"	"5"	"5"	"14"	"519"	"0"	"519"	"0"	""
"17"	"11"	"128"	"35"	"19"	"135"	"3"	"5"	"2"	"6"	"7"	"5"	"9"	"21"	"6"	"7"	"21"	"409"	"0"	"409"	"0"	""
"18"	"12"	"269"	"44"	"10"	"47"	"1"	"1"	"4"	"3"	"11"	"1"	"6"	"7"	"4"	"2"	"15"	"425"	"0"	"425"	"0"	""
"19"	"13"	"148"	"14"	"3"	"150"	"5"	"2"	"2"	"7"	"0"	"10"	"13"	"9"	"6"	"7"	"20"	"396"	"0"	"396"	"0"	""
"20"	"14"	"213"	"12"	"34"	"148"	"9"	"4"	"0"	"4"	"6"	"4"	"36"	"14"	"1"	"8"	"10"	"503"	"0"	"503"	"0"	""
"21"	";ksx"	"2659"	"568"	"498"	"2516"	"133"	"74"	"49"	"116"	"139"	"69"	"877"	"229"	"73"	"78"	"218"	"8296"	"0"	"8296"	"0"	""
"22"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"9&ukSru fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 206824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku dsUnz la0"	"vej ;kno"	"ukjk;.k izlkn"	"jkes'oj izlkn"	"oS|ukFk izlkn
egrks"	";equk pkS/kjh"	"'kadj pkS/kjh"	"mn; pUnz >k"	"izdk'k izlkn"	"ca/kq ukFk nwcs"	"e/kqq nsoh"	"egEen ekewu"	"jktk pkS/kjh"	"jkepUnz lguh"	"jkekdkar izlkn"	"fldanj jke"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"29"	"15"	"192"	"74"	"17"	"260"	"6"	"5"	"1"	"12"	"5"	"2"	"4"	"13"	"2"	"4"	"4"	"601"	"0"	"601"	"0"	""
"30"	"16"	"100"	"13"	"9"	"154"	"3"	"3"	"0"	"1"	"3"	"4"	"21"	"14"	"7"	"0"	"6"	"338"	"0"	"338"	"0"	""
"31"	"17"	"206"	"26"	"5"	"78"	"4"	"3"	"1"	"1"	"16"	"3"	"46"	"9"	"1"	"1"	"7"	"407"	"0"	"407"	"0"	""
"32"	"18"	"68"	"4"	"8"	"191"	"3"	"8"	"4"	"12"	"47"	"12"	"112"	"32"	"9"	"6"	"14"	"530"	"0"	"530"	"0"	""
"33"	"19"	"85"	"81"	"12"	"307"	"8"	"12"	"7"	"15"	"64"	"12"	"12"	"27"	"12"	"6"	"13"	"673"	"0"	"673"	"0"	""
