"Election.to.the.Bihar.Legislative.Assembly.from.the.234.Gurua..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""
"4"	""	""	"AMRENDRA KUMAR SINGH"	""	""	"UMESH PRASAD"	""	""	"SHAKEEL AHMAD KHAN"	""	""	"S.M. UBAIDHULL AH"	""	""	"VEERBHAD RA YASHRAJ"	""	""	"ANJAR KHAN"	""	"USHA KUMARI YADAV"	""	"RAMCHAND RA PRASAD SINGH"	""	"VIDYAPATI DEVI"	""	"SARFUL HAQ KHAN"	""	"SUNEEL KUMAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""	""
"6"	"1"	""	"308"	""	""	"14"	""	""	"132"	""	""	"7"	""	""	"161"	""	""	"9"	""	"2"	""	"2"	""	"5"	""	"2"	""	"9"	""	"651"	""	"0"	""	""	"651"	""	""	""	""	""	""	""	""
"7"	"2"	""	"186"	""	""	"13"	""	""	"278"	""	""	"5"	""	""	"56"	""	""	"5"	""	"1"	""	"2"	""	"5"	""	"2"	""	"13"	""	"566"	""	"0"	""	""	"566"	""	""	""	""	""	""	""	""
"8"	"3"	""	"3"	""	""	"172"	""	""	"94"	""	""	"8"	""	""	"57"	""	""	"1"	""	"2"	""	"0"	""	"2"	""	"0"	""	"1"	""	"340"	""	"0"	""	""	"340"	""	""	""	""	""	""	""	""
"9"	"4"	""	"19"	""	""	"2"	""	""	"475"	""	""	"7"	""	""	"39"	""	""	"2"	""	"25"	""	"2"	""	"2"	""	"1"	""	"8"	""	"582"	""	"0"	""	""	"582"	""	""	""	""	""	""	""	""
"10"	"5"	""	"23"	""	""	"53"	""	""	"33"	""	""	"6"	""	""	"195"	""	""	"14"	""	"6"	""	"7"	""	"12"	""	"7"	""	"20"	""	"376"	""	"0"	""	""	"376"	""	""	""	""	""	""	""	""
"11"	"6"	""	"61"	""	""	"50"	""	""	"159"	""	""	"2"	""	""	"88"	""	""	"5"	""	"9"	""	"4"	""	"5"	""	"3"	""	"8"	""	"394"	""	"0"	""	""	"394"	""	""	""	""	""	""	""	""
"12"	"7"	""	"168"	""	""	"96"	""	""	"191"	""	""	"11"	""	""	"167"	""	""	"9"	""	"6"	""	"7"	""	"10"	""	"3"	""	"23"	""	"691"	""	"0"	""	""	"691"	""	""	""	""	""	""	""	""
"13"	"8"	""	"19"	""	""	"7"	""	""	"368"	""	""	"4"	""	""	"155"	""	""	"3"	""	"55"	""	"0"	""	"0"	""	"1"	""	"7"	""	"619"	""	"0"	""	""	"619"	""	""	""	""	""	""	""	""
"14"	"9"	""	"36"	""	""	"8"	""	""	"139"	""	""	"3"	""	""	"456"	""	""	"1"	""	"1"	""	"0"	""	"3"	""	"0"	""	"5"	""	"652"	""	"0"	""	""	"652"	""	""	""	""	""	""	""	""
"15"	"10"	""	"17"	""	""	"0"	""	""	"84"	""	""	"5"	""	""	"183"	""	""	"1"	""	"4"	""	"0"	""	"1"	""	"0"	""	"8"	""	"303"	""	"0"	""	""	"303"	""	""	""	""	""	""	""	""
"16"	"11"	""	"19"	""	""	"1"	""	""	"521"	""	""	"1"	""	""	"3"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"545"	""	"0"	""	""	"545"	""	""	""	""	""	""	""	""
