"Sl.No..of.Polling.Station"	"No.of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"1"	""	"Indra Mohan Roy"	"Jahidur Rahman"	"Firoj Anjum"	"Md.
Mashawar Alam"	"Afaque Alam"	"Mahfuz Alam"	"Md. Siddique Alam"	"Anweer Pd. Ganesh"	"Awadhbihari Singh"	"Md. Toushif Alam"	"Shyam Nr. Singh"	"Shrikant Pandey"	"Harimohan Singh"	"Hari Lal Ram"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"3"	"1"	"75"	"38"	"7"	"8"	"2"	"63"	"14"	"5"	"215"	"72"	"14"	"13"	"4"	"21"	"551"	"NIL"	"551"	"0"
"4"	"2"	"19"	"38"	"31"	"10"	"4"	"1"	"9"	"6"	"165"	"94"	"6"	"5"	"4"	"9"	"401"	"NIL"	"401"	"0"
"5"	"3"	"85"	"17"	"26"	"24"	"19"	"140"	"9"	"12"	"67"	"136"	"2"	"14"	"1"	"15"	"567"	"NIL"	"567"	"0"
"6"	"4"	"99"	"22"	"81"	"9"	"7"	"16"	"18"	"10"	"218"	"86"	"16"	"20"	"29"	"54"	"685"	"NIL"	"685"	"0"
"7"	"5"	"51"	"19"	"16"	"9"	"17"	"357"	"23"	"14"	"108"	"202"	"6"	"21"	"8"	"38"	"889"	"NIL"	"889"	"0"
"8"	"6"	"72"	"52"	"8"	"2"	"14"	"120"	"18"	"20"	"155"	"174"	"15"	"14"	"5"	"32"	"701"	"NIL"	"701"	"0"
"9"	"7"	"34"	"26"	"8"	"9"	"2"	"3"	"48"	"14"	"269"	"43"	"3"	"2"	"2"	"7"	"470"	"NIL"	"470"	"0"
"10"	"8"	"33"	"47"	"15"	"9"	"1"	"8"	"19"	"6"	"197"	"54"	"3"	"6"	"6"	"25"	"429"	"NIL"	"429"	"0"
"11"	"9"	"13"	"14"	"12"	"4"	"5"	"11"	"10"	"9"	"221"	"97"	"8"	"9"	"9"	"46"	"468"	"NIL"	"468"	"0"
"12"	"10"	"35"	"15"	"5"	"9"	"26"	"129"	"7"	"7"	"29"	"285"	"3"	"29"	"1"	"14"	"594"	"NIL"	"594"	"0"
"13"	"11"	"22"	"31"	"35"	"10"	"8"	"3"	"3"	"17"	"14"	"279"	"5"	"8"	"12"	"30"	"477"	"NIL"	"477"	"0"
"14"	"12"	"15"	"7"	"11"	"6"	"12"	"428"	"26"	"17"	"34"	"208"	"15"	"38"	"26"	"96"	"939"	"NIL"	"939"	"0"
"15"	"13"	"7"	"96"	"2"	"3"	"4"	"8"	"1"	"8"	"8"	"184"	"4"	"4"	"4"	"21"	"354"	"NIL"	"354"	"0"
