"Total.No..of.Electors.in.Assembly.Constituency...Segment...........237798"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"ANNEURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used for Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly Segment                :-                                 199- Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"10"	""	""	"SHIVANAND TIWARI"	"SHOBHA DEVI"	"SUDAMA RAI"	"AKHILESHWAR TIWARI"	"DHARMPAL SINGH"	"SHIVJEE YADAV"	"SHREE KRISHNA KR RAI"	"KALIKA SINGH"	"KRISHNA BIHARI SINGH"	"DR. GAUTAM OJHA"	"PUNAM TIWARI"	"TRIBHUWAN OJHA"	""	""	""	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"12"	"1"	"PRIMARY SCHOOL ESWAERPUR(NORTH PART)"	"173"	"82"	"7"	"2"	"142"	"11"	"15"	"3"	"7"	"2"	"6"	"8"	"458"	"0"	"458"	"0"
"13"	"2"	"PRIMARY SCHOOL ISHWARPUR(SOUTH PART)"	"163"	"222"	"10"	"7"	"74"	"11"	"3"	"3"	"2"	"3"	"2"	"3"	"503"	"0"	"503"	"0"
"14"	"3"	"PANCHYAT BHAWAN ISHWARPURA"	"64"	"290"	"33"	"3"	"37"	"21"	"10"	"4"	"2"	"2"	"6"	"6"	"478"	"0"	"478"	"0"
