"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	21	112	69	532	16	13	21	11	16	-811
"4"	"2"	21	72	33	696	9	4	7	10	13	-865
"5"	"3"	18	268	37	312	15	8	14	21	23	-716
"6"	"4"	7	193	8	403	13	19	22	14	11	-690
"7"	"5"	55	166	35	316	23	9	19	17	29	-669
"8"	"6"	33	168	61	251	15	13	20	31	30	-622
"9"	"7"	10	454	35	247	12	10	11	16	23	-818
"10"	"8"	16	274	131	396	23	27	29	34	33	-963
"11"	"9"	35	193	21	451	22	13	28	24	31	-818
"12"	"10"	60	226	19	143	12	4	12	12	1	-489
"13"	"10A"	81	193	5	94	3	6	10	4	7	-403
"14"	"11"	246	292	68	57	9	4	6	11	2	-695
"15"	"12"	121	97	94	53	7	1	8	7	15	-403
"16"	"13"	89	145	80	258	24	18	20	18	16	-668
"17"	"14"	97	42	27	495	54	20	41	9	34	-819
"18"	"15"	60	209	38	286	27	27	27	28	37	-739
"19"	"16"	18	170	24	403	7	1	13	5	3	-644
"20"	"17"	16	139	31	669	18	6	9	5	13	-906
"21"	"18"	5	24	12	1031	5	1	1	1	2	-1082
"22"	"19"	87	134	143	155	15	9	19	14	15	-591
"23"	"20"	13	226	NA	NA	14	9	8	11	8	-479
"24"	"21"	133	166	NA	NA	29	21	34	17	48	-919
"25"	"22"	154	224	NA	NA	8	8	11	31	32	-603
"26"	"23"	63	333	NA	NA	14	12	11	24	16	-760
"27"	"24"	138	334	NA	NA	2	5	3	17	7	-574
"28"	"25"	41	309	NA	NA	10	9	13	18	16	-563
"29"	"26"	27	161	NA	NA	5	7	13	23	3	-450
"30"	"27"	16	257	NA	NA	15	3	6	9	8	-761
"31"	"28"	80	184	NA	NA	19	12	17	13	23	-643
"32"	"29"	28	293	NA	NA	13	11	11	18	5	-617
"33"	"30"	30	109	139	266	23	17	18	10	12	-624
"34"	"31"	30	63	320	171	26	14	25	11	22	-682
"35"	"32"	399	73	65	54	10	5	2	11	16	-635
"36"	"33"	204	197	18	129	16	14	16	34	38	-666
"37"	"34"	116	136	56	85	13	10	12	14	22	-464
"38"	"35"	70	289	9	182	6	2	13	12	11	-594
"39"	"36"	189	221	31	71	11	6	9	14	11	-563
"40"	"37"	102	212	48	179	6	11	2	14	10	-584
"41"	"38"	166	228	15	128	13	12	12	26	27	-627
"42"	"39"	135	309	48	20	0	5	3	7	3	-530
"43"	"40"	63	166	NA	37	5	8	12	11	11	-543
"44"	"41"	118	41	NA	40	6	3	10	8	12	-611
"45"	"42"	402	78	85	28	3	1	1	7	7	-612
"46"	"43"	371	145	51	81	12	5	13	18	35	-731
"47"	"44"	132	210	119	131	7	6	11	12	4	-632
"48"	"45"	49	357	109	123	10	6	5	17	6	-682
"49"	"46"	68	144	117	44	4	5	2	4	5	-393
"50"	"47"	97	176	148	32	3	5	5	5	4	-475
"51"	"48"	101	65	261	65	5	3	1	1	5	-507
"52"	"49"	260	108	53	101	13	12	13	10	22	-592
"53"	"50"	137	283	22	53	3	4	8	12	2	-524
"54"	"51"	333	101	16	30	1	1	0	5	4	-491
"55"	"52"	258	69	102	34	2	2	5	4	4	-480
"56"	"53"	70	139	107	382	27	10	18	10	19	-782
"57"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"59"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"54"	94	369	69	65	6	4	2	10	3	-622
"61"	"55"	15	5	276	104	9	4	13	4	10	-440
"62"	"56"	245	214	33	136	3	7	1	5	27	-671
"63"	"57"	3	199	3	335	3	2	4	3	0	-552
"64"	"58"	16	60	25	398	14	6	12	3	14	-548
"65"	"59"	10	137	2	168	3	9	7	11	8	-355
"66"	"60"	14	285	22	295	5	4	9	3	8	-645
"67"	"61"	5	50	27	205	5	3	8	2	4	-309
"68"	"62"	97	72	44	225	9	7	9	9	10	-482
"69"	"63"	46	54	106	173	19	5	11	8	9	-431
"70"	"64"	173	195	60	179	16	9	22	20	24	-698
"71"	"65"	123	203	72	223	8	10	9	9	22	-679
"72"	"66"	23	81	41	314	12	2	8	2	8	-491
"73"	"67"	51	67	54	74	3	2	6	3	8	-268
"74"	"68"	25	105	119	127	6	3	10	15	5	-415
"75"	"69"	206	30	26	127	8	8	1	6	18	-430
"76"	"70"	116	73	169	115	6	6	8	10	15	-518
"77"	"71"	23	95	136	148	7	7	6	11	21	-454
"78"	"72"	137	64	140	120	9	1	6	3	10	-490
"79"	"73"	63	50	92	144	7	2	6	6	11	-381
"80"	"74"	28	129	81	181	8	4	6	9	9	-455
"81"	"75"	21	83	182	49	4	2	10	12	5	-368
"82"	"76"	63	91	29	196	13	11	13	9	21	-446
"83"	"77"	65	124	14	138	9	6	11	17	17	-401
"84"	"78"	40	334	23	240	12	4	7	13	17	-690
"85"	"79"	87	464	25	217	19	4	6	29	15	-866
"86"	"80"	78	224	34	249	16	11	21	18	5	-656
"87"	"81"	22	104	33	212	5	6	3	2	7	-394
"88"	"82"	19	111	25	312	14	12	13	5	9	-520
"89"	"83"	70	176	14	163	11	5	10	12	11	-472
"90"	"84"	17	158	64	303	16	14	15	20	12	-619
"91"	"85"	17	77	22	325	22	14	11	6	15	-509
"92"	"86"	3	24	6	410	8	2	6	2	9	-470
"93"	"87"	27	89	18	271	13	11	17	5	15	-466
"94"	"88"	16	191	33	243	20	9	19	4	4	-539
"95"	"89"	9	127	2	413	6	8	10	14	10	-599
"96"	"90"	31	258	10	158	5	4	9	19	23	-517
"97"	"91"	23	116	67	240	11	11	18	20	16	-522
"98"	"92"	30	137	120	357	20	9	24	15	25	-737
"99"	"93"	17	164	8	252	8	10	16	12	12	-499
"100"	"94"	23	266	60	240	15	14	16	11	15	-660
"101"	"95"	42	221	401	175	13	14	16	11	14	-907
"102"	"96"	0	449	24	19	0	1	1	0	0	-494
"103"	"97"	20	218	38	309	21	18	23	17	23	-687
"104"	"98"	11	139	9	273	6	1	1	8	3	-451
"105"	"99"	8	420	30	212	8	5	10	16	11	-720
"106"	"100"	20	358	24	393	15	6	13	6	5	-840
"107"	"101"	29	181	9	220	8	6	8	8	7	-476
"108"	"102"	78	158	12	103	13	7	9	13	10	-403
"109"	"103"	84	88	9	209	22	6	10	11	12	-451
"110"	"104"	19	120	5	429	11	9	12	5	7	-617
"111"	"105"	4	194	22	370	4	2	11	6	6	-619
"112"	"106"	12	89	128	254	17	7	18	6	4	-535
"113"	"107"	5	82	79	249	9	8	10	10	16	-468
"114"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"115"	"Booth No"	1	2	3	4	5	6	7	8	9	10
"116"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	"108"	8	47	49	562	20	5	20	2	10	-723
"118"	"109"	3	159	25	197	6	7	2	5	5	-409
"119"	"110"	10	102	8	338	14	4	12	13	8	-509
"120"	"111"	10	53	59	154	9	6	10	4	10	-315
"121"	"112"	6	10	9	533	3	1	3	2	5	-572
"122"	"113"	13	16	3	535	18	7	7	0	14	-613
"123"	"114"	17	100	10	355	20	21	15	6	20	-564
"124"	"115"	6	61	2	450	9	7	19	2	11	-567
"125"	"116"	20	69	12	456	17	11	14	7	9	-615
"126"	"117"	50	137	7	150	10	6	2	6	11	-379
"127"	"118"	7	125	46	245	8	5	6	3	5	-450
"128"	"119"	15	46	72	263	22	12	19	8	16	-473
"129"	"120"	15	123	55	483	16	13	26	15	19	-765
"130"	"121"	39	243	28	326	19	12	18	18	21	-724
"131"	"122"	14	218	24	249	14	6	10	13	8	-556
"132"	"123"	7	60	370	94	3	2	16	0	3	-555
"133"	"124"	31	221	92	218	18	6	9	10	16	-621
"134"	"125"	5	142	155	195	8	6	14	4	8	-537
"135"	"126"	9	155	7	427	6	2	5	2	2	-615
"136"	"127"	17	117	25	410	14	14	21	12	12	-642
"137"	"128"	8	172	107	253	13	9	9	6	5	-582
"138"	"129"	46	97	10	288	14	8	15	5	15	-498
"139"	"130"	1	351	0	22	0	0	0	0	1	-375
"140"	"131"	2	344	9	74	2	3	3	3	1	-441
"141"	"132"	1	517	1	2	0	0	0	0	0	-521
"142"	"133"	0	585	0	0	0	0	0	0	0	-585
"143"	"134"	13	199	17	206	14	5	13	13	9	-489
"144"	"135"	11	237	10	335	10	14	14	13	15	-659
"145"	"136"	7	604	2	3	2	0	0	0	0	-618
"146"	"137"	5	167	165	30	0	0	1	4	4	-376
"147"	"138"	117	207	5	20	0	0	0	7	3	-359
"148"	"139"	37	62	22	56	5	0	3	0	5	-190
"149"	"140"	54	171	50	454	8	4	7	13	8	-769
"150"	"141"	50	336	82	184	9	2	3	4	6	-676
"151"	"142"	26	324	25	110	7	19	14	15	11	-551
"152"	"143"	124	67	8	76	6	5	10	9	11	-316
"153"	"144"	48	99	13	118	13	22	17	12	23	-365
"154"	"145"	89	41	40	239	22	8	14	16	11	-480
"155"	"146"	24	179	50	130	4	1	5	8	8	-409
"156"	"147"	54	153	69	206	26	19	23	26	26	-602
"157"	"148"	2	463	21	21	0	1	2	0	0	-510
"158"	"149"	48	101	59	142	16	7	8	7	26	-414
"159"	"150"	13	221	11	375	2	2	10	9	10	-653
"160"	"151"	73	122	15	179	15	10	13	13	13	-453
"161"	"152"	2	67	9	154	7	5	6	3	4	-257
"162"	"153"	14	97	131	194	27	10	15	11	12	-511
"163"	"154"	9	93	33	274	29	12	24	12	24	-510
"164"	"155"	3	596	6	65	40	3	2	4	2	-721
"165"	"156"	20	187	127	119	6	9	17	17	18	-520
"166"	"157"	15	103	69	370	5	11	12	2	14	-601
"167"	"158"	122	68	77	254	12	4	14	8	16	-575
"168"	"159"	58	248	11	80	6	17	5	12	15	-452
"169"	"160"	235	109	15	118	12	19	18	8	17	-551
"170"	"161"	6	32	518	100	5	1	5	0	4	-671
"171"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"172"	"Booth No"	1	2	3	4	5	6	7	8	9	10
