"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment     :-             228318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly Segment               :-                       204 - Jagdishpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"10"	""	""	"RANA PRATAP SINGH"	"SRI BHAGWAN SINGH"	"HARI NARAYAN SINGH"	"UDAY SHANKAR SINGH"	"USHA DEVI"	"CHANDESWAR MISHRA"	"MITRA NAND SINGH"	"BINAY KUMAR MISHRA"	"DINESH SINGH"	"DHRUV NARAYAN SINGH"	"PRADEEP KUMAR SINGH"	"RAJESHWAR NATH TIWARI"	"VIJAY SHANKAR RAM"	"BRIJ BIHARI SINGH"	"SHANTI KUNWAR"	"SUBHASHGYA KUMAR"	""	""	""	""
"11"	""	""	"BSP"	"JD(U)"	"RJD"	"LJSP"	"SP"	"ABJS"	"CPI(ML)(L)"	"SAMTA PARTY"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
