"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of"	"No.of.Rejecte"	"Total"	"No.of"
"1"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"153"	"19"	"284"	"21"	"8"	"227"	"12"	"11"	"15"	"3"	"15"	"768"	"0"	"768"	"0"
"4"	"2"	"159"	"9"	"139"	"12"	"14"	"302"	"8"	"17"	"10"	"3"	"11"	"684"	"0"	"684"	"0"
"5"	"3"	"57"	"7"	"45"	"6"	"14"	"180"	"7"	"2"	"6"	"2"	"4"	"330"	"0"	"330"	"0"
"6"	"4"	"43"	"8"	"117"	"6"	"16"	"258"	"13"	"8"	"9"	"3"	"10"	"491"	"0"	"491"	"0"
"7"	"5"	"207"	"20"	"121"	"15"	"7"	"94"	"8"	"8"	"6"	"5"	"13"	"504"	"0"	"504"	"0"
"8"	"6"	"120"	"17"	"160"	"13"	"26"	"311"	"29"	"24"	"28"	"19"	"51"	"798"	"0"	"798"	"0"
"9"	"7"	"71"	"11"	"141"	"13"	"20"	"265"	"12"	"18"	"19"	"3"	"10"	"583"	"0"	"583"	"0"
"10"	"8"	"27"	"5"	"398"	"12"	"7"	"272"	"21"	"2"	"7"	"2"	"7"	"760"	"0"	"760"	"0"
"11"	"9"	"284"	"5"	"104"	"9"	"5"	"73"	"3"	"2"	"4"	"5"	"17"	"511"	"0"	"511"	"0"
"12"	"10"	"191"	"12"	"27"	"11"	"9"	"301"	"12"	"6"	"8"	"6"	"24"	"607"	"0"	"607"	"0"
"13"	"11"	"33"	"2"	"163"	"10"	"26"	"317"	"14"	"10"	"24"	"3"	"16"	"618"	"0"	"618"	"0"
"14"	"12"	"19"	"12"	"160"	"5"	"2"	"433"	"19"	"12"	"12"	"11"	"5"	"690"	"0"	"690"	"0"
"15"	"13"	"8"	"4"	"47"	"2"	"9"	"533"	"31"	"12"	"12"	"6"	"9"	"673"	"0"	"673"	"0"
"16"	"14"	"41"	"1"	"98"	"2"	"7"	"132"	"4"	"6"	"16"	"5"	"3"	"315"	"0"	"315"	"0"
"17"	"Total"	"1413"	"132"	"2004"	"137"	"170"	"3698"	"193"	"138"	"176"	"76"	"195"	"8332"	"0"	"8332"	"0"
"18"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"19"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"21"	"15"	"368"	"27"	"100"	"6"	"4"	"96"	"4"	"8"	"7"	"4"	"8"	"632"	"0"	"632"	"0"
"22"	"16"	"62"	"23"	"322"	"8"	"13"	"124"	"9"	"17"	"16"	"6"	"10"	"610"	"0"	"610"	"0"
"23"	"17"	"36"	"11"	"303"	"14"	"13"	"181"	"17"	"7"	"19"	"3"	"8"	"612"	"0"	"612"	"0"
"24"	"18"	"63"	"5"	"229"	"15"	"41"	"204"	"30"	"10"	"13"	"1"	"31"	"642"	"0"	"642"	"0"
"25"	"19"	"70"	"5"	"115"	"11"	"12"	"322"	"79"	"19"	"23"	"19"	"31"	"706"	"0"	"706"	"0"
"26"	"20"	"162"	"13"	"207"	"17"	"41"	"180"	"51"	"8"	"22"	"3"	"3"	"707"	"0"	"707"	"0"
"27"	"21"	"104"	"9"	"147"	"7"	"16"	"190"	"9"	"8"	"10"	"1"	"21"	"522"	"0"	"522"	"0"
"28"	"22"	"134"	"29"	"235"	"6"	"25"	"167"	"7"	"6"	"10"	"2"	"7"	"628"	"0"	"628"	"0"
"29"	"23"	"167"	"2"	"169"	"9"	"20"	"246"	"20"	"12"	"16"	"14"	"63"	"738"	"0"	"738"	"0"
"30"	"24"	"132"	"16"	"114"	"9"	"11"	"459"	"16"	"15"	"11"	"3"	"16"	"802"	"0"	"802"	"0"
"31"	"25"	"39"	"6"	"81"	"3"	"6"	"496"	"13"	"17"	"16"	"9"	"10"	"696"	"0"	"696"	"0"
"32"	"26"	"4"	"4"	"116"	"2"	"6"	"367"	"16"	"8"	"6"	"3"	"8"	"540"	"0"	"540"	"0"
"33"	"27"	"63"	"8"	"158"	"16"	"334"	"47"	"12"	"6"	"6"	"3"	"12"	"665"	"0"	"665"	"0"
"34"	"28"	"9"	"4"	"16"	"3"	"514"	"73"	"10"	"7"	"3"	"5"	"11"	"655"	"0"	"655"	"0"
"35"	"Total"	"1413"	"162"	"2312"	"126"	"1056"	"3152"	"293"	"148"	"178"	"76"	"239"	"9155"	"0"	"9155"	"0"
"36"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"37"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"39"	"29"	"30"	"7"	"219"	"9"	"159"	"37"	"7"	"6"	"9"	"2"	"16"	"501"	"0"	"501"	"0"
"40"	"30"	"9"	"1"	"759"	"3"	"13"	"28"	"3"	"0"	"1"	"2"	"3"	"822"	"0"	"822"	"0"
"41"	"31"	"42"	"5"	"85"	"11"	"20"	"376"	"17"	"10"	"16"	"1"	"10"	"593"	"0"	"593"	"0"
"42"	"32"	"9"	"5"	"197"	"3"	"13"	"21"	"2"	"1"	"0"	"0"	"1"	"252"	"0"	"252"	"0"
"43"	"33"	"36"	"17"	"339"	"12"	"16"	"183"	"18"	"10"	"19"	"3"	"13"	"666"	"0"	"666"	"0"
"44"	"34"	"222"	"10"	"55"	"12"	"10"	"365"	"20"	"5"	"13"	"8"	"21"	"741"	"0"	"741"	"0"
"45"	"35"	"143"	"2"	"120"	"10"	"8"	"321"	"15"	"8"	"17"	"7"	"19"	"670"	"0"	"670"	"0"
"46"	"36"	"184"	"21"	"146"	"11"	"14"	"230"	"7"	"11"	"19"	"2"	"18"	"663"	"0"	"663"	"0"
"47"	"37"	"110"	"31"	"117"	"7"	"62"	"200"	"91"	"11"	"8"	"4"	"10"	"651"	"0"	"651"	"0"
"48"	"38"	"131"	"11"	"96"	"4"	"52"	"174"	"24"	"4"	"3"	"2"	"9"	"510"	"0"	"510"	"0"
"49"	"39"	"86"	"7"	"166"	"12"	"8"	"362"	"15"	"5"	"12"	"4"	"4"	"681"	"0"	"681"	"0"
"50"	"40"	"38"	"6"	"18"	"4"	"5"	"232"	"2"	"4"	"9"	"3"	"4"	"325"	"0"	"325"	"0"
"51"	"41"	"169"	"9"	"66"	"13"	"4"	"251"	"11"	"9"	"14"	"8"	"24"	"578"	"0"	"578"	"0"
"52"	"42"	"34"	"8"	"123"	"12"	"12"	"280"	"6"	"4"	"15"	"2"	"8"	"504"	"0"	"504"	"0"
"53"	"Total"	"1243"	"140"	"2506"	"123"	"396"	"3060"	"238"	"88"	"155"	"48"	"160"	"8157"	"0"	"8157"	"0"
"54"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"55"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"57"	"43"	"96"	"65"	"147"	"6"	"6"	"225"	"7"	"6"	"9"	"3"	"16"	"586"	"0"	"586"	"0"
"58"	"44"	"106"	"23"	"126"	"10"	"5"	"209"	"6"	"5"	"10"	"2"	"6"	"508"	"0"	"508"	"0"
"59"	"45"	"201"	"27"	"72"	"11"	"4"	"398"	"26"	"9"	"11"	"4"	"19"	"782"	"0"	"782"	"0"
"60"	"46"	"213"	"29"	"89"	"13"	"12"	"372"	"31"	"17"	"24"	"17"	"23"	"840"	"0"	"840"	"0"
"61"	"47"	"210"	"18"	"249"	"10"	"9"	"148"	"4"	"7"	"10"	"8"	"14"	"687"	"0"	"687"	"0"
"62"	"48"	"385"	"22"	"106"	"11"	"11"	"236"	"9"	"7"	"10"	"4"	"26"	"827"	"0"	"827"	"0"
"63"	"49"	"122"	"12"	"65"	"13"	"8"	"347"	"24"	"14"	"22"	"8"	"27"	"662"	"0"	"662"	"0"
"64"	"50"	"42"	"10"	"90"	"9"	"8"	"113"	"8"	"10"	"19"	"8"	"23"	"340"	"0"	"340"	"0"
"65"	"51"	"206"	"4"	"65"	"6"	"9"	"226"	"5"	"2"	"5"	"4"	"12"	"544"	"0"	"544"	"0"
"66"	"52"	"2"	"1"	"84"	"3"	"13"	"529"	"20"	"8"	"8"	"1"	"1"	"670"	"0"	"670"	"0"
"67"	"53"	"27"	"3"	"190"	"5"	"0"	"221"	"4"	"3"	"11"	"2"	"7"	"473"	"0"	"473"	"0"
"68"	"54"	"145"	"39"	"288"	"26"	"6"	"215"	"5"	"9"	"15"	"5"	"12"	"765"	"0"	"765"	"0"
"69"	"55"	"179"	"15"	"168"	"16"	"7"	"175"	"21"	"14"	"23"	"11"	"39"	"668"	"0"	"668"	"0"
"70"	"56"	"231"	"5"	"97"	"10"	"7"	"100"	"16"	"8"	"8"	"5"	"29"	"516"	"0"	"516"	"0"
"71"	"Total"	"2165"	"273"	"1836"	"149"	"105"	"3514"	"186"	"119"	"185"	"82"	"254"	"8868"	"0"	"8868"	"0"
"72"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"73"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"75"	"57"	"16"	"3"	"116"	"4"	"7"	"352"	"4"	"8"	"17"	"1"	"16"	"544"	"0"	"544"	"0"
"76"	"58"	"125"	"7"	"135"	"9"	"11"	"164"	"9"	"0"	"2"	"5"	"12"	"479"	"0"	"479"	"0"
"77"	"59"	"452"	"32"	"36"	"12"	"8"	"80"	"2"	"5"	"1"	"7"	"16"	"651"	"0"	"651"	"0"
"78"	"60"	"193"	"21"	"36"	"5"	"3"	"50"	"2"	"1"	"4"	"2"	"20"	"337"	"0"	"337"	"0"
"79"	"61"	"55"	"20"	"382"	"9"	"17"	"6"	"0"	"4"	"7"	"3"	"14"	"517"	"0"	"517"	"0"
"80"	"62"	"98"	"5"	"457"	"3"	"7"	"3"	"5"	"2"	"1"	"1"	"6"	"588"	"0"	"588"	"0"
"81"	"63"	"160"	"12"	"93"	"9"	"13"	"126"	"15"	"7"	"14"	"9"	"29"	"487"	"0"	"487"	"0"
"82"	"64"	"165"	"6"	"123"	"14"	"8"	"48"	"7"	"10"	"7"	"11"	"36"	"435"	"0"	"435"	"0"
"83"	"65"	"93"	"20"	"27"	"10"	"8"	"41"	"2"	"2"	"3"	"2"	"3"	"211"	"0"	"211"	"0"
"84"	"66"	"48"	"4"	"38"	"3"	"5"	"256"	"6"	"7"	"2"	"1"	"5"	"375"	"0"	"375"	"0"
"85"	"67"	"348"	"22"	"148"	"28"	"10"	"30"	"7"	"5"	"6"	"10"	"24"	"638"	"0"	"638"	"0"
"86"	"68"	"313"	"5"	"19"	"12"	"1"	"30"	"7"	"5"	"6"	"9"	"25"	"432"	"0"	"432"	"0"
"87"	"69"	"370"	"24"	"73"	"10"	"15"	"43"	"5"	"1"	"1"	"7"	"16"	"565"	"0"	"565"	"0"
"88"	"70"	"62"	"9"	"164"	"10"	"17"	"3"	"12"	"4"	"6"	"3"	"10"	"300"	"0"	"300"	"0"
"89"	"Total"	"2498"	"190"	"1847"	"138"	"130"	"1232"	"83"	"61"	"77"	"71"	"232"	"6559"	"0"	"6559"	"0"
"90"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No of Rejecte"	"Total"	"No.of"
"91"	""	"Krishna Mohan Yadav"	"Vishnu Priya"	"Srinarayan Yadav"	"Kamni Devi"	"Dr. Gorelal Yadav"	"Jamshed Asraf"	"S.M.Noor Alam"	"Vales hwar Ajad"	"Vijay Ram"	"Natrajan Sah"	"Suresh Bhagat"	"valid votes"	"votes"	""	"Tendered votes"
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"93"	"71"	"182"	"7"	"70"	"17"	"19"	"26"	"6"	"4"	"8"	"2"	"10"	"351"	"0"	"351"	"0"
"94"	"72"	"338"	"9"	"6"	"11"	"1"	"10"	"0"	"0"	"2"	"1"	"5"	"383"	"0"	"383"	"0"
"95"	"73"	"29"	"4"	"107"	"2"	"3"	"356"	"10"	"3"	"5"	"0"	"2"	"521"	"0"	"521"	"0"
"96"	"74"	"19"	"3"	"388"	"8"	"9"	"29"	"1"	"3"	"5"	"0"	"6"	"471"	"0"	"471"	"0"
"97"	"75"	"5"	"0"	"10"	"0"	"4"	"583"	"1"	"3"	"2"	"0"	"2"	"610"	"0"	"610"	"0"
"98"	"76"	"12"	"0"	"12"	"1"	"3"	"277"	"16"	"8"	"7"	"3"	"9"	"348"	"0"	"348"	"0"
"99"	"77"	"78"	"3"	"44"	"8"	"7"	"256"	"22"	"10"	"30"	"8"	"19"	"485"	"0"	"485"	"0"
"100"	"78"	"85"	"32"	"161"	"14"	"7"	"165"	"14"	"15"	"17"	"5"	"29"	"544"	"0"	"544"	"0"
"101"	"79"	"198"	"15"	"167"	"18"	"7"	"125"	"16"	"13"	"18"	"7"	"29"	"613"	"0"	"613"	"0"
