"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"3"	"1"	"121"	"154"	"13"	"25"	"14"	"12"	"66"	"405"	""	"405"	""
"4"	"2"	"67"	"239"	"12"	"9"	"30"	"10"	"40"	"407"	""	"407"	""
"5"	"3"	"128"	"135"	"29"	"51"	"25"	"2"	"32"	"402"	""	"402"	""
"6"	"4"	"416"	"131"	"11"	"63"	"9"	"3"	"7"	"640"	""	"640"	""
"7"	"5"	"209"	"216"	"37"	"73"	"7"	"10"	"13"	"565"	""	"565"	""
"8"	"6"	"126"	"216"	"37"	"48"	"5"	"3"	"7"	"442"	""	"442"	""
"9"	"7"	"148"	"668"	"9"	"52"	"15"	"3"	"11"	"906"	""	"906"	""
"10"	"8"	"49"	"79"	"17"	"86"	"26"	"5"	"16"	"278"	""	"278"	""
"11"	"9"	"13"	"146"	"8"	"71"	"2"	"5"	"6"	"251"	""	"251"	""
"12"	"10"	"440"	"21"	"2"	"3"	"3"	"1"	"9"	"479"	""	"479"	""
"13"	"11"	"128"	"82"	"144"	"44"	"20"	"10"	"38"	"466"	""	"466"	""
"14"	"12"	"272"	"18"	"123"	"16"	"7"	"5"	"40"	"481"	""	"481"	""
"15"	"13"	"164"	"213"	"20"	"30"	"24"	"6"	"14"	"471"	""	"471"	""
"16"	"14"	"106"	"214"	"33"	"172"	"14"	"8"	"21"	"568"	""	"568"	""
"17"	"Total Round 1"	"2387"	"2532"	"495"	"743"	"201"	"83"	"320"	"6761"	"0"	"6761"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"NAIYAR AZAM"	"BINOD NARAYAN JHA"	"SITA DEVI"	"AGHNU YADAV"	"KUMUD RANJAN JHA"	"VINAY KUMAR JHA"	"SAIDA BANO"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"21"	"15"	"243"	"21"	"10"	"19"	"3"	"5"	"10"	"311"	""	"311"	""
"22"	"16"	"107"	"56"	"12"	"56"	"3"	"4"	"5"	"243"	""	"243"	""
"23"	"17"	"147"	"55"	"8"	"21"	"7"	"1"	"3"	"242"	""	"242"	""
"24"	"18"	"93"	"32"	"52"	"122"	"14"	"4"	"19"	"336"	""	"336"	""
