"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"6"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"8"	"1"	"193"	"14"	"213"	"92"	"13"	"1"	"6"	"13"	"8"	"6"	"3"	"0"	"1"	"19"	"582"	""	"582"	""
"9"	"2"	"101"	"5"	"119"	"30"	"6"	"1"	"10"	"14"	"11"	"6"	"9"	"4"	"12"	"89"	"417"	""	"417"	""
"10"	"3"	"127"	"3"	"57"	"19"	"3"	"2"	"4"	"4"	"3"	"2"	"12"	"3"	"8"	"123"	"370"	""	"370"	""
"11"	"4"	"421"	"10"	"76"	"30"	"3"	"3"	"8"	"18"	"2"	"5"	"8"	"2"	"4"	"50"	"640"	""	"640"	""
"12"	"5"	"149"	"7"	"79"	"11"	"26"	"2"	"7"	"14"	"5"	"3"	"3"	"4"	"6"	"64"	"380"	""	"380"	""
"13"	"6"	"439"	"22"	"78"	"19"	"5"	"5"	"11"	"24"	"0"	"3"	"5"	"2"	"3"	"34"	"650"	""	"650"	""
"14"	"7"	"269"	"14"	"183"	"29"	"8"	"4"	"4"	"17"	"6"	"4"	"9"	"5"	"5"	"16"	"573"	""	"573"	""
"15"	"8"	"162"	"21"	"203"	"17"	"12"	"5"	"11"	"20"	"6"	"5"	"8"	"2"	"4"	"30"	"506"	""	"506"	""
"16"	"9"	"475"	"14"	"24"	"9"	"4"	"2"	"5"	"77"	"4"	"4"	"5"	"3"	"7"	"28"	"661"	""	"661"	""
"17"	"10"	"113"	"5"	"107"	"5"	"3"	"1"	"1"	"61"	"10"	"2"	"5"	"5"	"5"	"24"	"347"	""	"347"	""
"18"	"11"	"117"	"8"	"81"	"64"	"7"	"1"	"11"	"6"	"7"	"5"	"4"	"4"	"9"	"192"	"516"	""	"516"	""
"19"	"12"	"266"	"7"	"63"	"68"	"1"	"2"	"4"	"7"	"6"	"0"	"4"	"1"	"3"	"52"	"484"	""	"484"	""
"20"	"13"	"356"	"4"	"10"	"3"	"1"	"1"	"0"	"4"	"70"	"2"	"1"	"1"	"6"	"45"	"504"	""	"504"	""
"21"	"14"	"258"	"7"	"13"	"16"	"1"	"0"	"2"	"9"	"2"	"4"	"1"	"1"	"1"	"36"	"351"	""	"351"	""
"22"	"Current Round Total"	"3446"	"141"	"1306"	"412"	"93"	"30"	"84"	"288"	"140"	"51"	"77"	"37"	"74"	"802"	"6981"	"0"	"6981"	"0"
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"127-RANIGANJ (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(Statutory Rules and Order)                                                       ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (SC) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"31"	""	"PARMANAND RISHIDEV"	"MAYANAND RISHIDEV"	"YAMUNA PRASAD RAM"	"ASHOK PASWAN"	"RAMJEE DAS RISHIDEV"	"RAMANUJ PASWAN"	"VIDYANAND RAM"	"SITARAM PASWAN"	"KAMALDEO RISHI"	"JIWACHH PASWAN"	"BUDHADE V RISHI"	"RAGHUNATH RAM"	"RAMESH RAM"	"SHANTI DEVI"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"18"	"19"	"20"	"21"
"33"	"15"	"151"	"17"	"36"	"104"	"6"	"5"	"22"	"11"	"9"	"8"	"15"	"2"	"6"	"106"	"498"	""	"498"	""
"34"	"16"	"30"	"8"	"101"	"163"	"8"	"4"	"19"	"7"	"6"	"2"	"18"	"10"	"7"	"92"	"475"	""	"475"	""
"35"	"17"	"160"	"5"	"40"	"67"	"1"	"3"	"11"	"9"	"3"	"1"	"5"	"1"	"5"	"36"	"347"	""	"347"	""
"36"	"18"	"19"	"5"	"21"	"284"	"11"	"1"	"25"	"4"	"3"	"4"	"8"	"0"	"5"	"51"	"441"	""	"441"	""
"37"	"19"	"65"	"7"	"67"	"87"	"3"	"1"	"10"	"6"	"2"	"4"	"4"	"1"	"1"	"22"	"280"	""	"280"	""
"38"	"20"	"58"	"14"	"210"	"43"	"29"	"0"	"7"	"13"	"5"	"10"	"11"	"7"	"6"	"22"	"435"	""	"435"	""
"39"	"21"	"10"	"3"	"12"	"146"	"6"	"3"	"12"	"3"	"0"	"3"	"3"	"0"	"0"	"11"	"212"	""	"212"	""
"40"	"22"	"17"	"8"	"46"	"179"	"10"	"0"	"18"	"4"	"3"	"11"	"7"	"2"	"3"	"27"	"335"	""	"335"	""
