"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Ajay Kumar Purbey"	"Mahendra
Singh Yadav"	"Dr. Ram
Chandra Purvey"	"Md.
Anwarul Haque"	"Vidhan Chand Roy"	"Md. Akbar Ali"	"Md.
Abulaish Akhtar"	"Taslim Shah"	"Laxmi
Narayan Bhagat"	"Shiv
Shanker Mandal"	"Sunil Kumar"	""	""	""	""
"2"	"1"	"12"	"46"	"108"	"237"	"10"	"14"	"8"	"37"	"26"	"10"	"18"	"526"	""	"526"	""
"3"	"2"	"16"	"153"	"107"	"145"	"11"	"5"	"5"	"12"	"12"	"13"	"15"	"494"	""	"494"	""
"4"	"3"	"34"	"71"	"189"	"190"	"6"	"14"	"6"	"16"	"12"	"9"	"6"	"553"	""	"553"	""
"5"	"4"	"19"	"13"	"259"	"133"	"4"	"9"	"7"	"15"	"8"	"2"	"3"	"472"	""	"472"	""
"6"	"5"	"3"	"93"	"306"	"180"	"7"	"9"	"6"	"11"	"10"	"2"	"9"	"636"	""	"636"	""
"7"	"6"	"12"	"27"	"117"	"143"	"1"	"1"	"6"	"7"	"4"	"4"	"3"	"325"	""	"325"	""
"8"	"7"	"37"	"10"	"445"	"202"	"9"	"7"	"14"	"15"	"21"	"6"	"10"	"776"	""	"776"	""
"9"	"8"	"55"	"21"	"247"	"139"	"2"	"5"	"3"	"9"	"8"	"3"	"3"	"495"	""	"495"	""
"10"	"9"	"18"	"32"	"585"	"124"	"4"	"7"	"2"	"15"	"10"	"9"	"7"	"813"	""	"813"	""
"11"	"10"	"14"	"247"	"121"	"177"	"9"	"10"	"16"	"15"	"11"	"12"	"17"	"649"	""	"649"	""
"12"	"11"	"17"	"46"	"252"	"306"	"5"	"10"	"15"	"23"	"10"	"15"	"8"	"707"	""	"707"	""
"13"	"12"	"2"	"1"	"213"	"82"	"1"	"2"	"1"	"6"	"6"	"4"	"4"	"322"	""	"322"	""
