"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"1"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"2"	"1"	"22"	"18"	"297"	"13"	"16"	"57"	"52"	"1"	"5"	"16"	"11"	"508"	"0"	"508"	"0"
"3"	"2"	"25"	"2"	"224"	"15"	"16"	"151"	"32"	"2"	"3"	"10"	"12"	"492"	"0"	"492"	"0"
"4"	"3"	"3"	"0"	"138"	"0"	"5"	"211"	"4"	"1"	"1"	"23"	"14"	"400"	"0"	"400"	"0"
"5"	"4"	"15"	"8"	"95"	"11"	"16"	"111"	"111"	"6"	"7"	"41"	"36"	"457"	"0"	"457"	"0"
"6"	"5"	"23"	"9"	"81"	"11"	"11"	"306"	"113"	"10"	"19"	"23"	"18"	"624"	"0"	"624"	"0"
"7"	"6"	"12"	"20"	"144"	"9"	"16"	"158"	"86"	"4"	"19"	"53"	"41"	"562"	"0"	"562"	"0"
"8"	"7"	"17"	"4"	"79"	"3"	"12"	"324"	"53"	"12"	"7"	"6"	"31"	"548"	"0"	"548"	"0"
"9"	"8"	"23"	"8"	"70"	"8"	"15"	"358"	"131"	"5"	"4"	"12"	"6"	"640"	"0"	"640"	"0"
"10"	"9"	"24"	"8"	"19"	"3"	"27"	"265"	"99"	"6"	"2"	"94"	"12"	"559"	"0"	"559"	"0"
"11"	"10"	"24"	"24"	"48"	"10"	"35"	"52"	"278"	"4"	"3"	"5"	"13"	"496"	"0"	"496"	"0"
"12"	"11"	"39"	"19"	"88"	"12"	"22"	"27"	"169"	"7"	"13"	"16"	"19"	"431"	"0"	"431"	"0"
"13"	"12"	"11"	"12"	"62"	"5"	"16"	"292"	"104"	"7"	"8"	"12"	"7"	"536"	"0"	"536"	"0"
"14"	"13"	"10"	"54"	"71"	"7"	"11"	"297"	"82"	"4"	"3"	"26"	"1"	"566"	"0"	"566"	"0"
"15"	"14"	"7"	"1"	"39"	"1"	"13"	"389"	"2"	"2"	"9"	"19"	"12"	"494"	"0"	"494"	"0"
"16"	"Round
Total"	"255"	"187"	"1455"	"108"	"231"	"2998"	"1316"	"71"	"103"	"356"	"233"	"7313"	"0"	"7313"	"0"
"17"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"18"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"19"	"15"	"10"	"2"	"39"	"1"	"7"	"331"	"3"	"1"	"4"	"3"	"8"	"409"	"0"	"409"	"0"
"20"	"16"	"23"	"94"	"51"	"8"	"37"	"77"	"228"	"7"	"7"	"20"	"44"	"596"	"0"	"596"	"0"
"21"	"17"	"26"	"52"	"78"	"8"	"18"	"19"	"158"	"7"	"13"	"43"	"27"	"449"	"0"	"449"	"0"
"22"	"18"	"26"	"10"	"29"	"6"	"21"	"19"	"223"	"6"	"7"	"9"	"23"	"379"	"0"	"379"	"0"
"23"	"19"	"12"	"9"	"60"	"6"	"31"	"22"	"113"	"12"	"10"	"41"	"24"	"340"	"0"	"340"	"0"
"24"	"20"	"10"	"9"	"63"	"6"	"19"	"31"	"90"	"0"	"6"	"11"	"7"	"252"	"0"	"252"	"0"
"25"	"21"	"27"	"5"	"295"	"12"	"11"	"62"	"31"	"2"	"11"	"26"	"10"	"492"	"0"	"492"	"0"
"26"	"22"	"11"	"1"	"64"	"2"	"13"	"137"	"56"	"4"	"8"	"26"	"12"	"334"	"0"	"334"	"0"
"27"	"23"	"8"	"1"	"90"	"2"	"19"	"93"	"208"	"2"	"3"	"40"	"3"	"469"	"0"	"469"	"0"
"28"	"24"	"1"	"2"	"33"	"1"	"4"	"81"	"4"	"2"	"0"	"157"	"2"	"287"	"0"	"287"	"0"
"29"	"25"	"15"	"5"	"40"	"1"	"19"	"153"	"90"	"7"	"5"	"102"	"7"	"444"	"0"	"444"	"0"
"30"	"26"	"17"	"5"	"186"	"9"	"21"	"22"	"67"	"2"	"5"	"7"	"5"	"346"	"0"	"346"	"0"
"31"	"27"	"10"	"1"	"65"	"3"	"4"	"371"	"268"	"7"	"5"	"33"	"13"	"780"	"0"	"780"	"0"
"32"	"28"	"24"	"6"	"80"	"4"	"43"	"124"	"64"	"7"	"4"	"19"	"42"	"417"	"0"	"417"	"0"
"33"	"Round
Total"	"220"	"202"	"1173"	"69"	"267"	"1542"	"1603"	"66"	"88"	"537"	"227"	""	""	"5994"	"0"
"34"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"35"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"36"	"29"	"5"	"1"	"145"	"4"	"41"	"37"	"29"	"1"	"5"	"18"	"3"	"289"	"0"	"289"	"0"
"37"	"30"	"11"	"4"	"22"	"8"	"209"	"42"	"42"	"9"	"6"	"10"	"19"	"382"	"0"	"382"	"0"
"38"	"31"	"17"	"7"	"25"	"12"	"49"	"198"	"34"	"3"	"5"	"39"	"8"	"397"	"0"	"397"	"0"
"39"	"32"	"5"	"5"	"60"	"5"	"8"	"25"	"89"	"1"	"4"	"19"	"4"	"225"	"0"	"225"	"0"
"40"	"33"	"8"	"8"	"17"	"1"	"10"	"277"	"60"	"3"	"4"	"21"	"8"	"417"	"0"	"417"	"0"
"41"	"34"	"21"	"7"	"17"	"3"	"21"	"50"	"258"	"6"	"3"	"5"	"10"	"401"	"0"	"401"	"0"
"42"	"35"	"23"	"25"	"47"	"17"	"44"	"34"	"176"	"9"	"8"	"15"	"18"	"416"	"0"	"416"	"0"
"43"	"36"	"36"	"52"	"38"	"7"	"43"	"38"	"161"	"2"	"10"	"12"	"11"	"410"	"0"	"410"	"0"
"44"	"37"	"4"	"2"	"33"	"3"	"22"	"371"	"49"	"2"	"3"	"50"	"8"	"547"	"0"	"547"	"0"
"45"	"38"	"3"	"5"	"39"	"3"	"10"	"37"	"146"	"4"	"0"	"8"	"4"	"259"	"0"	"259"	"0"
"46"	"39"	"20"	"6"	"27"	"7"	"41"	"263"	"124"	"2"	"2"	"4"	"7"	"503"	"0"	"503"	"0"
"47"	"40"	"17"	"2"	"13"	"2"	"9"	"271"	"105"	"3"	"1"	"9"	"4"	"436"	"0"	"436"	"0"
"48"	"41"	"11"	"11"	"42"	"5"	"19"	"218"	"110"	"9"	"2"	"7"	"11"	"445"	"0"	"445"	"0"
"49"	"42"	"2"	"1"	"15"	"3"	"9"	"286"	"27"	"1"	"2"	"27"	"9"	"382"	"0"	"382"	"0"
"50"	"Round
Total"	"183"	"136"	"540"	"80"	"535"	"2147"	"1410"	"55"	"55"	"244"	"124"	"5509"	"0"	"5509"	"0"
"51"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"52"	"Booth No."	"DR.TRIBHU WAN SINGH"	"RABEE PRASAD"	"VIJAY SHANKER DUBEY"	"ANIL KUMAR SINGH"	"JAYNATH YADAV"	"QAMARUL HAQUE"	"JAGMATO DEVI"	"DALAN SINGH"	"BALRAM SINGH"	"VIKRAM KUWAR"	"VIRENDRA SHAHI"	""	""	""	""
"53"	"43"	"6"	"3"	"8"	"3"	"11"	"221"	"47"	"3"	"2"	"9"	"6"	"319"	"0"	"319"	"0"
"54"	"44"	"27"	"13"	"268"	"25"	"152"	"83"	"35"	"5"	"10"	"23"	"9"	"650"	"0"	"650"	"0"
"55"	"45"	"6"	"0"	"48"	"2"	"25"	"4"	"73"	"3"	"2"	"29"	"3"	"195"	"0"	"195"	"0"
"56"	"46"	"3"	"6"	"67"	"6"	"20"	"4"	"48"	"4"	"7"	"32"	"4"	"201"	"0"	"201"	"0"
"57"	"47"	"20"	"7"	"333"	"26"	"6"	"42"	"6"	"10"	"13"	"131"	"19"	"613"	"0"	"613"	"0"
"58"	"48"	"8"	"2"	"11"	"3"	"107"	"108"	"31"	"3"	"2"	"55"	"8"	"338"	"0"	"338"	"0"
"59"	"49"	"6"	"7"	"136"	"5"	"10"	"4"	"121"	"2"	"8"	"24"	"4"	"327"	"0"	"327"	"0"
"60"	"50"	"8"	"2"	"88"	"7"	"13"	"3"	"32"	"3"	"9"	"55"	"14"	"234"	"0"	"234"	"0"
"61"	"51"	"26"	"9"	"252"	"14"	"45"	"53"	"77"	"9"	"21"	"108"	"19"	"633"	"0"	"633"	"0"
