"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	211	11	58	46	10	8	4	10	9	6	14	-387
"4"	"2"	62	0	3	329	7	5	1	6	17	0	5	-435
"5"	"3"	123	13	54	102	10	29	8	9	134	4	3	-489
"6"	"4"	20	3	22	31	5	20	5	8	293	15	37	-459
"7"	"5"	36	10	111	86	7	16	18	4	67	5	23	-383
"8"	"6"	13	1	50	26	7	29	35	8	445	6	12	-632
"9"	"7"	53	2	47	79	6	12	23	3	188	7	14	-434
"10"	"8"	173	4	100	37	8	18	19	6	87	3	23	-478
"11"	"9"	115	12	77	72	30	40	12	28	267	33	45	-731
"12"	"10"	77	1	23	89	4	11	7	5	96	3	11	-327
"13"	"11"	128	8	147	83	11	26	12	13	196	30	71	-725
"14"	"12"	153	7	113	46	9	14	8	7	67	4	18	-446
"15"	"13"	215	8	124	91	8	7	11	12	29	9	26	-540
"16"	"14"	1	0	1	8	0	2	6	0	401	1	1	-421
"17"	"15"	9	2	26	4	1	7	2	1	464	1	0	-517
"18"	"16"	45	3	17	16	3	13	4	5	366	5	7	-484
"19"	"17"	232	4	72	117	2	1	1	1	9	0	1	-440
"20"	"18"	51	5	62	35	8	7	1	3	49	5	11	-237
"21"	"19"	180	7	84	93	12	3	2	5	36	2	4	-428
"22"	"20"	229	18	120	53	20	3	7	8	61	15	21	-555
"23"	"21"	70	1	70	28	12	15	14	8	171	5	13	-407
"24"	"22"	292	25	111	23	8	7	1	5	35	4	15	-526
"25"	"23"	16	1	24	9	3	3	5	3	265	3	11	-343
"26"	"24"	62	14	55	63	13	27	15	7	166	9	34	-465
"27"	"25"	20	5	27	160	10	29	24	18	224	2	27	-546
"28"	"26"	60	3	18	95	7	20	1	4	152	0	5	-365
"29"	"27"	96	6	17	43	11	20	2	8	196	5	19	-423
"30"	"28"	109	7	122	61	7	26	8	16	171	3	3	-533
"31"	"29"	88	2	45	38	10	20	15	11	163	15	22	-429
"32"	"30"	2	0	5	15	0	2	3	0	373	1	0	-401
"33"	"31"	105	6	103	204	2	10	1	3	29	1	3	-467
"34"	"32"	216	5	45	57	11	10	5	4	33	2	10	-398
"35"	"33"	36	1	8	57	1	5	45	2	328	3	3	-489
"36"	"34"	112	5	120	221	11	20	7	10	40	8	5	-559
"37"	"35"	4	0	46	392	2	0	0	0	12	1	1	-458
"38"	"36"	19	2	8	305	5	3	0	3	24	0	6	-375
"39"	"37"	192	13	147	44	13	16	3	8	63	11	26	-536
"40"	"38"	65	19	126	111	16	7	4	8	14	9	25	-404
"41"	"39"	130	4	82	140	9	7	3	7	5	4	6	-397
"42"	"40"	175	9	122	210	7	8	13	8	16	13	23	-604
"43"	"41"	222	10	69	81	12	21	22	14	165	10	21	-647
"44"	"42"	64	14	304	88	6	8	4	2	27	1	6	-524
"45"	"43"	184	9	138	145	17	10	12	16	52	11	28	-622
"46"	"44"	206	38	253	78	9	16	11	8	36	4	7	-666
"47"	"45"	63	28	65	39	5	16	22	5	195	14	18	-470
"48"	"46"	36	19	106	75	11	4	27	7	10	3	9	-307
"49"	"47"	102	9	84	237	11	6	1	5	5	2	7	-469
"50"	"48"	107	4	34	44	13	12	3	6	62	6	7	-298
"51"	"49"	151	15	69	219	20	11	9	11	112	7	22	-646
"52"	"50"	214	3	18	80	5	10	3	2	122	2	5	-464
"53"	"51"	345	8	57	35	10	5	6	12	50	6	13	-547
"54"	"52"	250	7	69	136	28	14	12	9	36	2	13	-576
"55"	"53"	60	3	12	130	11	13	0	2	54	4	14	-303
"56"	"54"	127	2	21	297	9	4	5	3	96	2	11	-577
"57"	"55"	22	0	9	327	1	5	1	3	12	1	2	-383
"58"	"56"	104	6	81	38	6	13	4	9	78	5	8	-352
"59"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12
"61"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"57"	91	5	105	39	7	5	5	3	33	5	13	-311
"63"	"58"	83	8	79	154	15	11	8	4	49	1	3	-415
"64"	"59"	65	8	96	52	15	8	12	10	44	3	31	-344
"65"	"60"	56	4	185	59	15	29	17	10	124	21	26	-546
"66"	"61"	120	20	38	79	15	28	5	8	159	8	2	-482
"67"	"62"	51	10	67	39	7	2	10	1	4	0	0	-191
"68"	"63"	60	1	8	192	2	2	3	1	2	1	3	-275
"69"	"64"	370	6	23	29	3	7	1	6	101	9	13	-568
"70"	"65"	368	10	43	29	5	1	4	1	4	1	5	-471
"71"	"66"	523	0	6	35	2	4	1	1	11	0	3	-586
"72"	"67"	474	8	5	12	7	4	1	6	53	7	9	-586
"73"	"68"	112	3	7	132	9	0	4	7	2	3	27	-306
"74"	"69"	34	1	7	435	2	3	0	2	24	0	2	-510
"75"	"70"	44	4	7	250	6	12	7	0	43	0	5	-378
"76"	"71"	27	2	30	165	5	7	6	3	34	6	4	-289
"77"	"72"	132	3	8	117	9	15	7	13	159	9	16	-488
"78"	"73"	300	3	12	128	11	2	4	3	3	1	16	-483
"79"	"74"	76	4	25	94	13	10	2	2	128	8	7	-369
"80"	"75"	62	3	5	73	11	2	0	3	13	0	3	-175
"81"	"76"	38	4	16	97	5	4	1	1	8	2	5	-181
"82"	"77"	129	8	16	215	16	18	16	11	63	9	11	-512
"83"	"78"	125	7	16	132	10	30	12	9	171	12	20	-544
"84"	"79"	108	15	96	119	13	8	7	13	80	6	17	-482
"85"	"80"	112	10	108	201	13	8	23	18	23	13	46	-575
"86"	"81"	131	2	11	24	3	9	2	6	62	7	4	-261
"87"	"82"	114	6	103	80	18	9	2	8	81	3	22	-446
"88"	"83"	132	18	57	96	7	5	5	10	9	9	17	-365
"89"	"84"	132	31	66	96	53	11	7	9	98	11	26	-540
"90"	"85"	53	0	17	53	9	13	5	3	192	11	20	-376
"91"	"86"	137	11	50	82	15	8	1	7	49	6	7	-373
"92"	"87"	121	26	52	38	31	13	2	4	73	1	3	-364
"93"	"88"	98	3	33	57	20	4	6	7	83	11	23	-345
"94"	"89"	45	93	108	23	6	3	5	8	17	12	15	-335
"95"	"90"	208	79	3	2	0	1	0	1	9	0	0	-303
"96"	"91"	92	192	15	26	6	0	2	4	2	3	6	-348
"97"	"92"	155	167	24	46	15	2	5	5	8	4	1	-432
"98"	"93"	65	288	14	7	3	2	1	1	12	0	0	-393
"99"	"94"	89	101	21	6	2	1	3	3	6	1	13	-246
"100"	"95"	161	10	18	65	9	10	6	15	82	7	17	-400
"101"	"96"	99	6	69	104	9	10	3	6	34	5	14	-359
"102"	"97"	126	7	53	44	5	6	1	5	65	4	14	-330
"103"	"98"	62	5	45	377	8	15	10	5	72	5	7	-611
"104"	"99"	199	4	16	224	13	4	3	5	8	3	28	-507
"105"	"100"	466	11	25	48	13	6	2	4	59	7	13	-654
"106"	"101"	227	8	11	103	18	28	10	18	169	11	29	-632
"107"	"102"	331	12	49	81	10	12	6	9	76	15	36	-637
"108"	"103"	118	3	14	127	9	19	5	4	139	8	13	-459
"109"	"104"	144	5	19	95	8	5	52	6	61	4	6	-405
"110"	"105"	211	18	37	40	10	8	17	5	64	11	26	-447
"111"	"106"	122	9	28	68	16	4	21	4	20	4	5	-301
"112"	"107"	214	7	13	59	11	5	2	6	13	3	11	-344
"113"	"108"	128	16	144	159	15	12	23	16	35	12	12	-572
"114"	"109"	109	4	24	191	5	11	3	6	62	6	11	-432
"115"	"110"	89	42	94	13	10	8	6	7	23	16	26	-334
"116"	"111"	98	16	22	132	22	16	10	25	75	14	21	-451
"117"	"112"	208	7	6	102	16	6	3	4	17	5	20	-394
"118"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"119"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12
"120"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"121"	"113"	200	4	68	19	6	11	3	2	28	3	5	-349
"122"	"114"	252	3	58	154	11	8	9	7	40	3	5	-550
"123"	"115"	309	10	145	132	6	4	5	6	7	2	5	-631
"124"	"116"	119	53	28	110	14	16	9	13	133	9	28	-532
"125"	"117"	212	7	103	122	22	16	15	17	22	1	9	-546
"126"	"118"	76	1	30	158	9	6	5	2	18	5	14	-324
"127"	"119"	60	3	80	186	12	8	2	12	21	8	33	-425
"128"	"120"	46	6	174	88	15	9	6	12	34	8	32	-430
"129"	"121"	81	6	13	80	8	10	3	3	115	2	5	-326
"130"	"122"	207	8	15	32	14	9	2	9	71	5	7	-379
"131"	"123"	118	6	76	88	7	10	2	5	95	7	6	-420
"132"	"124"	143	34	8	78	7	1	1	4	3	2	9	-290
"133"	"125"	49	2	11	320	10	4	10	2	36	2	5	-451
"134"	"126"	140	4	35	74	19	9	7	18	24	7	10	-347
"135"	"127"	209	9	18	125	17	9	4	15	19	8	40	-473
"136"	"128"	236	1	5	110	4	3	3	1	17	3	11	-394
"137"	"129"	165	21	9	138	10	4	5	2	7	1	1	-363
"138"	"130"	142	2	25	261	13	3	4	4	26	0	7	-487
"139"	"131"	112	13	91	99	9	8	3	8	11	7	3	-364
"140"	"132"	60	8	10	74	12	0	6	4	19	0	6	-199
"141"	"133"	24	2	5	134	2	0	0	0	1	1	3	-172
"142"	"134"	142	13	14	150	5	7	0	5	32	7	6	-381
"143"	"135"	147	22	15	143	6	5	4	8	21	7	11	-389
"144"	"136"	210	23	89	65	8	9	3	3	56	4	11	-481
"145"	"137"	71	16	68	81	11	11	0	11	34	5	20	-328
"146"	"138"	49	3	259	43	25	7	1	7	22	1	5	-422
"147"	"139"	66	8	136	21	4	6	5	3	25	3	8	-285
"148"	"140"	144	4	26	82	7	2	2	7	9	2	16	-301
"149"	"141"	134	9	42	208	11	3	3	5	17	3	6	-441
"150"	"142"	116	7	99	30	18	7	3	4	11	0	5	-300
"151"	"143"	51	12	180	58	25	9	29	13	25	16	38	-456
"152"	"144"	209	15	235	55	14	11	4	10	21	6	14	-594
"153"	"145"	173	8	374	78	12	6	10	8	16	7	11	-703
"154"	"146"	204	7	273	95	11	10	13	9	25	8	8	-663
"155"	"147"	75	4	261	71	16	6	3	13	43	16	21	-529
"156"	"148"	102	11	152	78	7	13	10	14	16	5	4	-412
"157"	"149"	355	9	11	59	6	2	7	3	23	1	11	-487
"158"	"150"	232	10	44	112	17	5	7	9	13	7	19	-475
"159"	"151"	223	12	68	112	19	7	22	12	15	3	3	-496
"160"	"152"	114	7	35	10	7	7	77	9	63	3	4	-336
"161"	"153"	199	10	26	53	26	6	96	9	85	11	34	-555
"162"	"154"	139	11	45	40	10	21	126	12	126	7	10	-547
"163"	"155"	179	5	21	44	4	2	33	10	29	2	5	-334
"164"	"156"	35	5	28	14	3	12	39	7	170	15	11	-339
"165"	"157"	11	2	81	61	5	15	66	8	120	6	23	-398
"166"	"158"	119	15	143	82	16	11	26	13	38	4	19	-486
"167"	"159"	12	6	55	108	14	17	16	20	80	5	30	-363
"168"	"160"	122	6	85	42	15	15	15	8	82	5	26	-421
"169"	"161"	7	4	20	37	3	15	14	10	226	9	26	-371
"170"	"162"	25	28	95	29	4	9	18	2	106	5	11	-332
"171"	"163"	188	9	113	33	13	6	10	10	25	6	13	-426
"172"	"164"	63	7	39	72	7	6	6	7	22	7	10	-246
"173"	"165"	489	5	113	106	12	5	6	4	3	5	6	-754
"174"	"166"	94	9	126	48	10	4	17	10	14	7	12	-351
"175"	"167"	67	3	106	48	15	7	14	4	85	9	17	-375
"176"	"168"	208	7	34	32	6	5	3	3	7	2	4	-311
"177"	"Booths"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12
"179"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"180"	"169"	792	2	2	24	0	1	0	0	9	0	0	-830
"181"	"170"	98	7	48	48	20	9	7	6	97	5	14	-359
"182"	"171"	3	1	34	8	1	8	14	4	526	6	2	-607
"183"	"172"	177	9	29	19	7	10	2	3	22	4	8	-290
"184"	"173"	48	14	33	33	9	17	11	9	43	3	6	-226
"185"	"174"	69	3	142	46	12	11	9	5	18	3	7	-325
"186"	"175"	29	4	148	27	8	8	8	12	89	10	25	-368
"187"	"176"	132	15	235	94	11	5	4	16	22	3	10	-547
"188"	"177"	141	20	19	63	12	18	132	11	111	11	20	-558
"189"	"178"	116	32	50	52	13	12	50	15	159	11	21	-531
"190"	"179"	206	36	43	9	7	7	18	8	54	4	9	-401
"191"	"180"	244	9	103	70	12	7	5	8	24	4	13	-499
"192"	"181"	202	7	38	187	7	6	2	7	25	2	7	-490
"193"	"182"	60	7	7	11	7	10	51	8	137	2	5	-305
"194"	"183"	32	1	2	4	1	3	3	0	219	1	0	-266
"195"	"184"	129	4	6	49	5	2	0	5	7	1	10	-218
"196"	"185"	18	0	51	21	3	11	139	8	119	4	2	-376
"197"	"186"	12	0	2	30	1	8	89	1	157	0	2	-302
"198"	"187"	288	10	60	47	9	16	103	10	39	10	14	-606
"199"	"188"	111	2	8	6	11	4	150	8	7	5	9	-321
"200"	"189"	209	11	20	13	14	9	101	12	8	1	24	-422
"201"	"190"	62	6	32	25	8	14	141	5	88	7	11	-399
"202"	"191"	197	16	164	26	9	21	7	14	85	17	42	-598
"203"	"192"	204	25	128	27	21	17	24	11	78	9	2	-546
"204"	"193"	237	14	71	22	9	21	7	12	76	7	13	-489
"205"	"194"	188	27	379	30	13	10	3	7	31	2	5	-695
"206"	"POSTAL
VOTE"	NA	NA	0	0	0	0	0	0	0	0	0	0
"207"	"TOTAL OF CANDID
ATE"	-26234	-2593	-12642	-17286	-1960	-1882	-2774	-1392	-14685	-1102	-2551	-85101
"208"	"ROUND"	883	57	545	897	94	188	132	87	1603	82	187	4755
"209"	"ROUND"	1243	62	766	546	74	83	54	55	1678	72	160	4793
"210"	"ROUND"	815	64	494	535	81	169	88	80	1916	47	149	4438
"211"	"ROUND"	1054	64	807	1741	77	86	81	53	564	52	108	4687
"212"	"ROUND"	1349	149	1140	1086	109	114	114	76	786	60	130	5113
"213"	"ROUND"	1203	51	714	1267	117	107	70	65	576	50	134	4354
"214"	"ROUND"	2156	63	211	1232	58	63	36	33	403	29	69	4353
"215"	"ROUND"	1109	59	332	1341	106	104	78	76	682	66	145	4098
"216"	"ROUND"	1171	269	500	551	162	76	35	63	673	71	137	3708
"217"	"ROUND"	1514	791	300	947	83	56	36	53	348	39	113	4280
"218"	"ROUND"	1693	124	433	936	112	112	145	81	662	90	175	4563
"219"	"ROUND"	1580	110	714	1203	133	100	67	100	395	58	172	4632
"220"	"ROUND"	1490	93	215	1306	109	62	41	63	413	37	101	3930
"221"	"ROUND"	1025	112	713	892	89	55	24	56	230	37	89	3322
"222"	"ROUND"	1651	92	1671	844	137	72	89	88	210	69	137	5060
"223"	"ROUND"	1153	79	587	566	119	113	516	108	808	61	165	4275
"224"	"ROUND"	2031	81	696	477	90	67	95	56	594	55	113	4355
"225"	"ROUND"	1165	143	836	421	92	103	253	91	1068	59	121	4352
"226"	"ROUND"	1123	48	226	393	66	83	779	64	806	33	84	3705
"227"	"ROUND"	888	88	774	130	60	83	182	49	358	42	73	2727
