"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"3"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"4"	"1"	"17"	"262"	"13"	"12"	"180"	"36"	"4"	"20"	"17"	"561"	""	"561"	""
"5"	"2"	"18"	"55"	"3"	"6"	"498"	"35"	"4"	"6"	"7"	"632"	""	"632"	""
"6"	"3"	"19"	"136"	"25"	"22"	"199"	"17"	"6"	"6"	"8"	"438"	""	"438"	""
"7"	"4"	"14"	"169"	"12"	"14"	"218"	"23"	"7"	"4"	"8"	"469"	""	"469"	""
"8"	"5"	"19"	"132"	"16"	"48"	"186"	"18"	"6"	"9"	"15"	"449"	""	"449"	""
"9"	"6"	"13"	"91"	"7"	"5"	"297"	"18"	"6"	"3"	"9"	"449"	""	"449"	""
"10"	"7"	"21"	"201"	"13"	"37"	"306"	"25"	"15"	"15"	"27"	"660"	""	"660"	""
"11"	"8"	"28"	"115"	"10"	"9"	"283"	"23"	"10"	"11"	"30"	"519"	""	"519"	""
"12"	"9"	"18"	"190"	"11"	"64"	"356"	"28"	"14"	"16"	"37"	"734"	""	"734"	""
"13"	"10"	"11"	"97"	"10"	"14"	"338"	"20"	"7"	"15"	"21"	"533"	""	"533"	""
"14"	"11"	"22"	"157"	"16"	"20"	"409"	"46"	"14"	"16"	"35"	"735"	""	"735"	""
"15"	"12"	"17"	"210"	"16"	"6"	"236"	"22"	"5"	"10"	"26"	"548"	""	"548"	""
"16"	"13"	"25"	"153"	"13"	"70"	"254"	"24"	"8"	"12"	"15"	"574"	""	"574"	""
"17"	"14"	"38"	"35"	"5"	"1"	"238"	"11"	"5"	"5"	"9"	"347"	""	"347"	""
"18"	"Page Total"	"280"	"2003"	"170"	"328"	"3998"	"346"	"111"	"148"	"264"	"7648"	"0"	"7648"	"0"
"19"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"22"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"23"	"B.F."	"280"	"2003"	"170"	"328"	"3998"	"346"	"111"	"148"	"264"	"7648"	"0"	"7648"	"0"
"24"	"15"	"99"	"97"	"12"	"136"	"240"	"23"	"4"	"5"	"16"	"632"	""	"632"	""
"25"	"16"	"105"	"90"	"4"	"150"	"257"	"18"	"5"	"11"	"28"	"668"	""	"668"	""
"26"	"17"	"264"	"131"	"14"	"44"	"221"	"36"	"18"	"12"	"37"	"777"	""	"777"	""
"27"	"18"	"15"	"19"	"2"	"5"	"422"	"17"	"10"	"6"	"17"	"513"	""	"513"	""
"28"	"19"	"26"	"183"	"15"	"13"	"354"	"17"	"7"	"13"	"14"	"642"	""	"642"	""
"29"	"20"	"40"	"154"	"11"	"6"	"271"	"18"	"12"	"9"	"20"	"541"	""	"541"	""
"30"	"21"	"15"	"46"	"2"	"6"	"272"	"7"	"4"	"0"	"3"	"355"	""	"355"	""
"31"	"22"	"15"	"294"	"16"	"9"	"392"	"26"	"6"	"7"	"16"	"781"	""	"781"	""
"32"	"23"	"20"	"279"	"10"	"33"	"303"	"19"	"4"	"5"	"15"	"688"	""	"688"	""
"33"	"24"	"23"	"402"	"13"	"8"	"254"	"18"	"12"	"18"	"42"	"790"	""	"790"	""
"34"	"25"	"12"	"17"	"0"	"2"	"433"	"14"	"0"	"1"	"3"	"482"	""	"482"	""
"35"	"26"	"16"	"341"	"13"	"4"	"147"	"14"	"4"	"6"	"15"	"560"	""	"560"	""
"36"	"27"	"17"	"413"	"15"	"5"	"180"	"10"	"7"	"19"	"15"	"681"	""	"681"	""
"37"	"28"	"15"	"252"	"10"	"5"	"210"	"17"	"3"	"11"	"9"	"532"	""	"532"	""
"38"	"Page Total"	"962"	"4721"	"307"	"754"	"7954"	"600"	"207"	"271"	"514"	"16290"	"0"	"16290"	"0"
"39"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"42"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"43"	"B.F."	"962"	"4721"	"307"	"754"	"7954"	"600"	"207"	"271"	"514"	"16290"	"0"	"16290"	"0"
"44"	"29"	"27"	"336"	"13"	"21"	"272"	"26"	"12"	"18"	"16"	"741"	""	"741"	""
"45"	"30"	"20"	"311"	"8"	"4"	"296"	"15"	"8"	"21"	"20"	"703"	""	"703"	""
"46"	"31"	"35"	"173"	"15"	"7"	"320"	"24"	"18"	"10"	"34"	"636"	""	"636"	""
"47"	"32"	"21"	"71"	"3"	"4"	"347"	"19"	"5"	"2"	"7"	"479"	""	"479"	""
"48"	"33"	"10"	"131"	"13"	"6"	"336"	"19"	"7"	"7"	"10"	"539"	""	"539"	""
"49"	"34"	"65"	"128"	"11"	"11"	"185"	"26"	"18"	"16"	"37"	"497"	""	"497"	""
"50"	"35"	"44"	"248"	"4"	"16"	"229"	"9"	"6"	"2"	"3"	"561"	""	"561"	""
"51"	"36"	"29"	"327"	"11"	"4"	"374"	"13"	"5"	"13"	"16"	"792"	""	"792"	""
"52"	"37"	"23"	"281"	"18"	"11"	"294"	"19"	"12"	"12"	"27"	"697"	""	"697"	""
"53"	"38"	"40"	"230"	"15"	"16"	"259"	"18"	"13"	"9"	"16"	"616"	""	"616"	""
"54"	"39"	"35"	"155"	"15"	"69"	"175"	"18"	"6"	"10"	"8"	"491"	""	"491"	""
"55"	"40"	"76"	"59"	"14"	"122"	"234"	"26"	"7"	"17"	"33"	"588"	""	"588"	""
"56"	"41"	"19"	"185"	"9"	"43"	"410"	"38"	"4"	"8"	"10"	"726"	""	"726"	""
"57"	"42"	"24"	"428"	"31"	"5"	"69"	"10"	"5"	"27"	"29"	"628"	""	"628"	""
"58"	"Page Total"	"1430"	"7784"	"487"	"1093"	"11754"	"880"	"333"	"443"	"780"	"24984"	"0"	"24984"	"0"
"59"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Serial No.of Polling Station*"	"Jagannath Thakur"	"Ram Deo Verma"	"Rameshwar Mahto"	"Phul babu Singh"	"RamBalak Singh"	"Kailash Paswan"	"Ram Naresh Yadav"	"Ram Nath Paswan"	"Ram Sagar Mahto"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"62"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"63"	"B.F."	"1430"	"7784"	"487"	"1093"	"11754"	"880"	"333"	"443"	"780"	"24984"	"0"	"24984"	"0"
"64"	"43"	"15"	"511"	"14"	"12"	"85"	"14"	"6"	"10"	"8"	"675"	""	"675"	""
"65"	"44"	"28"	"266"	"14"	"21"	"200"	"13"	"4"	"9"	"12"	"567"	""	"567"	""
"66"	"45"	"93"	"315"	"24"	"35"	"226"	"20"	"12"	"22"	"13"	"760"	""	"760"	""
"67"	"46"	"39"	"26"	"1"	"43"	"202"	"3"	"0"	"1"	"3"	"318"	""	"318"	""
"68"	"47"	"24"	"40"	"0"	"1"	"222"	"5"	"5"	"1"	"4"	"302"	""	"302"	""
"69"	"48"	"23"	"107"	"6"	"7"	"166"	"14"	"11"	"4"	"7"	"345"	""	"345"	""
"70"	"49"	"33"	"286"	"17"	"13"	"204"	"21"	"12"	"15"	"46"	"647"	""	"647"	""
"71"	"50"	"61"	"39"	"7"	"4"	"323"	"26"	"14"	"9"	"27"	"510"	""	"510"	""
"72"	"51"	"49"	"134"	"11"	"7"	"311"	"33"	"11"	"20"	"53"	"629"	""	"629"	""
"73"	"52"	"12"	"148"	"11"	"3"	"296"	"15"	"9"	"8"	"24"	"526"	""	"526"	""
