"Total.No..of.Electors.in.Assembly.Constituency....219368"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly :- 91 - JALE"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"9"	"1"	"1"	"46"	"60"	"12"	"157"	"7"	"3"	"22"	"5"	"34"	"6"	"353"	"0"	"353"	"0"
"10"	"2"	"2"	"293"	"40"	"7"	"24"	"8"	"1"	"7"	"2"	"30"	"3"	"417"	"0"	"417"	"0"
"11"	"3"	"3"	"256"	"63"	"4"	"147"	"13"	"9"	"11"	"3"	"5"	"17"	"531"	"0"	"531"	"0"
"12"	"4"	"4"	"26"	"73"	"10"	"204"	"8"	"9"	"59"	"6"	"11"	"26"	"436"	"0"	"436"	"0"
"13"	"5"	"5"	"76"	"129"	"5"	"94"	"12"	"9"	"49"	"18"	"17"	"32"	"446"	"0"	"446"	"0"
"14"	"6"	"6"	"31"	"28"	"2"	"255"	"7"	"3"	"16"	"4"	"0"	"16"	"368"	"0"	"368"	"0"
"15"	"7"	"7"	"21"	"46"	"10"	"138"	"8"	"6"	"166"	"10"	"14"	"16"	"442"	"0"	"442"	"0"
"16"	"8"	"8"	"14"	"106"	"10"	"81"	"7"	"9"	"187"	"10"	"14"	"11"	"457"	"0"	"457"	"0"
"17"	"9"	"9"	"19"	"33"	"5"	"67"	"9"	"3"	"224"	"12"	"9"	"20"	"410"	"0"	"410"	"0"
"18"	"10"	"10"	"26"	"185"	"8"	"71"	"6"	"6"	"46"	"7"	"9"	"6"	"380"	"0"	"380"	"0"
"19"	"11"	"11"	"126"	"49"	"1"	"46"	"9"	"2"	"88"	"7"	"11"	"9"	"359"	"0"	"359"	"0"
"20"	"12"	"12"	"34"	"236"	"12"	"62"	"6"	"5"	"12"	"16"	"16"	"32"	"443"	"0"	"443"	"0"
"21"	"13"	"13"	"89"	"231"	"9"	"103"	"14"	"6"	"20"	"7"	"9"	"4"	"505"	"0"	"505"	"0"
"22"	"14"	"14"	"23"	"262"	"17"	"117"	"13"	"2"	"18"	"15"	"8"	"14"	"503"	"0"	"503"	"0"
"23"	"15"	"15"	"72"	"358"	"7"	"51"	"2"	"4"	"10"	"5"	"6"	"13"	"543"	"0"	"543"	"0"
"24"	"16"	"16"	"35"	"281"	"12"	"93"	"8"	"5"	"71"	"5"	"10"	"4"	"540"	"0"	"540"	"0"
"25"	"17"	"17"	"53"	"75"	"6"	"261"	"11"	"6"	"13"	"2"	"12"	"17"	"473"	"0"	"473"	"0"
"26"	"18"	"18"	"30"	"181"	"9"	"314"	"16"	"4"	"13"	"4"	"7"	"13"	"609"	"0"	"609"	"0"
"27"	"19"	"19"	"85"	"261"	"5"	"12"	"2"	"0"	"6"	"3"	"4"	"8"	"405"	"0"	"405"	"0"
"28"	"20"	"20"	"61"	"220"	"9"	"10"	"4"	"6"	"4"	"4"	"3"	"9"	"350"	"0"	"350"	"0"
"29"	"21"	"21"	"49"	"291"	"9"	"35"	"9"	"5"	"8"	"6"	"3"	"13"	"449"	"0"	"449"	"0"
"30"	"22"	"22"	"36"	"217"	"10"	"45"	"5"	"3"	"10"	"1"	"8"	"8"	"365"	"0"	"365"	"0"
"31"	"23"	"23"	"17"	"254"	"6"	"77"	"6"	"4"	"15"	"49"	"11"	"17"	"479"	"0"	"479"	"0"
"32"	"24"	"24"	"19"	"188"	"13"	"177"	"10"	"5"	"8"	"32"	"4"	"7"	"487"	"0"	"487"	"0"
"33"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"34"	""	""	"Abdus Salam"	"Ram Niwas Pd."	"Ram Lakhan Mahto"	"Vijay Kumar Mishra"	"Irfanur Rahman"	"Ehtashamul Hassan"	"Sharla Devi"	"Md. Saeed Alam"	"Himanshu Shekhar Mallik"	"Md. Haider"	""	""	""	""
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"36"	"25"	"25"	"22"	"127"	"15"	"214"	"18"	"8"	"11"	"8"	"10"	"9"	"467"	"0"	"467"	"0"
"37"	"26"	"26"	"29"	"140"	"6"	"122"	"20"	"6"	"24"	"46"	"13"	"10"	"442"	"0"	"442"	"0"
"38"	"27"	"27"	"15"	"73"	"10"	"421"	"10"	"3"	"8"	"7"	"3"	"3"	"580"	"0"	"580"	"0"
"39"	"28"	"28"	"38"	"40"	"4"	"147"	"28"	"4"	"21"	"162"	"6"	"11"	"489"	"0"	"489"	"0"
"40"	"29"	"29"	"23"	"150"	"13"	"276"	"20"	"8"	"23"	"34"	"9"	"20"	"605"	"0"	"605"	"0"
"41"	"30"	"30"	"67"	"206"	"19"	"147"	"12"	"7"	"41"	"15"	"24"	"4"	"572"	"0"	"572"	"0"
