"Candidates.Name.......Booth.No"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"Total.Valid.Voters"	"Total.No..of.Rejected.Voters"	"Total.No..of.Tender.Voters"
"1"	""	"KALAMUDIN"	"MANOJ KUMAR SINGH"	"RAM PUKAR SAHNI"	"BIJENDRA CHAUDHARY"	"BINOD CHAUDHARY"	"SATISH KUMAR SINGH"	"KUMAR VIJAY"	"NAGENDRA SAH"	"PRAMOD KUMAR SHARMA"	"BHUPENDRA KUMAR"	"RAM BRIKSH PD. SINGH"	"LAL BABU MAHTO"	"SAROJ KUMAR"	"ANANT SAHANI"	"GAURI SHANKAR PRASAD GUPTA"	"DINA NATH PRASAD SINGH"	"BASAWAN PRASAD BHAGAT"	"MOHAMMAD BASIR"	"SHAH ALAM SHABBO"	"SHVICHANDRA PANDIT"	"SANTOSH KUMAR"	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"3"	"1"	"4"	"225"	"8"	"241"	"13"	"3"	"2"	"3"	"6"	"6"	"8"	"7"	"20"	"10"	"7"	"17"	"32"	"9"	"5"	"7"	"4"	"637"	""	""
"4"	"2"	"4"	"140"	"3"	"1"	"333"	"3"	"0"	"0"	"0"	"0"	"2"	"3"	"14"	"0"	"0"	"2"	"10"	"1"	"0"	"0"	"0"	"516"	""	""
"5"	"3"	"8"	"125"	"17"	"12"	"288"	"2"	"1"	"2"	"3"	"3"	"5"	"1"	"9"	"2"	"7"	"15"	"4"	"1"	"0"	"0"	"1"	"506"	""	""
"6"	"4"	"21"	"34"	"3"	"42"	"216"	"3"	"3"	"2"	"5"	"0"	"4"	"4"	"4"	"2"	"1"	"7"	"25"	"11"	"31"	"1"	"17"	"436"	""	""
"7"	"5"	"7"	"172"	"9"	"52"	"175"	"4"	"2"	"5"	"9"	"9"	"9"	"7"	"9"	"6"	"3"	"15"	"5"	"1"	"16"	"2"	"5"	"522"	""	""
"8"	"6"	"10"	"219"	"19"	"41"	"373"	"5"	"1"	"7"	"3"	"1"	"9"	"5"	"6"	"5"	"5"	"6"	"6"	"1"	"2"	"2"	"5"	"731"	""	""
"9"	"7"	"6"	"125"	"19"	"54"	"86"	"6"	"4"	"4"	"7"	"7"	"10"	"13"	"15"	"13"	"10"	"22"	"9"	"6"	"25"	"4"	"5"	"450"	""	""
"10"	"8"	"5"	"240"	"16"	"136"	"61"	"0"	"3"	"5"	"5"	"6"	"8"	"7"	"11"	"7"	"10"	"7"	"1"	"4"	"1"	"3"	"2"	"538"	""	""
"11"	"9"	"3"	"99"	"7"	"47"	"10"	"1"	"0"	"4"	"7"	"0"	"5"	"5"	"8"	"2"	"3"	"4"	"10"	"8"	"128"	"5"	"3"	"359"	""	""
"12"	"10"	"8"	"295"	"25"	"219"	"25"	"8"	"1"	"15"	"10"	"3"	"6"	"14"	"23"	"11"	"25"	"33"	"12"	"8"	"17"	"7"	"11"	"776"	""	""
"13"	"11"	"2"	"18"	"6"	"62"	"10"	"1"	"3"	"4"	"5"	"2"	"0"	"5"	"3"	"2"	"3"	"6"	"1"	"3"	"239"	"9"	"3"	"387"	""	""
"14"	"12"	"2"	"112"	"13"	"194"	"23"	"2"	"3"	"7"	"2"	"4"	"2"	"7"	"11"	"10"	"5"	"17"	"14"	"14"	"167"	"17"	"25"	"651"	""	""
"15"	"13"	"7"	"135"	"6"	"197"	"10"	"1"	"5"	"6"	"9"	"1"	"3"	"4"	"2"	"2"	"1"	"2"	"2"	"10"	"65"	"1"	"1"	"470"	""	""
"16"	"14"	"5"	"149"	"11"	"152"	"30"	"2"	"2"	"3"	"12"	"6"	"2"	"6"	"8"	"7"	"4"	"9"	"35"	"18"	"262"	"9"	"3"	"735"	""	""
"17"	"15"	"15"	"37"	"12"	"175"	"13"	"0"	"5"	"5"	"23"	"6"	"7"	"11"	"27"	"12"	"5"	"10"	"24"	"1"	"138"	"3"	"7"	"536"	""	""
"18"	"16"	"13"	"63"	"7"	"121"	"198"	"5"	"4"	"11"	"13"	"1"	"6"	"11"	"5"	"4"	"8"	"10"	"17"	"3"	"135"	"3"	"8"	"646"	""	""
"19"	"17"	"11"	"251"	"13"	"186"	"46"	"2"	"9"	"11"	"12"	"5"	"10"	"14"	"19"	"13"	"11"	"38"	"10"	"12"	"95"	"6"	"20"	"794"	""	""
"20"	"18"	"5"	"132"	"10"	"109"	"5"	"5"	"3"	"4"	"16"	"3"	"6"	"9"	"13"	"9"	"1"	"11"	"1"	"6"	"407"	"7"	"6"	"768"	""	""
"21"	"19"	"10"	"275"	"13"	"171"	"28"	"2"	"2"	"2"	"11"	"7"	"10"	"14"	"18"	"7"	"10"	"23"	"10"	"6"	"178"	"6"	"10"	"813"	""	""
"22"	"20"	"3"	"234"	"5"	"417"	"34"	"0"	"0"	"2"	"1"	"2"	"2"	"4"	"12"	"6"	"4"	"7"	"25"	"5"	"83"	"9"	"6"	"861"	""	""
