"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 239---Warsaliganj CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :239---Warsaliganj                                                                                                                                                                                                                       No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name ----- > BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	"Anjani Kumar"	"Aruna Devi"	"Jageshw ar Chaudha ri"	"Pradip Kumar"	"Vijay Kr. Sharma"	"Jagdish Prasad Chavan"	"Julee Kumari"	"Tanuja Kumari"	"Ganpat Manjhi"	"Manoj Kumar"	"Ram Balak Prasad"	"Shrawan Kumar"	"Satish Kumar"	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"8"	"1"	"42"	"127"	"15"	"342"	"6"	"8"	"4"	"6"	"4"	"27"	"8"	"6"	"50"	"645"	""
"9"	"2"	"6"	"40"	"6"	"255"	"4"	"2"	"3"	"1"	"1"	"13"	"2"	"6"	"22"	"361"	""
"10"	"3"	"7"	"229"	"6"	"234"	"3"	"0"	"2"	"3"	"0"	"17"	"3"	"1"	"17"	"522"	""
"11"	"4"	"36"	"85"	"6"	"241"	"2"	"1"	"3"	"6"	"4"	"17"	"2"	"9"	"12"	"424"	""
"12"	"5"	"28"	"382"	"17"	"7"	"1"	"0"	"0"	"1"	"1"	"1"	"5"	"7"	"16"	"466"	""
"13"	"6"	"39"	"237"	"24"	"69"	"4"	"5"	"5"	"4"	"6"	"13"	"40"	"12"	"35"	"493"	""
"14"	"7"	"33"	"34"	"35"	"23"	"1"	"0"	"0"	"0"	"3"	"1"	"4"	"4"	"359"	"497"	""
"15"	"8"	"3"	"40"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"443"	"493"	""
"16"	"9"	"10"	"163"	"11"	"29"	"0"	"2"	"1"	"4"	"2"	"5"	"0"	"5"	"73"	"305"	""
"17"	"10"	"11"	"175"	"11"	"72"	"3"	"3"	"2"	"1"	"5"	"13"	"7"	"12"	"67"	"382"	""
"18"	"11"	"11"	"187"	"39"	"85"	"2"	"2"	"1"	"7"	"3"	"5"	"6"	"4"	"51"	"403"	""
"19"	"12"	"40"	"115"	"39"	"231"	"6"	"11"	"1"	"17"	"4"	"25"	"105"	"15"	"39"	"648"	""
"20"	"13"	"44"	"408"	"4"	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"5"	"87"	"567"	""
"21"	"14"	"31"	"342"	"10"	"17"	"1"	"5"	"0"	"3"	"0"	"1"	"1"	"1"	"88"	"500"	""
"22"	"15"	"2"	"408"	"6"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"40"	"1"	"12"	"475"	""
"23"	"16"	"27"	"51"	"147"	"227"	"3"	"4"	"3"	"8"	"5"	"20"	"13"	"4"	"57"	"569"	""
"24"	"17"	"22"	"141"	"12"	"138"	"0"	"3"	"3"	"2"	"2"	"6"	"2"	"1"	"18"	"350"	""
"25"	"18"	"12"	"179"	"9"	"38"	"0"	"1"	"0"	"0"	"0"	"1"	"3"	"7"	"13"	"263"	""
"26"	"19"	"7"	"275"	"7"	"110"	"7"	"2"	"0"	"1"	"0"	"3"	"4"	"2"	"54"	"472"	""
"27"	"Page 1 of 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Assembly Constituency :239---Warsaliganj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"No of Voters :263737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"	""
"34"	"20"	"34"	"417"	"4"	"44"	"2"	"7"	"1"	"3"	"1"	"2"	"5"	"6"	"24"	"550"	""
"35"	"21"	"9"	"23"	"38"	"139"	"4"	"4"	"2"	"6"	"3"	"12"	"48"	"1"	"20"	"309"	""
