"Polling...Station.No."	"Amit.Rana"	"Narendr.a..Kumar.Niraj"	"Nageshw.ar.Sah"	"Binod.Yadav"	"Shital.Prasad.Singh"	"Suprabha.Bharti"	"Bindeshwari.Mandal"	"Madan.Sah"	"Ranjan.Kumar"	"Arvind.Yadav"	"Krishna.Kumar.Kedia"	"Dharmen.dra.Kumar"	"Niranjan.Singh"	"Rajendra.Yadav"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"2"	"1"	94	401	8	1	7	3	1	2	69	4	2	3	13	19	627	0	627	NA
"3"	"2"	65	234	7	0	11	2	1	1	32	1	1	3	10	23	391	0	391	NA
"4"	"3"	184	166	2	2	4	25	20	1	41	3	2	1	16	15	482	0	482	NA
"5"	"4"	28	355	8	1	5	5	2	1	27	6	2	5	12	13	470	0	470	NA
"6"	"5"	76	133	2	2	11	20	14	1	64	7	2	6	31	18	387	0	387	NA
"7"	"6"	275	248	6	9	4	12	8	3	46	9	2	2	23	19	666	0	666	NA
"8"	"7"	18	252	3	1	3	4	71	3	32	7	5	6	21	17	443	0	443	NA
"9"	"8"	148	372	6	9	4	3	39	4	54	6	0	11	42	29	727	0	727	NA
"10"	"9"	88	371	11	2	5	25	97	11	56	11	6	13	48	36	780	0	780	NA
"11"	"10"	72	201	9	2	1	72	42	10	64	11	9	13	110	29	645	0	645	NA
"12"	"11"	73	398	7	8	17	15	25	4	34	4	1	6	14	4	610	0	610	NA
"13"	"12"	36	230	7	4	1	14	4	3	87	8	3	6	116	34	553	0	553	NA
"14"	"13"	61	188	13	4	2	3	23	3	39	11	2	4	25	13	391	0	391	NA
"15"	"14"	39	421	10	4	42	109	47	4	187	18	9	12	33	18	953	0	953	NA
"16"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"18"	"15"	105	211	4	6	17	42	16	7	81	5	3	12	198	31	738	0	738	NA
"19"	"16"	118	219	5	4	7	6	10	1	65	5	3	5	37	17	502	0	502	NA
"20"	"16-A"	64	169	6	4	4	6	65	3	51	5	7	7	73	20	484	0	484	NA
"21"	"17"	242	92	2	0	1	0	18	0	12	3	1	1	2	6	380	0	380	NA
"22"	"18"	95	227	1	2	3	3	1	2	62	4	6	4	42	18	470	0	470	NA
"23"	"19"	117	71	4	1	12	2	0	0	18	32	0	1	3	5	266	0	266	NA
"24"	"20"	282	143	4	1	4	196	8	3	48	3	8	10	13	44	767	0	767	NA
"25"	"21"	236	87	4	4	3	8	9	1	25	2	4	1	20	14	418	0	418	NA
"26"	"22"	25	98	2	0	1	0	13	3	19	54	1	2	10	14	242	0	242	NA
"27"	"23"	55	300	5	3	3	3	3	2	31	37	3	6	18	19	488	0	488	NA
"28"	"24"	33	270	9	8	17	3	2	4	88	66	5	5	5	9	524	0	524	NA
"29"	"25"	32	276	9	5	13	3	4	1	52	77	4	4	17	20	517	0	517	NA
"30"	"26"	13	133	1	1	0	3	0	1	8	0	0	3	3	5	171	0	171	NA
"31"	"27"	36	332	1	1	7	2	0	0	25	0	1	0	16	11	432	0	432	NA
"32"	"Polling   Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"34"	"27-A"	84	250	5	1	3	4	0	0	30	5	0	4	9	8	403	0	403	NA
"35"	"28"	50	337	3	2	11	3	2	2	50	2	0	3	13	8	486	0	486	NA
"36"	"29"	207	306	6	1	29	15	1	6	112	2	4	15	38	28	770	0	770	NA
"37"	"30"	151	342	3	3	5	3	1	0	66	3	0	7	16	9	609	0	609	NA
"38"	"31"	156	245	15	1	8	6	0	2	57	2	3	3	11	7	516	0	516	NA
"39"	"32"	59	179	3	0	2	12	0	0	34	5	4	3	4	0	305	0	305	NA
"40"	"33"	50	254	1	0	1	0	0	0	36	2	0	1	8	1	354	0	354	NA
"41"	"34"	87	334	0	5	6	2	0	0	36	0	2	3	5	0	480	0	480	NA
