"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BIHAR LEGISLATIVE ASSEMBLY GENERAL ELECTION-2010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Part - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Number & Name of Assembly Constituency : 170-Barbigha Total No. of Electors in the Assembly Constituency : 185383"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"7"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"8"	"1"	"40"	"16"	"0"	"21"	"1"	"1"	"15"	"483"	"11"	"17"	"31"	"636"	"0"	"636"	"0"
"9"	"2"	"280"	"53"	"7"	"64"	"4"	"11"	"22"	"203"	"12"	"13"	"24"	"693"	"0"	"693"	"0"
"10"	"3"	"196"	"54"	"4"	"27"	"0"	"3"	"10"	"145"	"5"	"8"	"20"	"472"	"0"	"472"	"0"
"11"	"4"	"200"	"32"	"6"	"52"	"5"	"5"	"13"	"152"	"11"	"9"	"32"	"517"	"0"	"517"	"0"
"12"	"5"	"78"	"16"	"3"	"24"	"0"	"6"	"6"	"376"	"9"	"6"	"6"	"530"	"0"	"530"	"0"
"13"	"6"	"26"	"12"	"2"	"23"	"1"	"3"	"8"	"260"	"14"	"3"	"7"	"359"	"0"	"359"	"0"
"14"	"7"	"250"	"43"	"6"	"84"	"7"	"4"	"4"	"212"	"7"	"5"	"28"	"650"	"0"	"650"	"0"
"15"	"8"	"63"	"13"	"5"	"27"	"0"	"0"	"4"	"75"	"5"	"2"	"14"	"208"	"0"	"208"	"0"
"16"	"9"	"30"	"8"	"4"	"72"	"4"	"1"	"10"	"105"	"5"	"2"	"8"	"249"	"0"	"249"	"0"
"17"	"10"	"71"	"144"	"9"	"22"	"4"	"6"	"7"	"94"	"5"	"2"	"11"	"375"	"0"	"375"	"0"
"18"	"10A"	"74"	"181"	"3"	"16"	"2"	"2"	"2"	"78"	"11"	"3"	"12"	"384"	"0"	"384"	"0"
"19"	"11"	"316"	"30"	"16"	"143"	"10"	"4"	"16"	"243"	"18"	"5"	"25"	"826"	"0"	"826"	"0"
"20"	"12"	"127"	"23"	"4"	"124"	"5"	"4"	"11"	"169"	"7"	"43"	"21"	"538"	"0"	"538"	"0"
"21"	"13"	"118"	"36"	"18"	"69"	"2"	"4"	"7"	"217"	"6"	"7"	"14"	"498"	"0"	"498"	"0"
"22"	"14"	"205"	"63"	"5"	"47"	"6"	"6"	"13"	"157"	"13"	"6"	"16"	"537"	"0"	"537"	"0"
"23"	"15"	"28"	"436"	"6"	"35"	"7"	"4"	"7"	"39"	"11"	"24"	"27"	"624"	"0"	"624"	"0"
"24"	"16"	"77"	"18"	"4"	"94"	"8"	"1"	"13"	"79"	"13"	"2"	"13"	"322"	"0"	"322"	"0"
"25"	"17"	"5"	"8"	"1"	"139"	"4"	"2"	"7"	"19"	"2"	"4"	"4"	"195"	"0"	"195"	"0"
"26"	"18"	"117"	"81"	"3"	"52"	"0"	"3"	"6"	"107"	"2"	"4"	"3"	"378"	"0"	"378"	"0"
"27"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tende red Votes"
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"29"	""	"Ashok Choudhary (INC)"	"Gajanand Shahi (JDU)"	"Sanjay Kumar (BSP)"	"Sudarshan Kumar (LJP)"	"Rajesh Kumar (SP)"	"Amarnath Singh (IND)"	"Tribhuwan Kumar (IND)"	"Trishuldhari Singh (IND)"	"Mritunjay Kumar (IND)"	"Vijay Kr. Chand (IND)"	"Sheo Kumar (IND)"	""	""	""	""
"30"	"19"	"176"	"86"	"10"	"36"	"8"	"2"	"6"	"50"	"4"	"14"	"20"	"412"	"0"	"412"	"0"
"31"	"20"	"225"	"39"	"2"	"93"	"4"	"1"	"7"	"72"	"4"	"8"	"61"	"516"	"0"	"516"	"0"
"32"	"21"	"174"	"62"	"7"	"143"	"7"	"7"	"6"	"30"	"13"	"8"	"28"	"485"	"0"	"485"	"0"
"33"	"22"	"77"	"16"	"1"	"56"	"4"	"4"	"4"	"70"	"3"	"2"	"16"	"253"	"0"	"253"	"0"
"34"	"23"	"113"	"376"	"2"	"32"	"4"	"8"	"7"	"80"	"7"	"7"	"13"	"649"	"0"	"649"	"0"
"35"	"24"	"123"	"129"	"6"	"115"	"3"	"6"	"23"	"55"	"15"	"9"	"30"	"514"	"0"	"514"	"0"
"36"	"25"	"111"	"126"	"6"	"88"	"2"	"2"	"2"	"30"	"6"	"14"	"19"	"406"	"0"	"406"	"0"
"37"	"26"	"77"	"80"	"1"	"184"	"9"	"1"	"8"	"32"	"3"	"15"	"12"	"422"	"0"	"422"	"0"
"38"	"27"	"134"	"185"	"6"	"103"	"4"	"3"	"8"	"203"	"9"	"12"	"23"	"690"	"0"	"690"	"0"
"39"	"28"	"156"	"183"	"6"	"81"	"6"	"8"	"15"	"126"	"16"	"9"	"47"	"653"	"0"	"653"	"0"
