"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"UDAY KUMAR"	"JITENDRA PASWAN"	"TARKESHWA R CHAUDHARY"	"SHYAM RAJAK"	"ANIL DAS"	"JAY PRAKASH PASWAN"	"JEETENDRA PASWAN"	"MAMTA DEVI"	"YUGESH DAS"	"RAMAYAN PASWAN"	"VIDHAN CHANDRA RANA"	"SANDEEP KUMAR"	"CHANDRAG UPT CHOUDHAR Y"	"RAJESHWAR PASWAN"	""	""	""	""
"2"	"1"	"60"	"1"	"4"	"284"	"6"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"365"	"0"	"365"	"0"
"3"	"2"	"124"	"3"	"1"	"427"	"23"	"32"	"2"	"5"	"8"	"7"	"10"	"4"	"7"	"11"	"664"	"0"	"664"	"0"
"4"	"3"	"112"	"7"	"4"	"424"	"7"	"8"	"2"	"1"	"2"	"3"	"4"	"4"	"4"	"9"	"591"	"0"	"591"	"0"
"5"	"4"	"20"	"2"	"1"	"152"	"7"	"4"	"1"	"0"	"2"	"7"	"8"	"3"	"5"	"5"	"217"	"0"	"217"	"0"
"6"	"5"	"328"	"7"	"2"	"54"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"2"	"9"	"411"	"0"	"411"	"0"
"7"	"6"	"123"	"9"	"24"	"307"	"4"	"8"	"2"	"1"	"0"	"1"	"5"	"1"	"4"	"7"	"496"	"0"	"496"	"0"
"8"	"7"	"419"	"14"	"7"	"112"	"4"	"2"	"0"	"0"	"0"	"3"	"2"	"3"	"1"	"20"	"587"	"0"	"587"	"0"
"9"	"8"	"192"	"17"	"4"	"258"	"4"	"4"	"0"	"0"	"2"	"2"	"1"	"1"	"4"	"10"	"499"	"0"	"499"	"0"
"10"	"9"	"145"	"8"	"3"	"283"	"5"	"0"	"1"	"2"	"1"	"2"	"2"	"1"	"3"	"4"	"460"	"0"	"460"	"0"
"11"	"10"	"92"	"20"	"13"	"287"	"7"	"3"	"2"	"3"	"0"	"3"	"3"	"2"	"2"	"11"	"448"	"0"	"448"	"0"
"12"	"11"	"243"	"13"	"14"	"358"	"2"	"3"	"2"	"2"	"3"	"2"	"5"	"4"	"2"	"10"	"663"	"0"	"663"	"0"
"13"	"12"	"119"	"18"	"10"	"295"	"19"	"4"	"1"	"2"	"6"	"10"	"4"	"3"	"8"	"21"	"520"	"0"	"520"	"0"
"14"	"13"	"29"	"10"	"2"	"361"	"10"	"3"	"2"	"1"	"4"	"6"	"5"	"1"	"2"	"10"	"446"	"0"	"446"	"0"
