"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…80 - Benipur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226587"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	""	"No. of Tendered votes"
"9"	""	""	"Gajendra Jha"	"Gopal Jee
Thakur"	"Chiraneei v Singh"	"Hare Krishna Yadav"	""	"Ganesh Pd. Ray"	"Nawal Kishor Singh"	"Vijay Kumar Mishra"	"Md.
Quamr ul Hoda"	"S.M. Zafar Imam"	"Vinod Jha"	"Sunil Kumar Jha"	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"17"	"18"	"19"	""	"20"
"11"	"1"	"1"	"15"	"257"	"7"	"29"	""	"3"	"3"	"9"	"4"	"14"	"6"	"2"	""	"349"	"-"	"349"	""	""
"12"	"2"	"2"	"30"	"135"	"1"	"145"	""	"8"	"3"	"8"	"3"	"42"	"7"	"13"	""	"395"	"-"	"395"	""	""
"13"	"3"	"3"	"88"	"264"	"11"	"11"	""	"3"	"4"	"17"	"6"	"13"	"10"	"19"	""	"446"	"-"	"446"	""	""
"14"	"4"	"4"	"98"	"123"	"8"	"144"	""	"26"	"13"	"26"	"14"	"175"	"9"	"20"	""	"656"	"-"	"656"	""	""
"15"	"5"	"5"	"30"	"19"	"2"	"403"	""	"12"	"4"	"6"	"11"	"9"	"9"	"10"	""	"515"	"-"	"515"	""	""
"16"	"6"	"6"	"91"	"41"	"26"	"276"	""	"29"	"7"	"11"	"10"	"92"	"2"	"11"	""	"596"	"-"	"596"	""	""
"17"	"7"	"7"	"19"	"44"	"18"	"153"	""	"17"	"8"	"7"	"16"	"173"	"14"	"22"	""	"491"	"-"	"491"	""	""
"18"	"8"	"8"	"90"	"170"	"22"	"76"	""	"8"	"9"	"6"	"5"	"62"	"5"	"13"	""	"466"	"-"	"466"	""	""
"19"	"9"	"9"	"81"	"109"	"6"	"31"	""	"3"	"3"	"13"	"3"	"4"	"4"	"11"	""	"268"	"-"	"268"	""	""
"20"	"10"	"10"	"29"	"205"	"25"	"138"	""	"23"	"15"	"15"	"22"	"79"	"11"	"14"	""	"576"	"-"	"576"	""	""
"21"	"11"	"11"	"80"	"243"	"19"	"108"	""	"1"	"3"	"4"	"7"	"41"	"7"	"7"	""	"520"	"-"	"520"	""	""
"22"	"12"	"12"	"78"	"276"	"18"	"18"	""	"6"	"11"	"14"	"6"	"28"	"12"	"9"	""	"476"	"-"	"476"	""	""
