"BOOTH.NO."	"PRAMOD.KUMAR.SINGH"	"BIJENDRA.PRASAD.YADAV"	"RAVINDRA.KUMAR.RAMAN"	"LAL.KRISHNA.ADWANI"	"DEO.NARAYAN.YADAV"	"BHOGI.MANDAL"	"RAGHUNATH.KAMAT"	"SITA.RAM.SHARMA"	"SURESH.KUMAR.AZAD"	"Total.Valid.Votes"
"1"	1	2	3	4	5	6	7	8	9	10	11
"2"	1	45	447	66	1	22	2	5	6	7	601
"3"	2	39	583	46	2	9	0	2	5	2	688
"4"	3	31	416	161	6	13	7	5	4	5	648
"5"	4	27	445	48	3	22	6	7	9	8	575
"6"	5	58	420	168	7	13	5	7	3	6	687
"7"	6	30	613	94	6	35	9	3	6	6	802
"8"	7	66	354	15	0	17	3	2	6	5	468
"9"	NA	36	330	137	4	17	4	3	9	12	552
"10"	8	7	163	61	4	10	1	3	1	7	257
"11"	9	86	333	58	1	26	11	7	7	7	536
"12"	10	63	456	115	8	43	6	7	9	5	712
"13"	11	25	485	73	4	12	6	9	4	5	623
"14"	12	21	278	70	8	10	4	6	10	10	417
"15"	13	66	570	148	10	33	12	3	5	9	856
"16"	14	23	305	162	4	18	4	3	0	2	521
"17"	15	60	300	227	13	46	4	11	8	18	687
"18"	16	38	525	112	1	30	1	3	8	5	723
"19"	17	41	262	10	5	9	1	2	3	2	335
"20"	18	67	356	72	5	15	3	7	3	6	534
"21"	19	30	165	110	1	17	0	5	4	13	345
"22"	20	51	362	47	1	19	2	4	4	5	495
"23"	21	19	268	408	15	12	5	4	7	16	754
"24"	22	6	56	517	6	5	1	2	3	10	606
"25"	23	7	316	47	2	12	3	4	9	9	409
"26"	24	10	377	39	1	16	14	2	1	2	462
"27"	25	26	332	58	6	6	3	4	3	5	443
"28"	26	19	351	274	9	35	7	2	1	3	701
"29"	27	33	375	40	1	18	5	6	8	12	498
"30"	28	16	262	407	6	40	3	4	5	11	754
"31"	29	5	129	266	5	7	0	4	2	1	419
"32"	30	11	116	260	9	10	2	2	1	14	425
"33"	31	17	27	310	8	3	2	6	2	5	380
"34"	32	35	169	459	13	16	3	2	1	0	698
"35"	33	39	177	341	10	3	0	4	0	2	576
"36"	34	17	192	296	6	10	4	4	4	7	540
"37"	35	14	293	35	1	3	1	0	1	1	349
"38"	36	13	78	368	5	26	11	9	8	15	533
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	1	2	3	4	5	6	7	8	9	10	11
"41"	37	11	131	207	9	17	6	5	4	1	391
"42"	38	16	211	177	8	17	3	9	3	9	453
"43"	39	25	189	274	12	15	14	23	3	19	574
"44"	40	12	209	252	6	34	10	5	9	20	557
"45"	41	17	83	243	15	18	5	3	2	6	392
"46"	42	14	108	162	7	7	0	1	2	5	306
"47"	43	24	258	180	8	39	6	8	7	15	545
"48"	44	13	190	140	3	11	3	8	3	4	375
"49"	45	9	161	143	4	11	2	2	0	1	333
"50"	NA	9	175	168	8	13	4	4	10	5	396
"51"	46	9	236	197	7	17	4	7	9	5	491
"52"	47	13	416	161	9	34	8	4	8	15	668
"53"	48	3	24	155	7	3	2	1	3	0	198
"54"	49	19	193	387	17	19	4	13	8	17	677
"55"	50	8	78	256	9	8	2	7	3	9	380
"56"	51	6	101	221	18	16	7	11	8	13	401
"57"	NA	21	133	220	8	19	7	2	2	7	419
"58"	52	14	89	265	12	31	3	6	6	4	430
"59"	53	16	349	221	7	23	7	8	8	17	656
"60"	54	59	189	80	5	52	3	5	2	4	399
"61"	NA	38	249	139	5	55	3	6	5	1	501
"62"	55	10	123	88	2	11	2	7	4	9	256
"63"	56	3	155	25	1	23	2	0	1	2	212
"64"	57	16	253	74	2	30	2	0	0	0	377
"65"	58	15	309	129	2	43	6	3	3	6	516
"66"	59	20	152	303	9	12	0	4	2	3	505
"67"	60	20	125	316	9	5	2	5	4	2	488
"68"	NA	12	144	239	4	0	1	2	0	2	404
"69"	61	21	168	290	17	18	5	15	14	10	558
"70"	62	11	101	333	6	14	1	2	0	1	469
"71"	63	9	87	237	11	13	0	2	1	2	362
"72"	64	16	156	328	16	20	4	5	6	9	560
"73"	65	6	177	257	8	36	7	10	10	12	523
"74"	66	14	338	179	7	13	5	11	7	5	579
"75"	67	15	120	418	14	13	3	5	5	3	596
"76"	68	27	266	15	1	13	1	4	2	4	333
"77"	69	4	39	127	2	0	1	1	0	1	175
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	1	2	3	4	5	6	7	8	9	10	11
"80"	70	15	191	289	8	25	3	4	8	8	551
"81"	71	28	157	104	2	9	1	1	2	1	305
"82"	NA	12	125	98	5	7	1	2	4	0	254
"83"	72	18	86	124	3	13	3	1	5	4	257
"84"	NA	7	98	158	0	9	0	2	1	0	275
"85"	73	17	81	149	5	8	1	4	4	6	275
"86"	74	9	50	108	1	5	0	1	0	0	174
