"Name.of.Candidate"	"AJIT.KUMAR"	"JAGDISH.PRASAD"	"YOGENNDRA.PRASAD.SINGH"	"RAHUL.KUMAR"	"SANJAY.KUMAR"	"MANIBHUSHANN.SHARMA"	"RAMBALI.SINGH"	"BDYANAND.KUMAR"	"AJAY.KUMAR"	"ABHAY.KUMAR.ANIL"	"Total.Valid.Votes"	"No..of.Rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	9	8	4	62	9	8	163	12	8	15	298	NA	298	0
"4"	"2"	7	230	3	22	4	4	33	4	16	6	329	NA	329	0
"5"	"3"	7	341	9	150	5	1	26	1	35	17	592	NA	592	0
"6"	"4"	10	196	8	51	8	6	58	5	9	5	356	NA	356	0
"7"	"5"	15	245	23	51	2	7	97	7	17	14	478	NA	478	0
"8"	"6"	7	73	3	173	9	6	177	9	20	25	502	NA	502	0
"9"	"7"	14	39	14	292	11	14	348	14	23	8	777	NA	777	0
"10"	"8"	13	213	13	153	5	2	21	3	15	6	444	NA	444	0
"11"	"9"	9	98	13	199	2	8	74	4	15	15	437	NA	437	0
"12"	"10"	0	56	5	180	0	1	2	1	2	2	249	NA	249	0
"13"	"11"	14	162	15	244	16	7	54	16	46	29	603	NA	603	0
"14"	"12"	4	217	5	277	1	2	101	3	11	7	628	NA	628	0
"15"	"13"	6	188	9	59	4	1	12	7	27	20	333	NA	333	0
"16"	"14"	7	320	3	60	2	2	29	4	1	0	428	NA	428	0
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	122	2386	127	1973	78	69	1195	90	245	169	6454	NA	6454	0
"19"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"21"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"15"	7	93	4	142	3	3	18	8	7	21	306	NA	306	0
"23"	"16"	27	381	18	156	6	4	16	8	20	21	657	NA	657	0
"24"	"17"	9	190	14	88	3	3	81	1	28	2	419	NA	419	0
"25"	"18"	9	167	0	301	5	1	78	3	18	10	592	NA	592	0
"26"	"19"	20	147	4	258	7	6	133	7	12	24	618	NA	618	0
"27"	"20"	5	641	1	11	1	0	1	0	0	0	660	NA	660	0
"28"	"21"	16	365	15	25	8	10	144	7	11	8	609	NA	609	0
"29"	"22"	19	258	19	124	32	4	89	6	17	12	580	NA	580	0
"30"	"23"	2	161	5	14	2	0	12	2	5	3	206	NA	206	0
