"BOOTH.NO"	"ABDUL.HAMID.ANSARI"	"JAIMANGAL.PRASAD"	"ZAINAB.AHMAD.NABI"	"NEK.MOHAMMED"	"FAISAL.RAHMAN"	"BINDESHWARI.PRASAD"	"JAWAHAR.LAL.PRASAD"	"DHARAM.DEV.RAI"	"SUBHAS.KUMAR.SINGH"	"NEKA.MAHAMAD"	"PAWAN.KUMAR.JAISWAL"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13
"2"	1	12	2	1	159	244	19	3	5	7	18	187	657
"3"	2	6	20	0	114	88	34	1	2	3	12	261	541
"4"	3	5	7	1	87	277	5	5	1	3	6	225	622
"5"	NA	1	1	0	86	124	2	3	3	5	4	30	259
"6"	4	7	0	2	127	252	27	1	5	9	11	133	574
"7"	NA	4	1	1	27	112	7	0	3	0	7	147	309
"8"	5	9	3	4	96	149	155	4	4	5	5	49	483
"9"	6	13	0	2	10	159	24	0	2	6	1	281	498
"10"	7	23	5	1	29	435	69	6	9	11	8	194	790
"11"	8	11	3	3	31	457	23	5	9	6	2	277	827
"12"	9	2	6	0	30	312	50	4	9	7	3	143	566
"13"	10	16	15	3	169	87	1	4	11	8	18	114	446
"14"	11	11	5	2	88	104	25	5	7	8	11	259	525
"15"	12	12	4	0	103	277	29	3	3	4	9	100	544
"16"	13	9	5	3	122	200	151	10	5	10	19	40	574
"17"	14	9	3	0	41	318	222	3	7	6	9	91	709
"18"	15	7	0	1	27	156	27	2	0	1	0	79	300
"19"	16	14	108	4	156	37	123	7	14	6	30	129	628
"20"	17	18	9	3	118	59	93	8	11	7	32	380	738
"21"	18	27	80	6	91	103	44	6	9	7	22	280	675
"22"	19	15	28	1	33	106	19	1	9	2	13	324	551
"23"	20	46	40	13	231	75	54	7	8	8	26	110	618
"24"	NA	15	136	4	64	55	9	3	4	4	21	61	376
"25"	21	31	301	5	58	156	25	7	10	9	27	316	945
"26"	22	24	304	8	30	241	25	3	13	10	25	296	979
"27"	23	28	93	1	99	172	13	6	7	5	21	175	620
"28"	24	21	26	0	49	292	17	2	8	15	6	129	565
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	1	2	3	4	5	6	7	8	9	10	11	12	13
"31"	25	18	71	2	181	136	15	3	6	13	15	150	610
"32"	26	18	38	7	32	216	20	4	3	6	23	249	616
"33"	27	1	2	0	91	278	10	2	6	2	7	58	457
"34"	28	22	26	4	210	66	14	5	11	16	26	482	882
"35"	29	8	3	3	216	206	6	3	10	5	36	212	708
"36"	30	15	64	4	175	143	11	1	8	4	18	113	556
"37"	31	8	1	1	220	39	4	1	5	6	15	41	341
"38"	32	12	15	5	314	70	10	7	3	2	14	196	648
"39"	33	20	2	2	145	107	14	5	2	7	20	345	669
"40"	34	7	28	3	101	127	18	6	6	5	16	423	740
"41"	35	13	28	5	143	138	16	2	5	6	19	176	551
"42"	36	19	12	1	76	40	13	3	2	2	9	386	563
"43"	37	16	7	0	36	125	12	2	2	5	10	187	402
"44"	38	26	7	4	242	104	16	5	7	8	16	107	542
"45"	39	6	20	0	2	153	9	3	3	2	8	308	514
"46"	40	23	13	4	122	137	16	4	26	13	16	112	486
"47"	41	15	33	1	147	100	11	2	2	0	5	248	564
"48"	42	27	149	4	95	103	28	3	5	2	24	55	495
"49"	43	30	179	15	197	45	16	9	15	18	41	79	644
"50"	44	22	22	6	312	146	10	7	10	12	21	90	658
"51"	45	21	179	8	284	21	3	8	4	4	33	72	637
"52"	46	24	52	8	110	72	26	7	6	9	17	343	674
"53"	NA	5	5	1	4	107	7	6	2	2	5	143	287
"54"	47	8	10	2	130	122	8	2	4	2	12	146	446
"55"	48	10	11	3	45	207	41	4	6	8	5	121	461
"56"	49	17	55	5	47	332	17	2	6	5	7	251	744
"57"	50	32	2	12	121	192	10	2	0	1	2	70	444
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13
"60"	51	12	8	1	45	180	39	2	9	2	5	178	481
"61"	52	22	24	3	306	82	23	11	12	9	34	181	707
"62"	53	11	44	4	128	79	14	1	7	8	13	174	483
"63"	54	12	19	3	66	178	23	13	9	13	17	131	484
"64"	55	6	112	5	86	181	21	7	6	11	23	216	674
"65"	56	5	31	2	193	200	8	0	0	5	14	67	525
"66"	57	31	60	7	123	159	19	6	8	14	21	307	755
"67"	58	21	114	8	146	220	43	8	11	16	37	111	735
"68"	59	12	35	1	72	154	13	6	4	11	17	275	600
"69"	60	17	18	3	136	91	11	4	11	2	12	168	473
"70"	61	26	23	6	95	185	18	2	7	7	26	337	732
"71"	62	23	56	4	99	317	31	10	7	6	18	168	739
