"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"2"	"1"	"1"	"56"	"34"	"35"	"395"	"36"	"84"	"7"	"5"	"25"	"6"	"7"	"10"	"13"	"26"	"8"	"53"	"4"	"2"	"0"	"11"	"12"	"7"	"836"	"0"	"836"	"0"
"3"	"2"	"2"	"68"	"10"	"11"	"328"	"67"	"145"	"3"	"6"	"4"	"5"	"4"	"3"	"7"	"20"	"7"	"152"	"8"	"3"	"6"	"9"	"3"	"6"	"875"	"0"	"875"	"0"
"4"	"3"	"3"	"144"	"55"	"67"	"296"	"26"	"59"	"1"	"0"	"4"	"8"	"1"	"3"	"2"	"13"	"2"	"43"	"0"	"1"	"1"	"3"	"1"	"2"	"732"	"0"	"732"	"0"
"5"	"4"	"4"	"19"	"22"	"71"	"395"	"50"	"60"	"7"	"4"	"8"	"3"	"2"	"5"	"7"	"9"	"1"	"10"	"7"	"6"	"2"	"0"	"4"	"4"	"696"	"0"	"696"	"0"
"6"	"5"	"5"	"3"	"26"	"40"	"129"	"14"	"20"	"9"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"8"	"0"	"0"	"1"	"0"	"1"	"1"	"259"	"0"	"259"	"0"
"7"	"6"	"6"	"10"	"51"	"3"	"100"	"17"	"127"	"2"	"2"	"0"	"3"	"2"	"0"	"2"	"3"	"0"	"17"	"14"	"6"	"4"	"3"	"12"	"10"	"388"	"0"	"388"	"0"
"8"	"7"	"7"	"2"	"30"	"4"	"438"	"53"	"46"	"3"	"3"	"4"	"4"	"5"	"7"	"7"	"9"	"8"	"46"	"2"	"1"	"2"	"3"	"4"	"7"	"688"	"0"	"688"	"0"
"9"	"8"	"8"	"200"	"67"	"16"	"332"	"32"	"74"	"11"	"5"	"2"	"8"	"4"	"5"	"9"	"14"	"7"	"72"	"17"	"4"	"4"	"16"	"2"	"10"	"911"	"0"	"911"	"0"
"10"	"9"	"9"	"51"	"123"	"3"	"107"	"11"	"207"	"3"	"1"	"2"	"5"	"7"	"1"	"5"	"0"	"6"	"76"	"1"	"0"	"0"	"1"	"0"	"1"	"611"	"0"	"611"	"0"
