"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X235171.48.235219.34.Babubarhi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"4"	"1"	"33"	"106"	"6"	"42"	"4"	"2"	"4"	"2"	"32"	"231"	""	"231"	""
"5"	"2"	"186"	"236"	"22"	"23"	"5"	"5"	"6"	"9"	"79"	"571"	""	"571"	""
"6"	"3"	"328"	"202"	"14"	"129"	"15"	"8"	"6"	"4"	"19"	"725"	""	"725"	""
"7"	"4"	"249"	"267"	"8"	"127"	"11"	"6"	"8"	"5"	"16"	"697"	""	"697"	""
"8"	"5"	"38"	"188"	"6"	"180"	"4"	"7"	"2"	"13"	"7"	"445"	""	"445"	""
"9"	"6"	"243"	"215"	"11"	"50"	"14"	"12"	"2"	"17"	"37"	"601"	""	"601"	""
"10"	"7"	"21"	"564"	"4"	"1"	"2"	"2"	"0"	"1"	"0"	"595"	""	"595"	""
"11"	"8"	"30"	"467"	"12"	"13"	"3"	"4"	"3"	"13"	"20"	"565"	""	"565"	""
"12"	"9"	"352"	"322"	"10"	"33"	"12"	"6"	"2"	"7"	"9"	"753"	""	"753"	""
"13"	"10"	"285"	"239"	"9"	"184"	"12"	"6"	"4"	"0"	"5"	"744"	""	"744"	""
"14"	"11"	"121"	"118"	"2"	"78"	"1"	"5"	"2"	"2"	"2"	"331"	""	"331"	""
"15"	"12"	"250"	"385"	"11"	"7"	"8"	"6"	"8"	"12"	"22"	"709"	""	"709"	""
"16"	"13"	"13"	"151"	"4"	"36"	"2"	"1"	"1"	"7"	"7"	"222"	""	"222"	""
"17"	"14"	"114"	"177"	"7"	"59"	"4"	"5"	"1"	"1"	"7"	"375"	""	"375"	""
"18"	"Total -1"	"2263"	"3637"	"126"	"962"	"97"	"75"	"49"	"93"	"262"	"7564"	"0"	"7564"	"0"
"19"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"20"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
