"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"2"	"1"	"1"	"119"	"14"	"144"	"4"	"8"	"0"	"2"	"1"	"94"	"10"	"396"	"0"	"396"	"0"
"3"	"2"	"2"	"179"	"11"	"48"	"1"	"5"	"1"	"0"	"0"	"24"	"8"	"277"	"0"	"277"	"0"
"4"	"3"	"3"	"349"	"18"	"32"	"4"	"3"	"2"	"3"	"1"	"14"	"11"	"437"	"0"	"437"	"0"
"5"	"4"	"4"	"218"	"20"	"195"	"10"	"7"	"5"	"2"	"1"	"66"	"6"	"530"	"0"	"530"	"0"
"6"	"5"	"5"	"341"	"12"	"80"	"1"	"11"	"7"	"2"	"1"	"8"	"8"	"471"	"0"	"471"	"0"
"7"	"6"	"6"	"189"	"35"	"32"	"5"	"43"	"0"	"4"	"3"	"4"	"0"	"315"	"0"	"315"	"0"
"8"	"7"	"7"	"529"	"61"	"212"	"5"	"20"	"13"	"17"	"13"	"29"	"43"	"942"	"0"	"942"	"0"
"9"	"8"	"8"	"162"	"73"	"270"	"6"	"12"	"2"	"11"	"8"	"9"	"9"	"562"	"0"	"562"	"0"
"10"	"9"	"9"	"74"	"129"	"139"	"3"	"7"	"1"	"3"	"1"	"3"	"1"	"361"	"0"	"361"	"0"
"11"	"10"	"10"	"319"	"106"	"219"	"6"	"14"	"1"	"9"	"2"	"7"	"9"	"692"	"0"	"692"	"0"
"12"	"11"	"11"	"111"	"46"	"317"	"5"	"7"	"1"	"2"	"3"	"5"	"3"	"500"	"0"	"500"	"0"
"13"	"12"	"12"	"25"	"410"	"63"	"3"	"4"	"2"	"0"	"0"	"12"	"11"	"530"	"0"	"530"	"0"
"14"	"13"	"12A"	"25"	"185"	"203"	"3"	"7"	"1"	"5"	"2"	"8"	"4"	"443"	"0"	"443"	"0"
"15"	"14"	"13"	"237"	"20"	"23"	"1"	"18"	"3"	"2"	"2"	"8"	"6"	"320"	"0"	"320"	"0"
"16"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"18"	"15"	"14"	"477"	"37"	"91"	"4"	"5"	"3"	"3"	"2"	"19"	"6"	"647"	"0"	"647"	"0"
"19"	"16"	"15"	"192"	"27"	"459"	"10"	"9"	"8"	"4"	"11"	"93"	"24"	"837"	"0"	"837"	"0"
