"Election.to.the.house.of.the.people.from.the..12.NARKATIA..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Part - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[To be used both for Parliamentary and Assembly Election]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electiors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of th Assembly/Segment      12- Narkatia"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"7"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"8"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"9"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
"10"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"11"	"1"	"1"	""	"14"	"53"	"4"	"53"	"10"	"14"	"3"	"0"	"16"	"0"	"0"	"2"	"19"	"81"	"35"	"5"	"3"	"312"	"0"	"0"	"0"
"12"	"2"	"2"	""	"5"	"56"	"5"	"153"	"31"	"22"	"0"	"4"	"9"	"3"	"6"	"3"	"31"	"76"	"24"	"2"	"9"	"439"	"0"	"0"	"0"
"13"	"3"	"3"	""	"3"	"122"	"9"	"68"	"9"	"40"	"5"	"3"	"10"	"4"	"9"	"7"	"81"	"90"	"100"	"9"	"2"	"571"	"0"	"0"	"0"
"14"	"4"	"4"	""	"6"	"54"	"9"	"75"	"15"	"110"	"7"	"0"	"1"	"2"	"8"	"2"	"69"	"204"	"45"	"5"	"1"	"613"	"0"	"0"	"0"
"15"	"5"	"5"	""	"3"	"4"	"5"	"212"	"118"	"9"	"5"	"6"	"15"	"2"	"2"	"7"	"51"	"22"	"38"	"8"	"4"	"511"	"0"	"0"	"0"
"16"	"6"	"5"	"A"	"11"	"13"	"2"	"77"	"49"	"21"	"4"	"5"	"12"	"3"	"5"	"8"	"142"	"51"	"30"	"11"	"1"	"445"	"0"	"0"	"0"
