"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - Bahadurpur  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"9"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"11"	"1"	"1"	"4"	"47"	"9"	"3"	"9"	"81"	"16"	"3"	"3"	"3"	"6"	"6"	"20"	"9"	"22"	"36"	"1"	""	"6"	"64"	"6"	"354"	"-"	"354"	""	""
"12"	"2"	"1A"	"13"	"9"	"4"	"3"	"4"	"343"	"15"	"4"	"4"	"3"	"12"	"4"	"25"	"1"	"9"	"12"	"3"	""	"3"	"13"	"3"	"487"	"-"	"487"	""	""
"13"	"3"	"2"	"2"	"108"	"56"	"3"	"26"	"302"	"9"	"3"	"0"	"0"	"2"	"2"	"10"	"1"	"7"	"11"	"4"	""	"11"	"38"	"10"	"605"	"-"	"605"	""	""
"14"	"4"	"3"	"4"	"91"	"7"	"3"	"15"	"206"	"20"	"6"	"7"	"3"	"8"	"2"	"5"	"5"	"125"	"18"	"4"	""	"3"	"5"	"1"	"538"	"-"	"538"	""	""
"15"	"5"	"4"	"9"	"247"	"92"	"2"	"45"	"11"	"6"	"3"	"2"	"1"	"4"	"3"	"8"	"4"	"17"	"2"	"3"	""	"4"	"26"	"1"	"490"	"-"	"490"	""	""
"16"	"6"	"5"	"9"	"174"	"49"	"4"	"20"	"9"	"3"	"4"	"1"	"1"	"3"	"0"	"8"	"12"	"35"	"9"	"3"	""	"10"	"5"	"1"	"360"	"-"	"360"	""	""
"17"	"7"	"6"	"8"	"102"	"10"	"1"	"10"	"24"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"2"	""	"2"	"8"	"1"	"179"	"-"	"179"	""	""
"18"	"8"	"7"	"14"	"142"	"18"	"2"	"7"	"181"	"12"	"5"	"5"	"2"	"4"	"2"	"3"	"3"	"14"	"12"	"17"	""	"20"	"28"	"18"	"509"	"-"	"509"	""	""
"19"	"9"	"8"	"1"	"3"	"20"	"1"	"4"	"12"	"166"	"6"	"1"	"8"	"1"	"1"	"4"	"10"	"5"	"11"	"6"	""	"1"	"7"	"10"	"278"	"-"	"278"	""	""
"20"	"10"	"9"	"9"	"10"	"9"	"1"	"2"	"9"	"144"	"3"	"2"	"4"	"2"	"4"	"2"	"6"	"6"	"2"	"9"	""	"1"	"11"	"4"	"240"	"-"	"240"	""	""
"21"	"11"	"10"	"4"	"4"	"10"	"3"	"13"	"21"	"233"	"11"	"2"	"3"	"0"	"2"	"1"	"4"	"2"	"3"	"22"	""	"1"	"13"	"4"	"356"	"-"	"356"	""	""
"22"	"12"	"11"	"16"	"7"	"6"	"2"	"15"	"5"	"257"	"11"	"2"	"11"	"1"	"2"	"3"	"5"	"7"	"13"	"4"	""	"0"	"3"	"1"	"371"	"-"	"371"	""	""
"23"	"13"	"12"	"6"	"75"	"53"	"9"	"77"	"117"	"94"	"87"	"7"	"12"	"6"	"10"	"11"	"11"	"19"	"17"	"13"	""	"10"	"35"	"18"	"687"	"-"	"687"	""	""
"24"	"14"	"13"	"3"	"90"	"4"	"0"	"5"	"6"	"3"	"5"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"4"	"2"	""	"5"	"0"	"0"	"134"	"-"	"134"	""	""
"25"	"15"	"14"	"13"	"29"	"25"	"1"	"15"	"204"	"18"	"8"	"0"	"4"	"3"	"1"	"18"	"2"	"2"	"5"	"4"	""	"1"	"17"	"6"	"376"	"-"	"376"	""	""
"26"	"16"	"15"	"1"	"39"	"81"	"2"	"17"	"53"	"11"	"12"	"1"	"1"	"2"	"3"	"22"	"4"	"5"	"3"	"1"	""	"0"	"51"	"5"	"314"	"-"	"314"	""	""
"27"	"17"	"16"	"11"	"243"	"125"	"3"	"52"	"100"	"8"	"6"	"4"	"2"	"6"	"8"	"14"	"13"	"21"	"23"	"2"	""	"10"	"98"	"7"	"756"	"-"	"756"	""	""
"28"	"18"	"17"	"14"	"401"	"10"	"2"	"7"	"1"	"3"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"9"	"4"	"2"	""	"6"	"9"	"0"	"473"	"-"	"473"	""	""
"29"	"19"	"18"	"8"	"296"	"42"	"4"	"14"	"107"	"4"	"2"	"2"	"3"	"7"	"2"	"6"	"4"	"30"	"13"	"0"	""	"3"	"33"	"4"	"584"	"-"	"584"	""	""
"30"	"20"	"19"	"3"	"136"	"87"	"7"	"16"	"74"	"5"	"4"	"2"	"0"	"1"	"4"	"15"	"5"	"39"	"12"	"11"	""	"16"	"145"	"6"	"588"	"-"	"588"	""	""
"31"	"21"	"20"	"2"	"209"	"133"	"5"	"25"	"21"	"3"	"1"	"1"	"0"	"1"	"4"	"5"	"0"	"11"	"2"	"5"	""	"5"	"105"	"8"	"546"	"-"	"546"	""	""
"32"	"22"	"21"	"0"	"131"	"67"	"4"	"4"	"6"	"2"	"1"	"0"	"1"	"2"	"1"	"7"	"4"	"7"	"1"	"7"	""	"9"	"239"	"12"	"505"	"-"	"505"	""	""
"33"	"23"	"22"	"12"	"66"	"100"	"9"	"20"	"204"	"16"	"6"	"4"	"3"	"16"	"10"	"21"	"24"	"34"	"27"	"1"	""	"4"	"16"	"7"	"600"	"-"	"600"	""	""
"34"	"24"	"23"	"3"	"11"	"20"	"2"	"17"	"204"	"52"	"7"	"3"	"7"	"14"	"5"	"2"	"7"	"8"	"9"	"8"	""	"2"	"14"	"5"	"400"	"-"	"400"	""	""
"35"	"25"	"24"	"6"	"244"	"15"	"4"	"39"	"104"	"5"	"3"	"0"	"3"	"8"	"5"	"11"	"6"	"32"	"13"	"4"	""	"16"	"15"	"5"	"538"	"-"	"538"	""	""
"36"	"26"	"25"	"9"	"275"	"37"	"5"	"60"	"102"	"10"	"5"	"2"	"0"	"4"	"3"	"8"	"0"	"21"	"10"	"2"	""	"6"	"20"	"2"	"581"	"-"	"581"	""	""
"37"	"27"	"26"	"8"	"18"	"5"	"3"	"15"	"46"	"3"	"28"	"3"	"0"	"1"	"4"	"3"	"0"	"186"	"10"	"8"	""	"2"	"2"	"12"	"357"	"-"	"357"	""	""
"38"	"28"	"27"	"5"	"195"	"36"	"3"	"47"	"136"	"10"	"7"	"1"	"17"	"3"	"3"	"23"	"1"	"17"	"16"	"1"	""	"5"	"76"	"49"	"651"	"-"	"651"	""	""
"39"	"29"	"28"	"1"	"114"	"13"	"3"	"33"	"42"	"3"	"4"	"1"	"4"	"2"	"6"	"7"	"6"	"107"	"14"	"5"	""	"5"	"37"	"14"	"421"	"-"	"421"	""	""
"40"	"30"	"29"	"1"	"63"	"9"	"5"	"10"	"98"	"8"	"1"	"2"	"1"	"1"	"0"	"6"	"3"	"10"	"7"	"1"	""	"1"	"11"	"23"	"261"	"-"	"261"	""	""
"41"	"31"	"30"	"7"	"222"	"9"	"5"	"21"	"47"	"3"	"28"	"0"	"1"	"2"	"2"	"9"	"4"	"67"	"2"	"25"	""	"12"	"46"	"4"	"516"	"-"	"516"	""	""
"42"	"32"	"31"	"7"	"154"	"14"	"6"	"14"	"122"	"8"	"3"	"2"	"1"	"3"	"4"	"17"	"4"	"40"	"16"	"7"	""	"4"	"80"	"30"	"536"	"-"	"536"	""	""
"43"	"33"	"32"	"7"	"337"	"25"	"3"	"20"	"49"	"2"	"10"	"2"	"1"	"3"	"3"	"9"	"13"	"83"	"7"	"11"	""	"16"	"25"	"6"	"632"	"-"	"632"	""	""
"44"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
