"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"116"	"9"	"138"	"35"	"23"	"8"	"3"	"4"	"71"	"5"	"12"	"5"	"6"	"23"	"458"
"4"	"2"	"58"	"8"	"162"	"17"	"13"	"3"	"1"	"5"	"108"	"1"	"11"	"6"	"4"	"12"	"409"
"5"	"3"	"55"	"3"	"361"	"237"	"16"	"3"	"5"	"3"	"11"	"3"	"8"	"5"	"21"	"27"	"758"
"6"	"4"	"93"	"8"	"560"	"24"	"10"	"3"	"4"	"6"	"39"	"10"	"13"	"7"	"13"	"36"	"826"
"7"	"5"	"99"	"5"	"353"	"39"	"3"	"5"	"4"	"4"	"105"	"4"	"12"	"21"	"13"	"16"	"683"
"8"	"6"	"89"	"14"	"339"	"21"	"11"	"2"	"7"	"5"	"15"	"40"	"19"	"15"	"23"	"30"	"630"
"9"	"7"	"23"	"7"	"325"	"26"	"6"	"3"	"3"	"9"	"105"	"15"	"8"	"12"	"18"	"50"	"610"
"10"	"8"	"150"	"14"	"182"	"87"	"7"	"8"	"4"	"5"	"102"	"11"	"15"	"5"	"15"	"13"	"618"
"11"	"9"	"29"	"11"	"422"	"10"	"5"	"5"	"7"	"5"	"19"	"53"	"14"	"3"	"6"	"13"	"602"
"12"	"10"	"70"	"5"	"156"	"22"	"7"	"3"	"7"	"3"	"33"	"94"	"6"	"6"	"11"	"14"	"437"
"13"	"11"	"177"	"2"	"83"	"127"	"3"	"7"	"4"	"3"	"59"	"29"	"6"	"1"	"4"	"8"	"513"
"14"	"12"	"43"	"7"	"141"	"116"	"6"	"2"	"2"	"2"	"2"	"2"	"8"	"3"	"10"	"3"	"347"
"15"	"13"	"35"	"3"	"185"	"49"	"6"	"5"	"0"	"5"	"88"	"2"	"5"	"0"	"6"	"11"	"400"
"16"	"14"	"175"	"6"	"168"	"63"	"5"	"3"	"2"	"1"	"78"	"3"	"4"	"4"	"9"	"12"	"533"
"17"	"15"	"231"	"7"	"186"	"82"	"4"	"3"	"1"	"2"	"95"	"5"	"8"	"1"	"4"	"15"	"644"
