"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"ELECTION TO  THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 164-TARAPUR CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"4"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"6"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"8"	"1"	"4"	"114"	"39"	"94"	"3"	"0"	"0"	"4"	"1"	"18"	"3"	"3"	"4"	"3"	"290"
"9"	"2"	"2"	"137"	"19"	"37"	"2"	"0"	"2"	"0"	"0"	"15"	"0"	"3"	"1"	"1"	"219"
"10"	"3"	"11"	"190"	"271"	"148"	"5"	"1"	"1"	"6"	"0"	"24"	"5"	"41"	"6"	"21"	"730"
"11"	"4"	"8"	"192"	"268"	"11"	"2"	"1"	"0"	"3"	"1"	"32"	"10"	"16"	"4"	"15"	"563"
"12"	"5"	"4"	"152"	"151"	"20"	"2"	"1"	"1"	"2"	"1"	"21"	"3"	"4"	"3"	"6"	"371"
"13"	"6"	"16"	"36"	"31"	"390"	"11"	"2"	"1"	"6"	"0"	"3"	"5"	"3"	"11"	"11"	"526"
"14"	"7"	"2"	"320"	"69"	"4"	"0"	"0"	"0"	"0"	"2"	"8"	"1"	"3"	"4"	"7"	"420"
"15"	"8"	"4"	"142"	"78"	"66"	"4"	"2"	"2"	"6"	"0"	"11"	"4"	"4"	"3"	"1"	"327"
"16"	"9"	"5"	"116"	"66"	"216"	"2"	"1"	"1"	"3"	"1"	"12"	"7"	"6"	"8"	"11"	"455"
"17"	"10"	"3"	"76"	"108"	"64"	"0"	"0"	"1"	"1"	"1"	"7"	"2"	"3"	"3"	"3"	"272"
"18"	"11"	"6"	"143"	"74"	"84"	"5"	"4"	"3"	"5"	"2"	"11"	"1"	"6"	"2"	"4"	"350"
"19"	"12"	"2"	"118"	"32"	"59"	"2"	"1"	"0"	"1"	"1"	"27"	"2"	"7"	"1"	"12"	"265"
"20"	"13"	"3"	"78"	"83"	"133"	"4"	"2"	"4"	"5"	"2"	"11"	"4"	"2"	"0"	"5"	"336"
"21"	"14"	"4"	"106"	"145"	"42"	"2"	"0"	"0"	"2"	"0"	"31"	"4"	"14"	"7"	"19"	"376"
"22"	"15"	"21"	"253"	"88"	"97"	"2"	"4"	"1"	"3"	"0"	"55"	"5"	"6"	"9"	"21"	"565"
"23"	"16"	"5"	"128"	"89"	"54"	"6"	"6"	"2"	"0"	"3"	"36"	"3"	"10"	"3"	"5"	"350"
"24"	"17"	"5"	"286"	"135"	"54"	"6"	"3"	"2"	"4"	"8"	"85"	"20"	"32"	"14"	"19"	"673"
"25"	"18"	"7"	"74"	"175"	"43"	"2"	"5"	"2"	"3"	"2"	"22"	"1"	"16"	"4"	"11"	"367"
"26"	"19"	"0"	"127"	"175"	"37"	"2"	"1"	"0"	"4"	"1"	"35"	"4"	"6"	"3"	"14"	"409"
"27"	"20"	"4"	"231"	"96"	"112"	"1"	"1"	"0"	"5"	"2"	"24"	"2"	"8"	"3"	"10"	"499"
"28"	"21"	"4"	"207"	"124"	"52"	"0"	"0"	"0"	"1"	"0"	"16"	"3"	"4"	"3"	"4"	"418"
"29"	"22"	"5"	"130"	"53"	"176"	"10"	"2"	"0"	"4"	"2"	"23"	"2"	"4"	"7"	"3"	"421"
"30"	"23"	"4"	"43"	"58"	"154"	"12"	"3"	"1"	"5"	"0"	"9"	"8"	"7"	"6"	"10"	"320"
"31"	"24"	"1"	"220"	"8"	"0"	"0"	"0"	"0"	"1"	"0"	"7"	"2"	"1"	"3"	"8"	"251"
"32"	"25"	"7"	"87"	"140"	"110"	"1"	"3"	"5"	"5"	"7"	"43"	"13"	"95"	"6"	"17"	"539"
"33"	"26"	"6"	"43"	"90"	"239"	"10"	"1"	"2"	"3"	"2"	"15"	"2"	"63"	"5"	"6"	"487"
"34"	"27"	"11"	"196"	"138"	"161"	"12"	"2"	"2"	"10"	"5"	"59"	"10"	"12"	"11"	"50"	"679"
"35"	"28"	"4"	"129"	"165"	"40"	"1"	"0"	"3"	"1"	"2"	"12"	"3"	"4"	"8"	"10"	"382"
"36"	"29"	"2"	"108"	"80"	"291"	"7"	"0"	"1"	"1"	"1"	"12"	"6"	"2"	"2"	"13"	"526"
"37"	"30"	"2"	"37"	"237"	"70"	"21"	"0"	"3"	"7"	"0"	"19"	"6"	"8"	"5"	"17"	"432"
