"Assembly.Constituency..047...Raniganj..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"2"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"3"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"4"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"5"	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"8"	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"14"	"20"	"421"	"74"	"96"	""	"17"	"12"	"25"	"679"
"10"	"2"	"29"	"11"	"223"	"152"	"49"	""	"6"	"13"	"4"	"487"
"11"	"3"	"16"	"18"	"412"	"35"	"8"	""	"7"	"9"	"20"	"525"
"12"	"4"	"23"	"10"	"370"	"52"	"22"	""	"11"	"12"	"16"	"516"
"13"	"5"	"6"	"4"	"193"	"160"	"10"	""	"5"	"8"	"24"	"410"
"14"	"6"	"12"	"17"	"377"	"97"	"20"	""	"6"	"7"	"10"	"546"
"15"	"7"	"10"	"4"	"349"	"134"	"19"	""	"5"	"6"	"19"	"546"
"16"	"8"	"11"	"3"	"305"	"20"	"202"	""	"14"	"5"	"12"	"572"
"17"	"9"	"6"	"3"	"237"	"67"	"17"	""	"4"	"5"	"5"	"344"
"18"	"10"	"42"	"15"	"215"	"294"	"17"	""	"4"	"12"	"13"	"612"
"19"	"11"	"23"	"55"	"118"	"256"	"47"	""	"5"	"4"	"8"	"516"
"20"	"12"	"9"	"10"	"249"	"34"	"11"	""	"1"	"5"	"11"	"330"
"21"	"13"	"15"	"34"	"23"	"432"	"87"	""	"4"	"12"	"11"	"618"
"22"	"14"	"3"	"18"	"131"	"421"	"22"	""	"1"	"1"	"3"	"600"
"23"	"15"	"25"	"24"	"493"	"109"	"15"	""	"9"	"16"	"28"	"719"
"24"	"16"	"3"	"2"	"128"	"13"	"2"	""	"1"	"3"	"4"	"156"
"25"	"17"	"28"	"22"	"192"	"275"	"31"	""	"11"	"10"	"12"	"581"
"26"	"18"	"30"	"7"	"178"	"256"	"16"	""	"8"	"21"	"44"	"560"
"27"	"19"	"14"	"12"	"395"	"61"	"20"	""	"5"	"7"	"9"	"523"
"28"	"20"	"4"	"21"	"270"	"35"	"16"	""	"5"	"1"	"3"	"355"
"29"	"21"	"21"	"15"	"458"	"332"	"17"	""	"8"	"13"	"16"	"880"
"30"	"22"	"15"	"232"	"35"	"146"	"99"	""	"3"	"7"	"15"	"552"
"31"	"23"	"7"	"98"	"32"	"139"	"35"	""	"2"	"3"	"4"	"320"
"32"	"24"	"10"	"24"	"87"	"182"	"82"	""	"8"	"3"	"4"	"400"
"33"	"25"	"35"	"42"	"99"	"314"	"71"	""	"12"	"12"	"5"	"590"
"34"	"26"	"25"	"39"	"95"	"305"	""	"50"	"11"	"13"	"25"	"563"
"35"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"36"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"37"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"38"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
