"BOOTH.NO"	"JAI.PRAKASH.PANDAY"	"MEENA.DWIVEDI"	"RABINDRA.MISHRA"	"RAJU.TIWARI"	"SHARDA.NAND.PANDAY"	"JITENDARA.KUMAR.GUPTA"	"AMBIKA.YADAV"	"KALYAN.SWARUP.TIWARI"	"RATAN.KUMAR.SINGH"	"RAVINDRA.DUBEY"	"RAMTAPSYA.SINGH"	"VIJAY.KUMAR"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"2"	1	21	343	12	158	6	7	10	14	40	5	9	26	651
"3"	2	35	402	7	154	6	6	8	5	39	7	7	34	710
"4"	3	20	258	9	191	4	3	6	5	28	0	8	8	540
"5"	NA	8	198	2	65	2	0	1	0	11	1	2	2	292
"6"	4	28	257	9	69	5	3	1	5	34	5	9	15	440
"7"	5	15	183	9	142	10	1	2	8	25	2	16	6	419
"8"	6	98	168	3	117	14	2	7	9	381	7	2	20	828
"9"	7	106	193	3	144	8	6	6	18	345	5	12	39	885
"10"	8	50	258	6	170	12	13	16	15	165	7	13	23	748
"11"	9	32	255	4	31	3	8	6	7	194	6	14	18	578
"12"	NA	9	189	9	15	3	3	2	5	110	1	7	16	369
"13"	10	55	137	3	36	6	2	3	1	35	3	3	9	293
"14"	11	85	259	7	56	4	2	7	2	50	2	3	15	492
"15"	12	104	316	6	174	13	5	3	12	41	4	3	11	692
"16"	13	21	102	4	184	5	4	10	12	190	3	12	39	586
"17"	14	4	100	3	69	1	2	3	6	82	0	1	2	273
"18"	15	80	164	3	53	9	6	3	2	99	3	5	3	430
"19"	16	112	223	3	88	24	3	2	3	73	1	4	4	540
"20"	17	50	97	12	166	7	5	10	13	129	3	0	16	508
"21"	18	38	196	8	123	14	7	8	6	83	8	17	44	552
"22"	19	28	43	8	146	14	4	12	12	21	13	386	46	733
"23"	20	21	78	3	38	4	6	5	5	22	9	200	19	410
"24"	21	91	36	7	64	4	1	4	5	9	13	332	27	593
"25"	22	12	43	2	51	2	5	2	3	23	5	102	12	262
"26"	23	72	329	3	58	6	8	5	2	65	3	16	14	581
