"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"[CHAPTER XIV PARA 26.9] FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"204-MOHANIA (SC) ASSEMBLY SEGMENT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY  199546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"NAME OF THE ASSEMBLY SEGMENT - 204 MOHANIA (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"9"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"10"	"1"	"82"	"12"	"106"	"203"	"9"	"2"	"3"	"7"	"4"	"16"	"444"	"0"	"444"	"0"
"11"	"2"	"76"	"41"	"168"	"186"	"3"	"0"	"3"	"4"	"0"	"5"	"486"	"0"	"486"	"0"
"12"	"3"	"68"	"95"	"177"	"79"	"3"	"0"	"4"	"3"	"5"	"10"	"444"	"0"	"444"	"0"
"13"	"4"	"12"	"45"	"84"	"25"	"3"	"1"	"8"	"75"	"2"	"2"	"257"	"0"	"257"	"0"
"14"	"5"	"16"	"87"	"120"	"25"	"6"	"1"	"7"	"13"	"3"	"5"	"283"	"0"	"283"	"0"
"15"	"6"	"34"	"169"	"174"	"89"	"5"	"3"	"7"	"9"	"4"	"5"	"499"	"0"	"499"	"0"
"16"	"7"	"6"	"31"	"209"	"100"	"1"	"0"	"6"	"11"	"0"	"5"	"369"	"0"	"369"	"0"
"17"	"8"	"97"	"45"	"87"	"166"	"9"	"0"	"11"	"6"	"3"	"3"	"427"	"0"	"427"	"0"
"18"	"9"	"130"	"35"	"199"	"147"	"11"	"4"	"7"	"77"	"4"	"20"	"634"	"0"	"634"	"0"
"19"	"10"	"158"	"54"	"88"	"118"	"6"	"8"	"7"	"20"	"0"	"13"	"472"	"0"	"472"	"0"
"20"	"11"	"10"	"18"	"129"	"151"	"11"	"4"	"7"	"66"	"9"	"33"	"438"	"0"	"438"	"0"
"21"	"12"	"30"	"59"	"192"	"261"	"14"	"9"	"2"	"3"	"2"	"7"	"579"	"0"	"579"	"0"
"22"	"13"	"119"	"20"	"37"	"72"	"2"	"0"	"2"	"0"	"1"	"1"	"254"	"0"	"254"	"0"
"23"	"14"	"73"	"102"	"180"	"68"	"3"	"3"	"8"	"13"	"0"	"6"	"456"	"0"	"456"	"0"
"24"	"TOTAL"	"911"	"813"	"1950"	"1690"	"86"	"35"	"82"	"307"	"37"	"131"	"6042"	"0"	"6042"	"0"
"25"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
