"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 231- TEKARI  CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :  231- TEKARI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"7"	"1"	""	"309"	"75"	"14"	"0"	"1"	"1"	"1"	"1"	"2"	"0"	"2"	"406"
"8"	"2"	""	"226"	"230"	"12"	"14"	"3"	"1"	"10"	"1"	"3"	"9"	"16"	"525"
"9"	"3"	""	"157"	"7"	"71"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"238"
"10"	"4"	""	"435"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"437"
"11"	"5"	""	"251"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"
"12"	"6"	""	"206"	"239"	"14"	"3"	"2"	"5"	"6"	"2"	"1"	"6"	"8"	"492"
"13"	"7"	""	"212"	"211"	"17"	"29"	"2"	"10"	"11"	"5"	"2"	"3"	"19"	"521"
"14"	"8"	""	"413"	"25"	"5"	"5"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"457"
"15"	"9"	""	"112"	"328"	"13"	"3"	"5"	"2"	"18"	"4"	"3"	"0"	"7"	"495"
"16"	"9"	"A"	"22"	"129"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"161"
"17"	"10"	""	"49"	"163"	"5"	"3"	"1"	"1"	"5"	"1"	"2"	"1"	"5"	"236"
"18"	"11"	""	"205"	"197"	"21"	"4"	"7"	"11"	"9"	"2"	"8"	"6"	"10"	"480"
"19"	"12"	""	"265"	"75"	"7"	"6"	"4"	"3"	"13"	"3"	"2"	"3"	"7"	"388"
"20"	"13"	""	"17"	"231"	"5"	"2"	"2"	"1"	"0"	"2"	"1"	"1"	"1"	"263"
"21"	"14"	""	"156"	"336"	"14"	"3"	"3"	"1"	"0"	"1"	"3"	"4"	"16"	"537"
"22"	"15"	""	"175"	"232"	"24"	"6"	"0"	"6"	"9"	"0"	"2"	"10"	"4"	"468"
"23"	"16"	""	"114"	"156"	"6"	"6"	"2"	"3"	"8"	"1"	"2"	"3"	"4"	"305"
"24"	"17"	""	"269"	"364"	"20"	"9"	"3"	"8"	"12"	"7"	"6"	"24"	"33"	"755"
"25"	"18"	""	"210"	"303"	"15"	"7"	"2"	"4"	"12"	"2"	"4"	"3"	"10"	"572"
"26"	"19"	""	"333"	"27"	"7"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"372"
"27"	"20"	""	"267"	"157"	"18"	"23"	"1"	"0"	"1"	"1"	"0"	"0"	"4"	"472"
"28"	"21"	""	"2"	"202"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"
"29"	"22"	""	"22"	"139"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"169"
"30"	"23"	""	"65"	"354"	"17"	"7"	"1"	"1"	"8"	"4"	"2"	"7"	"21"	"487"
