"Polling.Station.No."	"Ajai.kumar.Mandal"	"Abu.Kaishar"	"Kedar.Nath.Yadav"	"Pervez.Jamal"	"Usha.Kumari"	"Jitendra.Prasad.Yadav"	"Mumtaj"	"Sri.Niwas.Kumar"	"Anil.Mandal"	"Uttam.Kumar"	"Diwakar.Chandar.Dubey"	"Murli.Dhar.Singh"	"Rabiran.Singh"	"Shital.Mandal"	"Shailen.dra.Kumar.Ghosh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"2"	"1"	517	133	4	20	10	3	6	3	0	2	19	4	7	13	48	789	0	789	NA
"3"	"2"	293	107	15	12	118	2	6	1	1	2	8	1	2	9	26	603	0	603	NA
"4"	"3"	134	128	65	258	29	3	4	3	1	8	6	10	3	8	14	674	0	674	NA
"5"	"4"	299	75	9	5	6	0	3	0	2	1	4	2	1	8	7	422	0	422	NA
"6"	"5"	421	315	8	29	15	4	10	0	1	14	11	5	1	7	20	861	0	861	NA
"7"	"6"	575	13	2	19	8	2	9	0	2	1	8	0	0	4	20	663	0	663	NA
"8"	"7"	119	4	6	226	13	5	1	1	1	1	37	4	5	2	14	439	0	439	NA
"9"	"8"	233	25	32	18	8	7	5	2	3	6	14	4	10	13	23	403	0	403	NA
"10"	"9"	121	9	2	5	9	1	3	0	1	0	24	0	1	2	3	181	0	181	NA
"11"	"9-A"	71	4	1	3	1	0	2	1	0	1	3	0	0	0	5	92	0	92	NA
"12"	"10"	36	2	1	9	11	5	2	3	1	16	467	6	3	4	8	574	0	574	NA
"13"	"11"	250	188	28	25	12	2	7	3	1	11	13	7	4	12	42	605	0	605	NA
"14"	"12"	135	240	3	16	9	1	1	0	3	3	2	2	3	11	20	449	0	449	NA
"15"	"13"	334	31	1	25	9	1	3	2	4	16	15	3	2	6	22	474	0	474	NA
"16"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"18"	"14"	316	87	6	8	10	1	5	2	2	2	13	0	2	2	13	469	0	469	NA
"19"	"15"	79	388	16	9	0	2	1	2	0	7	4	1	1	7	15	532	0	532	NA
"20"	"16"	186	136	97	91	7	3	5	4	2	3	28	0	6	1	18	587	0	587	NA
"21"	"17"	38	445	15	10	1	2	1	3	1	3	5	2	2	11	32	571	0	571	NA
"22"	"18"	115	71	10	172	2	2	1	1	0	1	6	7	5	14	36	443	0	443	NA
"23"	"19"	192	9	4	188	15	2	5	1	0	0	4	1	0	0	11	432	0	432	NA
"24"	"20"	119	4	6	226	13	5	1	1	1	1	37	4	5	2	14	439	0	439	NA
"25"	"21"	91	9	1	160	2	0	6	0	1	1	7	2	1	2	14	297	0	297	NA
"26"	"22"	82	17	3	166	1	2	1	0	1	0	23	3	1	3	4	307	0	307	NA
"27"	"23"	210	176	7	15	45	4	2	2	5	5	5	2	8	21	44	551	0	551	NA
"28"	"24"	77	125	3	97	15	3	2	3	2	4	2	2	1	3	4	343	0	343	NA
"29"	"25"	106	321	20	22	11	1	6	1	6	12	6	3	7	10	16	548	0	548	NA
"30"	"26"	224	314	20	34	41	4	9	4	12	12	43	6	5	21	46	795	0	795	NA
"31"	"27"	180	253	6	21	71	3	6	8	5	23	38	3	4	14	31	666	0	666	NA
"32"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"34"	"28"	190	284	11	33	18	2	1	1	3	5	11	4	6	47	29	645	0	645	NA
"35"	"29"	94	507	84	22	3	2	2	3	3	2	29	1	5	59	31	847	0	847	NA
"36"	"30"	27	299	7	11	1	1	1	0	0	2	5	6	7	195	32	594	0	594	NA
"37"	"31"	19	209	11	76	5	1	2	1	3	4	9	3	4	24	28	399	0	399	NA
"38"	"32"	93	275	91	25	7	4	5	5	4	9	67	2	14	56	30	687	0	687	NA
"39"	"33"	310	36	1	15	10	4	9	5	3	3	11	8	1	25	32	473	0	473	NA
"40"	"34"	461	61	8	48	5	3	7	3	3	17	18	2	3	9	35	683	0	683	NA
"41"	"35"	366	56	24	92	8	0	4	1	2	1	11	1	1	6	6	579	0	579	NA
"42"	"36"	94	49	45	33	1	2	1	0	1	2	11	0	0	1	3	243	0	243	NA
"43"	"37"	99	365	28	54	10	1	3	1	1	2	29	0	4	8	18	623	0	623	NA
"44"	"38"	331	87	7	93	50	2	1	1	13	1	38	2	0	2	4	632	0	632	NA
"45"	"39"	111	233	6	37	9	2	2	1	4	45	12	4	0	8	28	502	0	502	NA
