"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X218929...54...218983.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"4"	"ROUND NO.-1"	"1"	"16"	"38"	"207"	"83"	"364"	"18"	"15"	"3"	"31"	"775"	""	"775"	""
"5"	""	"2"	"19"	"18"	"96"	"246"	"320"	"12"	"11"	"8"	"21"	"751"	""	"751"	""
"6"	""	"3"	"22"	"40"	"49"	"88"	"304"	"9"	"12"	"4"	"73"	"601"	""	"601"	""
"7"	""	"4"	"20"	"14"	"48"	"393"	"132"	"22"	"16"	"6"	"16"	"667"	""	"667"	""
"8"	""	"5"	"8"	"97"	"29"	"203"	"78"	"8"	"3"	"1"	"4"	"431"	""	"431"	""
"9"	""	"6"	"8"	"118"	"97"	"321"	"74"	"8"	"6"	"11"	"30"	"673"	""	"673"	""
"10"	""	"7"	"13"	"60"	"101"	"310"	"36"	"6"	"5"	"5"	"8"	"544"	""	"544"	""
"11"	""	"8"	"32"	"143"	"18"	"348"	"44"	"18"	"6"	"12"	"119"	"740"	""	"740"	""
"12"	""	"9"	"29"	"137"	"89"	"101"	"63"	"8"	"8"	"9"	"127"	"571"	""	"571"	""
"13"	""	"9A"	"80"	"80"	"7"	"29"	"32"	"2"	"1"	"2"	"11"	"244"	""	"244"	""
"14"	""	"10"	"5"	"161"	"7"	"7"	"65"	"2"	"7"	"1"	"10"	"265"	""	"265"	""
