"Total.No..of.Electors.in.Assembly.Constituency........199458"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"09- Sikta Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"7"	"1"	"11"	"13"	"85"	"9"	"9"	"3"	"30"	"0"	"2"	"4"	"4"	"3"	"41"	"565"	"8"	"8"	"5"	"7"	"807"	"0"	"807"	"0"	""
"8"	"2"	"2"	"0"	"82"	"10"	"9"	"3"	"3"	"1"	"2"	"1"	"1"	"0"	"32"	"139"	"4"	"3"	"4"	"1"	"297"	"0"	"297"	"0"	""
"9"	"3"	"12"	"3"	"124"	"29"	"9"	"3"	"24"	"5"	"0"	"2"	"1"	"2"	"51"	"385"	"6"	"2"	"5"	"2"	"665"	"0"	"665"	"0"	""
"10"	"4"	"1"	"2"	"81"	"60"	"5"	"3"	"44"	"2"	"4"	"4"	"10"	"7"	"30"	"456"	"13"	"10"	"0"	"0"	"732"	"0"	"732"	"0"	""
"11"	"5"	"9"	"5"	"188"	"44"	"7"	"9"	"19"	"1"	"3"	"3"	"3"	"2"	"43"	"163"	"8"	"4"	"3"	"2"	"516"	"0"	"516"	"0"	""
"12"	"6"	"1"	"2"	"151"	"6"	"2"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"3"	"87"	"1"	"0"	"0"	"0"	"258"	"0"	"258"	"0"	""
"13"	"7"	"2"	"2"	"153"	"21"	"14"	"2"	"15"	"3"	"8"	"3"	"4"	"4"	"9"	"169"	"4"	"16"	"3"	"3"	"435"	"0"	"435"	"0"	""
"14"	"8"	"9"	"4"	"92"	"6"	"5"	"2"	"17"	"2"	"1"	"2"	"1"	"2"	"16"	"539"	"6"	"2"	"6"	"7"	"719"	"0"	"719"	"0"	""
"15"	"9"	"0"	"2"	"28"	"4"	"0"	"1"	"19"	"5"	"4"	"0"	"3"	"2"	"8"	"335"	"3"	"4"	"1"	"5"	"424"	"0"	"424"	"0"	""
"16"	"10"	"3"	"3"	"388"	"9"	"10"	"6"	"28"	"4"	"1"	"3"	"4"	"2"	"22"	"243"	"16"	"7"	"7"	"6"	"762"	"0"	"762"	"0"	""
"17"	"11"	"3"	"2"	"105"	"16"	"9"	"4"	"20"	"0"	"1"	"4"	"3"	"0"	"27"	"597"	"10"	"20"	"4"	"6"	"831"	"0"	"831"	"0"	""
"18"	"12"	"6"	"5"	"398"	"9"	"35"	"3"	"14"	"4"	"1"	"1"	"5"	"5"	"49"	"93"	"3"	"3"	"1"	"3"	"638"	"0"	"638"	"0"	""
"19"	"13"	"8"	"3"	"212"	"12"	"7"	"3"	"18"	"1"	"4"	"0"	"1"	"2"	"10"	"308"	"6"	"3"	"5"	"5"	"608"	"0"	"608"	"0"	""
"20"	"14"	"5"	"1"	"38"	"11"	"2"	"4"	"12"	"5"	"2"	"1"	"2"	"2"	"18"	"391"	"7"	"9"	"1"	"2"	"513"	"0"	"513"	"0"	""
"21"	"Total"	"72"	"47"	"2125"	"246"	"123"	"46"	"266"	"33"	"34"	"29"	"42"	"33"	"359"	"4470"	"95"	"91"	"45"	"49"	"8205"	"0"	"8205"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
