"Assembly.Constituency...116.TARAIYA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 116 TARAIYA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of Voters : 213504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"9"	"1"	""	"7"	"119"	"33"	"4"	"53"	"1"	"0"	"2"	"4"	"3"	"1"	"39"	"24"	"5"	"15"	"310"	"-----"	"310"	"-----"
"10"	"2"	""	"4"	"149"	"46"	"6"	"50"	"2"	"1"	"4"	"1"	"2"	"2"	"33"	"13"	"5"	"8"	"326"	"-----"	"326"	"-----"
"11"	"3"	""	"14"	"112"	"178"	"16"	"55"	"2"	"4"	"3"	"3"	"1"	"9"	"31"	"10"	"11"	"7"	"456"	"-----"	"456"	"-----"
"12"	"3"	"A"	"9"	"40"	"240"	"30"	"143"	"4"	"2"	"3"	"1"	"3"	"4"	"14"	"5"	"4"	"2"	"504"	"-----"	"504"	"-----"
"13"	"4"	""	"25"	"193"	"193"	"14"	"50"	"7"	"6"	"6"	"2"	"5"	"5"	"84"	"20"	"12"	"24"	"646"	"-----"	"646"	"-----"
"14"	"5"	""	"5"	"70"	"62"	"8"	"124"	"4"	"2"	"3"	"1"	"4"	"13"	"118"	"14"	"6"	"14"	"448"	"-----"	"448"	"-----"
"15"	"6"	""	"8"	"119"	"101"	"1"	"23"	"4"	"12"	"3"	"3"	"3"	"4"	"26"	"40"	"6"	"16"	"369"	"-----"	"369"	"-----"
"16"	"7"	""	"7"	"106"	"140"	"17"	"6"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"6"	"7"	"6"	"301"	"-----"	"301"	"-----"
"17"	"8"	""	"4"	"36"	"81"	"6"	"115"	"1"	"3"	"0"	"0"	"1"	"3"	"8"	"1"	"2"	"1"	"262"	"-----"	"262"	"-----"
"18"	"9"	""	"1"	"41"	"98"	"8"	"95"	"0"	"0"	"2"	"0"	"2"	"9"	"124"	"11"	"4"	"9"	"404"	"-----"	"404"	"-----"
"19"	"10"	""	"7"	"96"	"289"	"21"	"42"	"2"	"2"	"7"	"2"	"3"	"12"	"25"	"25"	"14"	"11"	"558"	"-----"	"558"	"-----"
"20"	"11"	""	"11"	"163"	"254"	"22"	"42"	"4"	"2"	"6"	"2"	"4"	"10"	"86"	"16"	"23"	"20"	"665"	"-----"	"665"	"-----"
"21"	"12"	""	"18"	"178"	"215"	"26"	"48"	"2"	"25"	"6"	"1"	"4"	"0"	"16"	"13"	"16"	"9"	"577"	"-----"	"577"	"-----"
"22"	"13"	""	"9"	"39"	"185"	"13"	"90"	"4"	"2"	"3"	"3"	"1"	"4"	"6"	"11"	"4"	"12"	"386"	"-----"	"386"	"-----"
"23"	"Round 1"	""	"129"	"1461"	"2115"	"192"	"936"	"37"	"61"	"49"	"23"	"37"	"77"	"613"	"209"	"119"	"154"	"6212"	"-----"	"6212"	"-----"
"24"	"14"	""	"1"	"37"	"100"	"7"	"163"	"6"	"6"	"3"	"2"	"7"	"9"	"14"	"26"	"4"	"8"	"393"	"-----"	"393"	"-----"
"25"	"15"	""	"9"	"34"	"125"	"26"	"48"	"4"	"0"	"5"	"2"	"2"	"7"	"13"	"7"	"3"	"5"	"290"	"-----"	"290"	"-----"
"26"	"16"	""	"3"	"80"	"70"	"51"	"43"	"0"	"0"	"1"	"1"	"2"	"4"	"14"	"27"	"5"	"6"	"307"	"-----"	"307"	"-----"
"27"	"17"	""	"3"	"67"	"89"	"20"	"20"	"2"	"0"	"1"	"2"	"1"	"4"	"10"	"16"	"5"	"7"	"247"	"-----"	"247"	"-----"
"28"	"18"	""	"4"	"71"	"64"	"16"	"22"	"7"	"3"	"3"	"0"	"4"	"2"	"26"	"114"	"2"	"4"	"342"	"-----"	"342"	"-----"
"29"	"19"	""	"2"	"94"	"134"	"3"	"26"	"1"	"0"	"1"	"1"	"8"	"13"	"53"	"17"	"13"	"16"	"382"	"-----"	"382"	"-----"
