"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.Valid.Votes"
"1"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"2"	"1"	"15"	"103"	"11"	"197"	"11"	"2"	"2"	"0"	"0"	"4"	"2"	"6"	"37"	"13"	"12"	"6"	"421"
"3"	"2"	"9"	"175"	"4"	"113"	"1"	"4"	"3"	"0"	"1"	"2"	"0"	"3"	"13"	"6"	"2"	"2"	"338"
"4"	"3"	"10"	"123"	"7"	"164"	"7"	"5"	"1"	"1"	"2"	"18"	"2"	"8"	"30"	"15"	"9"	"16"	"418"
"5"	"4"	"7"	"297"	"7"	"111"	"5"	"4"	"11"	"6"	"6"	"246"	"16"	"4"	"28"	"12"	"17"	"28"	"805"
"6"	"5"	"10"	"78"	"3"	"160"	"6"	"6"	"0"	"1"	"2"	"53"	"1"	"1"	"8"	"0"	"2"	"2"	"333"
"7"	"6"	"1"	"132"	"1"	"44"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	"186"
"8"	"7"	"7"	"142"	"7"	"118"	"4"	"2"	"2"	"0"	"1"	"16"	"4"	"4"	"22"	"3"	"6"	"4"	"342"
"9"	"8"	"1"	"122"	"3"	"34"	"3"	"0"	"5"	"2"	"2"	"36"	"2"	"1"	"8"	"1"	"5"	"5"	"230"
"10"	"9"	"8"	"110"	"5"	"37"	"0"	"4"	"3"	"5"	"5"	"202"	"5"	"3"	"4"	"5"	"8"	"14"	"418"
"11"	"10"	"9"	"69"	"5"	"233"	"4"	"0"	"0"	"0"	"0"	"32"	"0"	"5"	"9"	"5"	"5"	"6"	"382"
"12"	"11"	"3"	"88"	"36"	"327"	"7"	"1"	"0"	"1"	"3"	"48"	"5"	"1"	"15"	"2"	"2"	"5"	"544"
"13"	"12"	"3"	"2"	"2"	"374"	"8"	"2"	"3"	"0"	"0"	"0"	"0"	"6"	"17"	"1"	"0"	"5"	"423"
"14"	"13"	"12"	"69"	"12"	"82"	"2"	"1"	"7"	"6"	"4"	"82"	"3"	"1"	"7"	"4"	"2"	"2"	"296"
"15"	"14"	"10"	"201"	"11"	"163"	"6"	"0"	"1"	"4"	"1"	"8"	"2"	"6"	"20"	"10"	"6"	"17"	"466"
"16"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"17"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"18"	"15"	"0"	"15"	"57"	"96"	"3"	"2"	"3"	"1"	"0"	"2"	"0"	"6"	"14"	"0"	"0"	"5"	"204"
"19"	"16"	"21"	"94"	"12"	"158"	"5"	"1"	"4"	"2"	"3"	"25"	"3"	"5"	"17"	"4"	"6"	"9"	"369"
"20"	"17"	"1"	"55"	"2"	"121"	"6"	"1"	"0"	"0"	"4"	"9"	"2"	"2"	"17"	"6"	"7"	"5"	"238"
"21"	"18"	"0"	"118"	"8"	"54"	"2"	"1"	"5"	"2"	"2"	"97"	"0"	"2"	"9"	"1"	"6"	"11"	"318"
"22"	"19"	"14"	"341"	"4"	"247"	"11"	"3"	"1"	"2"	"6"	"15"	"2"	"11"	"39"	"10"	"21"	"21"	"748"
"23"	"20"	"16"	"153"	"10"	"307"	"2"	"1"	"1"	"2"	"3"	"17"	"2"	"2"	"24"	"4"	"2"	"6"	"552"
