"Serial.No..of.Polling"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.No..of.Valid.Votes"	"Total"	"No..of.Rejected.Votes"	"No..of.Tendered.votes"
"1"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"3"	"1"	"1"	"6"	"81"	"1"	"7"	"227"	"2"	"0"	"3"	"6"	"1"	"2"	"4"	"1"	"3"	"1"	"4"	"2"	"27"	"3"	"381"	"381"	""	""
"4"	"2"	"2"	"10"	"16"	"2"	"2"	"429"	"0"	"1"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"45"	"3"	"516"	"516"	""	""
"5"	"3"	"3"	"8"	"146"	"3"	"4"	"394"	"2"	"0"	"0"	"0"	"4"	"5"	"6"	"0"	"3"	"1"	"2"	"3"	"46"	"10"	"637"	"637"	""	""
"6"	"4"	"4"	"9"	"18"	"1"	"5"	"188"	"4"	"2"	"1"	"1"	"2"	"5"	"18"	"2"	"2"	"3"	"7"	"3"	"122"	"3"	"396"	"396"	""	""
"7"	"5"	"5"	"21"	"24"	"9"	"1"	"235"	"5"	"4"	"0"	"5"	"3"	"2"	"10"	"2"	"1"	"1"	"6"	"4"	"81"	"2"	"416"	"416"	""	""
"8"	"6"	"6"	"15"	"142"	"9"	"2"	"256"	"0"	"0"	"0"	"1"	"4"	"2"	"2"	"0"	"2"	"3"	"5"	"4"	"70"	"5"	"522"	"522"	""	""
"9"	"7"	"7"	"15"	"300"	"1"	"3"	"248"	"5"	"1"	"1"	"2"	"4"	"0"	"5"	"0"	"1"	"2"	"4"	"2"	"42"	"2"	"638"	"638"	""	""
"10"	"8"	"8"	"3"	"135"	"1"	"1"	"8"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"12"	"0"	"166"	"166"	""	""
"11"	"9"	"9"	"5"	"33"	"5"	"4"	"437"	"4"	"2"	"0"	"0"	"2"	"1"	"2"	"3"	"1"	"1"	"0"	"2"	"25"	"5"	"532"	"532"	""	""
"12"	"10"	"10"	"15"	"32"	"0"	"2"	"386"	"0"	"2"	"2"	"7"	"0"	"0"	"13"	"0"	"0"	"2"	"4"	"2"	"54"	"3"	"524"	"524"	""	""
"13"	"11"	"11"	"3"	"6"	"0"	"1"	"223"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"240"	"240"	""	""
"14"	"12"	"12"	"11"	"183"	"3"	"8"	"269"	"1"	"1"	"1"	"3"	"4"	"8"	"12"	"4"	"3"	"20"	"12"	"0"	"18"	"2"	"563"	"563"	""	""
"15"	"13"	"13"	"9"	"36"	"2"	"0"	"273"	"2"	"2"	"2"	"0"	"0"	"1"	"4"	"3"	"0"	"1"	"3"	"3"	"16"	"2"	"359"	"359"	""	""
"16"	"14"	"14"	"17"	"163"	"3"	"3"	"354"	"1"	"1"	"0"	"3"	"8"	"2"	"3"	"1"	"0"	"6"	"4"	"17"	"86"	"14"	"686"	"686"	""	""
"17"	"15"	"15"	"7"	"29"	"4"	"3"	"230"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"4"	"3"	"4"	"45"	"5"	"338"	"338"	""	""
"18"	"16"	"16"	"22"	"33"	"11"	"7"	"359"	"6"	"0"	"0"	"3"	"1"	"4"	"3"	"0"	"0"	"4"	"1"	"0"	"54"	"3"	"511"	"511"	""	""
"19"	"17"	"17"	"11"	"352"	"38"	"5"	"127"	"3"	"1"	"5"	"2"	"7"	"4"	"3"	"8"	"6"	"17"	"12"	"3"	"12"	"2"	"618"	"618"	""	""
"20"	"18"	"18"	"22"	"45"	"10"	"3"	"302"	"4"	"1"	"1"	"4"	"2"	"3"	"3"	"2"	"0"	"2"	"2"	"2"	"24"	"1"	"433"	"433"	""	""
"21"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"22"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"24"	"19"	"19"	"21"	"222"	"3"	"0"	"319"	"3"	"1"	"1"	"1"	"5"	"5"	"10"	"3"	"3"	"7"	"7"	"1"	"63"	"1"	"676"	"676"	""	""
"25"	"20"	"20"	"11"	"16"	"1"	"1"	"325"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"39"	"1"	"401"	"401"	""	""
"26"	"21"	"21"	"9"	"178"	"4"	"3"	"385"	"4"	"7"	"4"	"0"	"3"	"2"	"17"	"3"	"2"	"5"	"3"	"4"	"52"	"1"	"686"	"686"	""	""
"27"	"22"	"22"	"15"	"286"	"9"	"1"	"70"	"0"	"1"	"5"	"1"	"2"	"0"	"6"	"0"	"2"	"12"	"8"	"0"	"16"	"1"	"435"	"435"	""	""
"28"	"23"	"23"	"3"	"78"	"1"	"0"	"192"	"2"	"0"	"0"	"0"	"4"	"1"	"8"	"0"	"2"	"3"	"1"	"0"	"51"	"0"	"346"	"346"	""	""
"29"	"24"	"24"	"11"	"37"	"2"	"6"	"394"	"5"	"2"	"0"	"0"	"0"	"4"	"2"	"2"	"1"	"1"	"1"	"2"	"82"	"2"	"554"	"554"	""	""
"30"	"25"	"25"	"4"	"347"	"6"	"0"	"17"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"2"	"2"	"14"	"15"	"0"	"33"	"1"	"446"	"446"	""	""
