"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 205137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 221 Nabinagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"7"	"221"	"1"	""	"94"	"0"	"0"	"9"	"93"	"42"	"4"	"4"	"2"	"2"	"7"	"8"	"2"	"3"	"16"	"508"	"1"
"8"	"221"	"2"	""	"6"	"9"	"6"	"2"	"68"	"158"	"6"	"27"	"8"	"6"	"11"	"5"	"5"	"4"	"12"	"556"	"2"
"9"	"221"	"3"	""	"32"	"3"	"2"	"26"	"85"	"187"	"6"	"5"	"6"	"12"	"17"	"6"	"8"	"5"	"24"	"648"	"3"
"10"	"221"	"4"	""	"32"	"2"	"23"	"112"	"202"	"131"	"5"	"5"	"2"	"4"	"6"	"6"	"2"	"5"	"7"	"769"	"4"
"11"	"221"	"5"	""	"69"	"5"	"8"	"15"	"82"	"36"	"5"	"8"	"3"	"4"	"18"	"7"	"6"	"6"	"25"	"523"	"5"
"12"	"221"	"6"	""	"14"	"0"	"12"	"11"	"84"	"139"	"3"	"12"	"0"	"10"	"12"	"7"	"4"	"3"	"20"	"558"	"6"
"13"	"221"	"7"	""	"166"	"3"	"7"	"26"	"79"	"383"	"4"	"11"	"5"	"6"	"8"	"5"	"2"	"8"	"30"	"971"	"7"
"14"	"221"	"8"	""	"12"	"2"	"0"	"76"	"158"	"63"	"8"	"4"	"5"	"3"	"8"	"8"	"1"	"4"	"7"	"588"	"8"
"15"	"221"	"9"	""	"44"	"3"	"13"	"128"	"130"	"302"	"12"	"8"	"7"	"9"	"8"	"4"	"1"	"3"	"10"	"912"	"9"
"16"	"221"	"10"	""	"93"	"5"	"4"	"13"	"110"	"105"	"7"	"5"	"5"	"6"	"12"	"4"	"3"	"7"	"11"	"621"	"10"
"17"	"221"	"11"	""	"12"	"1"	"2"	"29"	"33"	"143"	"0"	"1"	"1"	"1"	"4"	"0"	"0"	"2"	"3"	"464"	"11"
"18"	"221"	"12"	""	"22"	"1"	"5"	"56"	"248"	"101"	"2"	"9"	"2"	"4"	"7"	"7"	"2"	"3"	"7"	"709"	"12"
"19"	"221"	"13"	""	"0"	"0"	"0"	"3"	"260"	"26"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"535"	"13"
"20"	"221"	"14"	""	"13"	"1"	"9"	"142"	"114"	"145"	"7"	"16"	"3"	"4"	"6"	"9"	"6"	"4"	"9"	"723"	"14"
