"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 27& ckadk fuokZpu {ks= esa   161 ckadk fo| ku l Hkk {k= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ --161 ckdk fo/kku l Hkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy  l a[ ; k ---203931---"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"8"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"9"	"1"	"30"	"10"	"27"	"52"	"5"	"8"	"1"	"2"	"6"	"151"	"5"	"39"	"3"	"11"	"3"	"353"	"0"	"353"	"0"
"10"	"2"	"41"	"3"	"43"	"91"	"1"	"26"	"1"	"6"	"9"	"100"	"16"	"61"	"6"	"45"	"16"	"465"	"0"	"465"	"0"
"11"	"3"	"185"	"13"	"6"	"73"	"4"	"5"	"0"	"2"	"2"	"23"	"6"	"10"	"1"	"11"	"3"	"344"	"0"	"344"	"0"
"12"	"4"	"55"	"7"	"67"	"135"	"3"	"75"	"4"	"7"	"15"	"126"	"10"	"94"	"21"	"24"	"29"	"672"	"0"	"672"	"0"
"13"	"5"	"105"	"17"	"8"	"61"	"4"	"21"	"1"	"4"	"10"	"196"	"14"	"25"	"3"	"11"	"15"	"495"	"0"	"495"	"0"
"14"	"6"	"14"	"4"	"60"	"195"	"10"	"9"	"6"	"3"	"8"	"152"	"13"	"49"	"6"	"19"	"6"	"554"	"0"	"554"	"0"
"15"	"7"	"19"	"3"	"5"	"127"	"13"	"2"	"1"	"1"	"3"	"256"	"19"	"97"	"5"	"6"	"16"	"573"	"0"	"573"	"0"
"16"	"8"	"169"	"23"	"14"	"19"	"1"	"9"	"2"	"1"	"3"	"26"	"4"	"13"	"10"	"31"	"17"	"342"	"0"	"342"	"0"
"17"	"9"	"414"	"20"	"12"	"5"	"1"	"11"	"0"	"4"	"2"	"46"	"6"	"41"	"3"	"36"	"24"	"625"	"0"	"625"	"0"
"18"	"10"	"277"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"0"	"3"	"0"	"2"	"1"	"293"	"0"	"293"	"0"
"19"	"11"	"107"	"22"	"10"	"158"	"17"	"17"	"8"	"6"	"11"	"101"	"21"	"68"	"6"	"39"	"10"	"601"	"0"	"601"	"0"
"20"	"12"	"193"	"31"	"10"	"18"	"4"	"5"	"5"	"4"	"13"	"104"	"11"	"44"	"5"	"37"	"9"	"493"	"0"	"493"	"0"
"21"	"13"	"323"	"34"	"40"	"8"	"6"	"32"	"6"	"5"	"2"	"50"	"64"	"28"	"8"	"45"	"10"	"661"	"0"	"661"	"0"
"22"	"14"	"94"	"13"	"13"	"57"	"6"	"6"	"6"	"1"	"9"	"99"	"6"	"30"	"13"	"77"	"6"	"436"	"0"	"436"	"0"
"23"	"14A"	"36"	"3"	"21"	"36"	"5"	"2"	"1"	"5"	"0"	"62"	"3"	"50"	"9"	"32"	"10"	"275"	"0"	"275"	"0"
"24"	"15"	"203"	"14"	"37"	"4"	"2"	"3"	"0"	"0"	"3"	"18"	"0"	"3"	"3"	"32"	"3"	"325"	"0"	"325"	"0"
"25"	"16"	"153"	"18"	"11"	"36"	"3"	"3"	"2"	"1"	"1"	"37"	"1"	"11"	"0"	"58"	"7"	"342"	"0"	"342"	"0"
"26"	"17"	"39"	"5"	"67"	"74"	"1"	"3"	"4"	"1"	"5"	"136"	"15"	"70"	"9"	"54"	"23"	"506"	"0"	"506"	"0"
"27"	"18"	"39"	"3"	"15"	"179"	"9"	"7"	"5"	"3"	"2"	"172"	"29"	"57"	"34"	"30"	"12"	"596"	"0"	"596"	"0"
"28"	"19"	"31"	"8"	"14"	"174"	"7"	"4"	"4"	"3"	"5"	"211"	"9"	"83"	"4"	"10"	"6"	"573"	"0"	"573"	"0"
"29"	"20"	"111"	"18"	"3"	"162"	"1"	"0"	"4"	"1"	"1"	"123"	"2"	"18"	"0"	"2"	"0"	"446"	"0"	"446"	"0"
"30"	"21"	"66"	"8"	"4"	"205"	"0"	"0"	"0"	"0"	"0"	"104"	"3"	"16"	"0"	"0"	"1"	"407"	"0"	"407"	"0"
"31"	"22"	"75"	"4"	"6"	"324"	"1"	"2"	"3"	"0"	"2"	"115"	"5"	"12"	"2"	"5"	"2"	"558"	"0"	"558"	"0"
"32"	"23"	"101"	"8"	"5"	"244"	"3"	"5"	"5"	"0"	"3"	"98"	"2"	"46"	"4"	"3"	"2"	"529"	"0"	"529"	"0"
"33"	"24"	"65"	"6"	"38"	"130"	"1"	"2"	"2"	"2"	"0"	"38"	"6"	"20"	"77"	"67"	"3"	"457"	"0"	"457"	"0"
"34"	"25"	"26"	"2"	"17"	"91"	"1"	"3"	"3"	"1"	"7"	"131"	"4"	"44"	"26"	"49"	"5"	"410"	"0"	"410"	"0"
"35"	"26"	"130"	"4"	"57"	"148"	"1"	"0"	"1"	"4"	"2"	"111"	"29"	"58"	"2"	"6"	"6"	"559"	"0"	"559"	"0"
"36"	"27"	"242"	"21"	"4"	"123"	"1"	"1"	"2"	"1"	"0"	"71"	"3"	"10"	"0"	"4"	"2"	"485"	"0"	"485"	"0"
"37"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"38"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"39"	"28"	"70"	"8"	"7"	"389"	"3"	"1"	"2"	"2"	"2"	"101"	"5"	"33"	"1"	"3"	"1"	"628"	"0"	"628"	"0"
"40"	"29"	"25"	"6"	"2"	"310"	"3"	"0"	"4"	"1"	"1"	"62"	"7"	"28"	"1"	"0"	"7"	"457"	"0"	"457"	"0"
"41"	"30"	"101"	"5"	"0"	"79"	"2"	"0"	"1"	"0"	"2"	"170"	"2"	"19"	"1"	"3"	"0"	"385"	"0"	"385"	"0"
