"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM - 20 FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  146 Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"5"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"7"	"1"	"6"	"357"	"48"	"16"	"10"	"329"	"7"	"6"	"12"	"10"	"12"	"8"	"821"	"0"	"821"	"0"
"8"	"2"	"5"	"91"	"50"	"16"	"6"	"153"	"13"	"10"	"7"	"7"	"9"	"3"	"370"	"0"	"370"	"0"
"9"	"3"	"7"	"140"	"170"	"60"	"12"	"182"	"7"	"8"	"16"	"5"	"17"	"14"	"638"	"0"	"638"	"0"
"10"	"4"	"8"	"161"	"127"	"32"	"7"	"145"	"2"	"4"	"12"	"4"	"12"	"15"	"529"	"0"	"529"	"0"
"11"	"5"	"20"	"190"	"137"	"32"	"13"	"125"	"11"	"9"	"6"	"5"	"7"	"6"	"561"	"0"	"561"	"0"
"12"	"6"	"8"	"107"	"104"	"25"	"5"	"133"	"7"	"3"	"5"	"4"	"10"	"4"	"415"	"0"	"415"	"0"
"13"	"7"	"17"	"261"	"269"	"24"	"26"	"223"	"11"	"12"	"17"	"7"	"29"	"16"	"912"	"0"	"912"	"0"
"14"	"8"	"11"	"124"	"207"	"19"	"10"	"270"	"6"	"10"	"16"	"9"	"17"	"19"	"718"	"0"	"718"	"0"
"15"	"9"	"6"	"191"	"76"	"32"	"6"	"114"	"6"	"3"	"9"	"1"	"5"	"9"	"458"	"0"	"458"	"0"
"16"	"10"	"5"	"216"	"45"	"59"	"8"	"88"	"1"	"11"	"7"	"5"	"15"	"24"	"484"	"0"	"484"	"0"
"17"	"11"	"9"	"188"	"36"	"14"	"11"	"234"	"7"	"2"	"5"	"1"	"16"	"4"	"527"	"0"	"527"	"0"
"18"	"12"	"12"	"102"	"28"	"16"	"46"	"292"	"10"	"16"	"13"	"5"	"13"	"14"	"567"	"0"	"567"	"0"
"19"	"13"	"9"	"223"	"130"	"10"	"55"	"171"	"6"	"12"	"9"	"9"	"17"	"15"	"666"	"0"	"666"	"0"
"20"	"14"	"12"	"261"	"13"	"3"	"10"	"54"	"4"	"5"	"3"	"2"	"7"	"4"	"378"	"0"	"378"	"0"
"21"	"15"	"14"	"165"	"167"	"22"	"13"	"162"	"13"	"20"	"10"	"8"	"18"	"17"	"629"	"0"	"629"	"0"
"22"	"16"	"18"	"385"	"46"	"17"	"6"	"135"	"4"	"7"	"13"	"7"	"22"	"29"	"689"	"0"	"689"	"0"
"23"	"17"	"25"	"189"	"207"	"23"	"79"	"190"	"6"	"12"	"16"	"9"	"10"	"10"	"776"	"0"	"776"	"0"
"24"	"18"	"21"	"97"	"135"	"26"	"5"	"228"	"1"	"3"	"3"	"4"	"7"	"6"	"536"	"0"	"536"	"0"
"25"	"19"	"12"	"214"	"44"	"14"	"3"	"56"	"2"	"12"	"7"	"11"	"20"	"12"	"407"	"0"	"407"	"0"
"26"	"20"	"13"	"167"	"19"	"12"	"37"	"150"	"8"	"7"	"5"	"0"	"17"	"17"	"452"	"0"	"452"	"0"
"27"	"21"	"26"	"72"	"277"	"55"	"11"	"266"	"4"	"10"	"10"	"17"	"11"	"8"	"767"	"0"	"767"	"0"
"28"	"22"	"5"	"60"	"227"	"38"	"1"	"181"	"3"	"4"	"11"	"2"	"8"	"11"	"551"	"0"	"551"	"0"
"29"	"23"	"8"	"132"	"94"	"19"	"10"	"145"	"12"	"1"	"7"	"6"	"9"	"11"	"454"	"0"	"454"	"0"
"30"	"24"	"6"	"76"	"287"	"22"	"12"	"194"	"2"	"1"	"10"	"3"	"11"	"4"	"628"	"0"	"628"	"0"
"31"	"25"	"4"	"63"	"154"	"37"	"6"	"234"	"13"	"0"	"5"	"1"	"10"	"8"	"535"	"0"	"535"	"0"
"32"	"26"	"23"	"306"	"51"	"31"	"13"	"488"	"17"	"14"	"17"	"6"	"23"	"11"	"1000"	"0"	"1000"	"0"
"33"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"34"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"35"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"36"	"27"	"8"	"39"	"139"	"17"	"4"	"96"	"0"	"6"	"2"	"3"	"1"	"8"	"323"	"0"	"323"	"0"
"37"	"28"	"11"	"151"	"364"	"26"	"20"	"208"	"4"	"9"	"13"	"10"	"21"	"43"	"880"	"0"	"880"	"0"
"38"	"29"	"26"	"164"	"253"	"87"	"14"	"219"	"8"	"9"	"8"	"3"	"3"	"15"	"809"	"0"	"809"	"0"
"39"	"30"	"13"	"97"	"176"	"61"	"12"	"300"	"13"	"9"	"16"	"15"	"18"	"29"	"759"	"0"	"759"	"0"
"40"	"31"	"10"	"61"	"15"	"36"	"94"	"268"	"9"	"7"	"5"	"3"	"9"	"13"	"530"	"0"	"530"	"0"
"41"	"32"	"14"	"107"	"81"	"21"	"22"	"300"	"13"	"16"	"9"	"12"	"18"	"36"	"649"	"0"	"649"	"0"
"42"	"33"	"10"	"45"	"104"	"40"	"64"	"216"	"9"	"16"	"16"	"13"	"11"	"14"	"558"	"0"	"558"	"0"
"43"	"34"	"12"	"142"	"210"	"6"	"23"	"177"	"8"	"9"	"5"	"6"	"6"	"5"	"609"	"0"	"609"	"0"
"44"	"35"	"15"	"84"	"115"	"37"	"14"	"355"	"4"	"2"	"0"	"1"	"5"	"2"	"634"	"0"	"634"	"0"
"45"	"36"	"10"	"87"	"83"	"14"	"58"	"268"	"15"	"18"	"15"	"7"	"15"	"44"	"634"	"0"	"634"	"0"
"46"	"37"	"11"	"251"	"181"	"14"	"15"	"192"	"9"	"16"	"8"	"3"	"14"	"15"	"729"	"0"	"729"	"0"
"47"	"38"	"20"	"341"	"83"	"66"	"5"	"114"	"3"	"3"	"9"	"2"	"4"	"8"	"658"	"0"	"658"	"0"
"48"	"39"	"4"	"54"	"72"	"15"	"9"	"425"	"12"	"13"	"3"	"6"	"14"	"8"	"635"	"0"	"635"	"0"
"49"	"40"	"10"	"266"	"88"	"61"	"20"	"381"	"16"	"16"	"6"	"9"	"27"	"22"	"922"	"0"	"922"	"0"
"50"	"41"	"20"	"129"	"277"	"27"	"32"	"285"	"8"	"7"	"3"	"8"	"10"	"9"	"815"	"0"	"815"	"0"
"51"	"42"	"9"	"160"	"187"	"7"	"14"	"84"	"3"	"2"	"5"	"1"	"9"	"8"	"489"	"0"	"489"	"0"
"52"	"43"	"19"	"165"	"334"	"21"	"7"	"63"	"2"	"12"	"17"	"7"	"30"	"54"	"731"	"0"	"731"	"0"
"53"	"44"	"4"	"145"	"183"	"29"	"23"	"166"	"6"	"6"	"8"	"9"	"13"	"17"	"609"	"0"	"609"	"0"
"54"	"45"	"15"	"238"	"26"	"19"	"39"	"372"	"8"	"10"	"7"	"3"	"15"	"12"	"764"	"0"	"764"	"0"
"55"	"46"	"13"	"218"	"68"	"19"	"14"	"221"	"5"	"2"	"1"	"3"	"7"	"8"	"579"	"0"	"579"	"0"
"56"	"47"	"12"	"76"	"285"	"48"	"8"	"200"	"19"	"15"	"14"	"15"	"20"	"35"	"747"	"0"	"747"	"0"
"57"	"48"	"1"	"81"	"76"	"38"	"5"	"448"	"11"	"7"	"7"	"6"	"7"	"3"	"690"	"0"	"690"	"0"
"58"	"49"	"11"	"131"	"298"	"81"	"32"	"84"	"6"	"8"	"4"	"3"	"5"	"6"	"669"	"0"	"669"	"0"
"59"	"50"	"12"	"137"	"88"	"177"	"11"	"214"	"11"	"10"	"15"	"8"	"16"	"16"	"715"	"0"	"715"	"0"
"60"	"51"	"15"	"189"	"45"	"33"	"11"	"338"	"7"	"6"	"27"	"6"	"15"	"18"	"710"	"0"	"710"	"0"
"61"	"52"	"15"	"216"	"69"	"46"	"7"	"376"	"9"	"14"	"50"	"6"	"24"	"55"	"887"	"0"	"887"	"0"
"62"	"53"	"4"	"19"	"160"	"9"	"8"	"112"	"2"	"2"	"7"	"4"	"6"	"3"	"336"	"0"	"336"	"0"
"63"	"54"	"10"	"57"	"302"	"20"	"8"	"143"	"4"	"7"	"2"	"8"	"5"	"4"	"570"	"0"	"570"	"0"
"64"	"55"	"8"	"80"	"279"	"48"	"30"	"204"	"3"	"7"	"4"	"3"	"0"	"2"	"668"	"0"	"668"	"0"
"65"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"66"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"67"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"68"	"56"	"16"	"88"	"341"	"48"	"3"	"49"	"2"	"2"	"8"	"2"	"6"	"6"	"571"	"0"	"571"	"0"
"69"	"57"	"8"	"197"	"150"	"55"	"9"	"173"	"11"	"16"	"15"	"16"	"19"	"34"	"703"	"0"	"703"	"0"
"70"	"58"	"3"	"21"	"396"	"81"	"5"	"12"	"0"	"0"	"8"	"4"	"2"	"9"	"541"	"0"	"541"	"0"
"71"	"59"	"16"	"167"	"181"	"81"	"32"	"73"	"2"	"5"	"14"	"5"	"17"	"18"	"611"	"0"	"611"	"0"
"72"	"60"	"1"	"159"	"6"	"38"	"54"	"276"	"7"	"14"	"6"	"2"	"12"	"13"	"588"	"0"	"588"	"0"
"73"	"61"	"41"	"439"	"89"	"13"	"12"	"175"	"8"	"5"	"13"	"14"	"42"	"35"	"886"	"0"	"886"	"0"
"74"	"62"	"21"	"93"	"46"	"80"	"29"	"353"	"15"	"11"	"10"	"4"	"16"	"22"	"700"	"0"	"700"	"0"
"75"	"63"	"14"	"92"	"152"	"15"	"8"	"187"	"15"	"5"	"11"	"10"	"15"	"28"	"552"	"0"	"552"	"0"
"76"	"64"	"24"	"44"	"286"	"16"	"9"	"165"	"6"	"6"	"6"	"9"	"5"	"10"	"586"	"0"	"586"	"0"
"77"	"65"	"18"	"151"	"277"	"71"	"6"	"19"	"7"	"1"	"24"	"11"	"9"	"28"	"622"	"0"	"622"	"0"
"78"	"66"	"9"	"141"	"383"	"123"	"6"	"25"	"5"	"3"	"6"	"6"	"5"	"20"	"732"	"0"	"732"	"0"
"79"	"67"	"7"	"46"	"8"	"14"	"5"	"150"	"136"	"6"	"6"	"4"	"2"	"4"	"388"	"0"	"388"	"0"
"80"	"68"	"13"	"266"	"24"	"211"	"9"	"208"	"5"	"7"	"5"	"3"	"4"	"9"	"764"	"0"	"764"	"0"
"81"	"69"	"11"	"225"	"83"	"100"	"11"	"236"	"9"	"6"	"17"	"5"	"23"	"25"	"751"	"0"	"751"	"0"
"82"	"70"	"2"	"82"	"41"	"154"	"3"	"98"	"4"	"2"	"2"	"1"	"2"	"4"	"395"	"0"	"395"	"0"
"83"	"70A"	"5"	"102"	"37"	"109"	"9"	"141"	"2"	"2"	"11"	"4"	"8"	"7"	"437"	"0"	"437"	"0"
"84"	"71"	"8"	"80"	"47"	"48"	"20"	"259"	"10"	"10"	"17"	"5"	"17"	"13"	"534"	"0"	"534"	"0"
"85"	"72"	"15"	"139"	"52"	"53"	"25"	"450"	"15"	"19"	"16"	"12"	"24"	"54"	"874"	"0"	"874"	"0"
"86"	"73"	"19"	"85"	"144"	"35"	"43"	"113"	"7"	"3"	"8"	"4"	"5"	"8"	"474"	"0"	"474"	"0"
"87"	"74"	"11"	"48"	"117"	"86"	"14"	"135"	"3"	"2"	"2"	"4"	"4"	"7"	"433"	"0"	"433"	"0"
"88"	"75"	"10"	"149"	"81"	"13"	"16"	"101"	"5"	"6"	"6"	"6"	"22"	"6"	"421"	"0"	"421"	"0"
