"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 238---Gobindpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :238---Gobindpur                                                                                                                                                                                                                        No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name ----- > BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	"Asadullah Khan"	"Krishan Chand Mehta"	"Kaushal Yadav"	"Prof. K.B. Prasad"	"Vikash Kumar"	"Niranjan Kumar"	"Rajendra Singh"	"Shailendra Kumar"	"Sushila Devi"	"Indradeo Prasad"	"Md. Kamran"	"Yugal Yadav"	"Shankar Prasad"	"Suraj Ram"	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"8"	"1"	"9"	"2"	"198"	"66"	"5"	"1"	"0"	"1"	"2"	"3"	"14"	"4"	"0"	"6"	""	""	"311"
"9"	"2"	"5"	"5"	"103"	"23"	"3"	"0"	"3"	"0"	"4"	"1"	"95"	"3"	"1"	"0"	""	""	"246"
"10"	"3"	"5"	"0"	"104"	"43"	"5"	"3"	"2"	"2"	"2"	"10"	"62"	"9"	"6"	"27"	""	""	"280"
"11"	"4"	"7"	"4"	"408"	"13"	"5"	"2"	"3"	"2"	"3"	"8"	"5"	"14"	"6"	"16"	""	""	"496"
"12"	"5"	"6"	"3"	"108"	"17"	"0"	"2"	"0"	"1"	"1"	"5"	"12"	"1"	"1"	"0"	""	""	"157"
"13"	"6"	"12"	"7"	"137"	"120"	"7"	"1"	"6"	"0"	"2"	"8"	"30"	"6"	"4"	"5"	""	""	"345"
"14"	"7"	"9"	"4"	"74"	"83"	"22"	"1"	"1"	"2"	"1"	"5"	"234"	"5"	"1"	"11"	""	""	"453"
"15"	"8"	"4"	"0"	"160"	"65"	"7"	"2"	"0"	"1"	"2"	"9"	"147"	"10"	"4"	"10"	""	""	"421"
"16"	"9"	"10"	"2"	"512"	"63"	"1"	"1"	"4"	"2"	"1"	"5"	"18"	"6"	"2"	"3"	""	""	"630"
"17"	"10"	"10"	"1"	"143"	"49"	"3"	"0"	"1"	"1"	"1"	"0"	"20"	"2"	"1"	"11"	""	""	"243"
"18"	"11"	"12"	"8"	"143"	"14"	"4"	"1"	"2"	"2"	"4"	"4"	"48"	"4"	"5"	"13"	""	""	"264"
"19"	"12"	"11"	"11"	"315"	"127"	"13"	"1"	"1"	"3"	"0"	"8"	"12"	"4"	"2"	"4"	""	""	"512"
"20"	"13"	"6"	"2"	"161"	"19"	"2"	"5"	"4"	"5"	"3"	"11"	"22"	"13"	"1"	"6"	""	""	"260"
"21"	"14"	"15"	"2"	"142"	"25"	"1"	"0"	"2"	"0"	"0"	"1"	"15"	"2"	"2"	"2"	""	""	"209"
"22"	"15"	"2"	"4"	"170"	"163"	"15"	"6"	"0"	"2"	"0"	"1"	"9"	"2"	"0"	"0"	""	""	"374"
"23"	"16"	"7"	"7"	"170"	"40"	"5"	"6"	"1"	"0"	"1"	"2"	"12"	"1"	"0"	"0"	""	""	"252"
"24"	"16A"	"9"	"1"	"165"	"65"	"2"	"2"	"2"	"1"	"2"	"5"	"28"	"2"	"0"	"7"	""	""	"291"
"25"	"17"	"12"	"9"	"209"	"25"	"2"	"3"	"0"	"5"	"14"	"7"	"24"	"8"	"2"	"14"	""	""	"334"
"26"	"18"	"3"	"0"	"149"	"65"	"2"	"0"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"0"	""	""	"226"
"27"	"Page 1 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"34"	"19"	"12"	"2"	"92"	"56"	"4"	"1"	"2"	"0"	"2"	"2"	"5"	"3"	"2"	"10"	""	""	"193"
"35"	"20"	"6"	"6"	"147"	"106"	"9"	"5"	"4"	"5"	"3"	"19"	"76"	"13"	"2"	"13"	""	""	"414"
"36"	"21"	"4"	"4"	"30"	"51"	"1"	"2"	"3"	"2"	"2"	"7"	"58"	"9"	"1"	"6"	""	""	"180"
"37"	"22"	"4"	"3"	"187"	"232"	"6"	"3"	"3"	"2"	"3"	"10"	"61"	"8"	"3"	"3"	""	""	"528"
"38"	"23"	"3"	"4"	"73"	"100"	"3"	"3"	"3"	"3"	"0"	"3"	"12"	"6"	"4"	"2"	""	""	"219"
"39"	"24"	"7"	"2"	"314"	"116"	"14"	"3"	"11"	"3"	"9"	"8"	"73"	"22"	"10"	"17"	""	""	"609"
"40"	"25"	"11"	"6"	"129"	"156"	"9"	"2"	"3"	"2"	"3"	"3"	"48"	"5"	"1"	"4"	""	""	"382"
"41"	"26"	"4"	"3"	"169"	"54"	"7"	"8"	"3"	"3"	"6"	"6"	"76"	"4"	"4"	"5"	""	""	"352"
"42"	"27"	"11"	"4"	"176"	"61"	"12"	"3"	"2"	"3"	"2"	"1"	"21"	"9"	"4"	"11"	""	""	"320"
"43"	"28"	"13"	"5"	"137"	"134"	"4"	"5"	"6"	"7"	"4"	"16"	"178"	"5"	"7"	"7"	""	""	"528"
"44"	"29"	"9"	"9"	"198"	"94"	"6"	"3"	"5"	"6"	"2"	"4"	"165"	"6"	"0"	"4"	""	""	"511"
