"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ANIL KUMAR"	"ARUN MANJHI"	"DILIP PASWAN"	"MANHAGUL AL AJAD"	"MANTI DAS"	"GOPAL RAVIDAS"	"YUGESHW AR MANJHI"	"RAGHUWA R PASWAN"	"RAJESH KUMAR"	"RAJENDRA PASWAN"	"RAMPRAVE SH PASWAN"	"SATYENDR A KUMAR"	"SURESH
PRASAD CHAUDHAR I"	"SURYODAY PASWAN"	""	""	""	""
"2"	"1"	"216"	"175"	"9"	"3"	"2"	"12"	"3"	"3"	"0"	"4"	"9"	"5"	"10"	"17"	"468"	"0"	"468"	"0"
"3"	"2"	"39"	"151"	"5"	"3"	"3"	"86"	"5"	"7"	"2"	"1"	"8"	"5"	"0"	"3"	"318"	"0"	"318"	"0"
"4"	"3"	"33"	"151"	"3"	"1"	"1"	"54"	"1"	"6"	"2"	"1"	"3"	"3"	"4"	"4"	"267"	"0"	"267"	"0"
"5"	"4"	"43"	"24"	"3"	"0"	"3"	"77"	"2"	"11"	"6"	"1"	"3"	"2"	"3"	"11"	"189"	"0"	"189"	"0"
"6"	"5"	"147"	"39"	"7"	"1"	"6"	"56"	"2"	"3"	"3"	"3"	"1"	"0"	"2"	"11"	"281"	"0"	"281"	"0"
"7"	"6"	"176"	"64"	"9"	"0"	"1"	"40"	"4"	"8"	"1"	"2"	"7"	"5"	"18"	"38"	"373"	"0"	"373"	"0"
"8"	"7"	"77"	"303"	"9"	"3"	"0"	"6"	"1"	"3"	"2"	"0"	"4"	"5"	"7"	"15"	"435"	"0"	"435"	"0"
"9"	"8"	"133"	"182"	"4"	"0"	"3"	"39"	"2"	"4"	"0"	"0"	"6"	"2"	"2"	"13"	"390"	"0"	"390"	"0"
"10"	"9"	"68"	"138"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"210"	"0"	"210"	"0"
"11"	"10"	"116"	"59"	"5"	"2"	"1"	"148"	"3"	"10"	"2"	"2"	"3"	"3"	"7"	"2"	"363"	"0"	"363"	"0"
"12"	"11"	"16"	"284"	"5"	"0"	"0"	"6"	"3"	"2"	"1"	"0"	"4"	"0"	"6"	"5"	"332"	"0"	"332"	"0"
"13"	"12"	"21"	"346"	"10"	"3"	"3"	"129"	"6"	"16"	"15"	"8"	"10"	"6"	"15"	"20"	"608"	"0"	"608"	"0"
"14"	"13"	"26"	"259"	"3"	"3"	"0"	"17"	"3"	"4"	"4"	"0"	"3"	"2"	"1"	"8"	"333"	"0"	"333"	"0"
"15"	"14"	"65"	"254"	"11"	"1"	"4"	"185"	"9"	"13"	"5"	"5"	"8"	"4"	"8"	"13"	"585"	"0"	"585"	"0"
"16"	"15"	"119"	"345"	"11"	"4"	"1"	"142"	"5"	"12"	"8"	"3"	"19"	"6"	"18"	"18"	"711"	"0"	"711"	"0"
"17"	"16"	"83"	"200"	"2"	"1"	"3"	"92"	"5"	"13"	"4"	"2"	"11"	"2"	"2"	"2"	"422"	"0"	"422"	"0"
"18"	"17"	"24"	"83"	"6"	"0"	"0"	"21"	"1"	"3"	"0"	"4"	"2"	"1"	"2"	"2"	"149"	"0"	"149"	"0"
"19"	"18"	"121"	"50"	"8"	"12"	"9"	"123"	"7"	"11"	"4"	"2"	"8"	"1"	"8"	"16"	"380"	"0"	"380"	"0"
"20"	"19"	"38"	"196"	"10"	"0"	"1"	"29"	"4"	"3"	"2"	"5"	"10"	"1"	"9"	"16"	"324"	"0"	"324"	"0"
"21"	"20"	"264"	"80"	"7"	"12"	"1"	"76"	"4"	"11"	"7"	"2"	"8"	"5"	"7"	"38"	"522"	"0"	"522"	"0"
"22"	"21"	"55"	"192"	"0"	"7"	"1"	"3"	"1"	"2"	"2"	"1"	"3"	"0"	"2"	"3"	"272"	"0"	"272"	"0"
"23"	"22"	"6"	"226"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"7"	"4"	"5"	"9"	"262"	"0"	"262"	"0"
"24"	"23"	"277"	"21"	"6"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"4"	"317"	"0"	"317"	"0"
"25"	"24"	"72"	"307"	"13"	"1"	"8"	"182"	"4"	"19"	"22"	"10"	"17"	"8"	"20"	"24"	"707"	"0"	"707"	"0"
"26"	"25"	"101"	"159"	"5"	"25"	"1"	"64"	"9"	"5"	"0"	"2"	"2"	"1"	"6"	"7"	"387"	"0"	"387"	"0"
"27"	"26"	"3"	"262"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"269"	"0"	"269"	"0"
"28"	"27"	"263"	"312"	"15"	"5"	"5"	"81"	"5"	"12"	"8"	"6"	"16"	"10"	"24"	"35"	"797"	"0"	"797"	"0"
"29"	"28"	"82"	"181"	"5"	"0"	"0"	"12"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"11"	"296"	"0"	"296"	"0"
"30"	"29"	"10"	"45"	"2"	"95"	"2"	"5"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"162"	"0"	"162"	"0"
"31"	"30"	"68"	"229"	"10"	"5"	"5"	"76"	"5"	"7"	"9"	"2"	"11"	"10"	"8"	"23"	"468"	"0"	"468"	"0"
"32"	"31"	"71"	"188"	"7"	"4"	"4"	"91"	"3"	"6"	"2"	"0"	"1"	"6"	"6"	"7"	"396"	"0"	"396"	"0"
"33"	"32"	"199"	"96"	"4"	"0"	"2"	"109"	"1"	"13"	"10"	"1"	"9"	"1"	"3"	"9"	"457"	"0"	"457"	"0"
"34"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"35"	""	"ANIL KUMAR"	"ARUN MANJHI"	"DILIP PASWAN"	"MANHAGUL AL AJAD"	"MANTI DAS"	"GOPAL RAVIDAS"	"YUGESHW AR MANJHI"	"RAGHUWA R PASWAN"	"RAJESH KUMAR"	"RAJENDRA PASWAN"	"RAMPRAVE SH PASWAN"	"SATYENDR A KUMAR"	"SURESH
PRASAD CHAUDHAR I"	"SURYODAY PASWAN"	""	""	""	""
"36"	"33"	"114"	"131"	"8"	"12"	"3"	"117"	"8"	"19"	"7"	"3"	"13"	"2"	"8"	"16"	"461"	"0"	"461"	"0"
"37"	"34"	"139"	"142"	"4"	"30"	"2"	"124"	"4"	"5"	"1"	"3"	"5"	"5"	"13"	"7"	"484"	"0"	"484"	"0"
"38"	"35"	"45"	"177"	"4"	"1"	"2"	"73"	"6"	"12"	"6"	"2"	"12"	"6"	"9"	"11"	"366"	"0"	"366"	"0"
"39"	"36"	"175"	"318"	"13"	"5"	"6"	"91"	"7"	"16"	"11"	"6"	"21"	"8"	"20"	"33"	"730"	"0"	"730"	"0"
"40"	"37"	"41"	"443"	"8"	"11"	"2"	"23"	"5"	"5"	"4"	"3"	"4"	"7"	"13"	"21"	"590"	"0"	"590"	"0"
"41"	"38"	"88"	"273"	"20"	"10"	"6"	"275"	"11"	"25"	"9"	"8"	"15"	"5"	"12"	"13"	"770"	"0"	"770"	"0"
"42"	"39"	"149"	"457"	"24"	"3"	"1"	"75"	"0"	"4"	"1"	"4"	"11"	"8"	"11"	"22"	"770"	"0"	"770"	"0"
"43"	"40"	"307"	"10"	"5"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"8"	"336"	"0"	"336"	"0"
"44"	"41"	"72"	"220"	"9"	"5"	"2"	"47"	"4"	"9"	"1"	"1"	"6"	"4"	"7"	"8"	"395"	"0"	"395"	"0"
"45"	"42"	"129"	"238"	"9"	"3"	"1"	"22"	"3"	"3"	"0"	"2"	"6"	"2"	"10"	"9"	"437"	"0"	"437"	"0"
"46"	"43"	"67"	"419"	"6"	"0"	"0"	"24"	"5"	"6"	"3"	"3"	"4"	"4"	"4"	"5"	"550"	"0"	"550"	"0"
"47"	"44"	"101"	"251"	"11"	"4"	"1"	"12"	"18"	"5"	"1"	"2"	"9"	"6"	"8"	"11"	"440"	"0"	"440"	"0"
"48"	"45"	"62"	"265"	"11"	"1"	"0"	"3"	"0"	"1"	"2"	"1"	"6"	"4"	"5"	"5"	"366"	"0"	"366"	"0"
"49"	"46"	"230"	"195"	"11"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"4"	"2"	"10"	"7"	"465"	"0"	"465"	"0"
"50"	"47"	"130"	"196"	"4"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"4"	"4"	"5"	"5"	"353"	"0"	"353"	"0"
"51"	"47 A"	"116"	"223"	"4"	"0"	"0"	"4"	"2"	"5"	"4"	"1"	"1"	"1"	"10"	"13"	"384"	"0"	"384"	"0"
"52"	"48"	"45"	"314"	"11"	"2"	"0"	"2"	"3"	"2"	"2"	"6"	"4"	"7"	"12"	"8"	"418"	"0"	"418"	"0"
"53"	"48 A"	"67"	"302"	"12"	"0"	"0"	"5"	"4"	"2"	"2"	"0"	"11"	"7"	"11"	"8"	"431"	"0"	"431"	"0"
"54"	"49"	"87"	"470"	"15"	"0"	"2"	"33"	"1"	"2"	"3"	"2"	"10"	"5"	"14"	"6"	"650"	"0"	"650"	"0"
"55"	"50"	"105"	"305"	"6"	"5"	"4"	"117"	"3"	"11"	"9"	"5"	"3"	"6"	"8"	"22"	"609"	"0"	"609"	"0"
"56"	"51"	"156"	"338"	"7"	"5"	"1"	"33"	"0"	"5"	"5"	"4"	"10"	"4"	"22"	"17"	"607"	"0"	"607"	"0"
"57"	"52"	"162"	"215"	"16"	"0"	"2"	"12"	"4"	"4"	"3"	"2"	"2"	"3"	"15"	"3"	"443"	"0"	"443"	"0"
"58"	"53"	"235"	"285"	"13"	"4"	"1"	"27"	"10"	"10"	"4"	"3"	"4"	"6"	"17"	"27"	"646"	"0"	"646"	"0"
"59"	"54"	"113"	"263"	"10"	"0"	"2"	"9"	"2"	"5"	"1"	"3"	"6"	"3"	"12"	"15"	"444"	"0"	"444"	"0"
"60"	"55"	"297"	"266"	"10"	"2"	"5"	"57"	"4"	"13"	"4"	"3"	"13"	"13"	"10"	"41"	"738"	"0"	"738"	"0"
"61"	"56"	"32"	"435"	"3"	"3"	"0"	"4"	"1"	"0"	"1"	"0"	"3"	"2"	"2"	"1"	"487"	"0"	"487"	"0"
"62"	"57"	"38"	"490"	"9"	"2"	"2"	"16"	"1"	"2"	"1"	"1"	"6"	"8"	"6"	"8"	"590"	"0"	"590"	"0"
"63"	"58"	"46"	"384"	"11"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"2"	"0"	"14"	"7"	"472"	"0"	"472"	"0"
"64"	"59"	"136"	"439"	"6"	"0"	"1"	"13"	"2"	"2"	"3"	"1"	"3"	"1"	"35"	"8"	"650"	"0"	"650"	"0"
"65"	"60"	"39"	"367"	"6"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"4"	"4"	"3"	"2"	"430"	"0"	"430"	"0"
"66"	"61"	"46"	"457"	"13"	"2"	"0"	"4"	"1"	"1"	"1"	"0"	"10"	"3"	"5"	"7"	"550"	"0"	"550"	"0"
"67"	"62"	"32"	"478"	"9"	"0"	"0"	"9"	"1"	"5"	"1"	"0"	"5"	"5"	"13"	"6"	"564"	"0"	"564"	"0"
"68"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"69"	""	"ANIL KUMAR"	"ARUN MANJHI"	"DILIP PASWAN"	"MANHAGUL AL AJAD"	"MANTI DAS"	"GOPAL RAVIDAS"	"YUGESHW AR MANJHI"	"RAGHUWA R PASWAN"	"RAJESH KUMAR"	"RAJENDRA PASWAN"	"RAMPRAVE SH PASWAN"	"SATYENDR A KUMAR"	"SURESH
PRASAD CHAUDHAR I"	"SURYODAY PASWAN"	""	""	""	""
