"BOOTH.NO"	"RAJESH.KUMAR.RAUSHAN..BABLOO.DEO"	"RANA.RANDHIR"	"LAL.BABU.SAHANI"	"SHIVJEE.RAI"	"INDU.BHUSHAN.PRASAD.JAISWAL"	"MERAJ.ANSARI"	"SANJAY.KUMAR"	"AJAY.KUMAR.PANDEY"	"JAINUDDIN.ANSARI"	"RANJIT.PRASAD.SAH"	"TOTAL"
"1"	1	2	3	4	5	6	7	8	9	10	11	12
"2"	1	125	70	71	501	10	5	8	9	4	20	823
"3"	2	30	138	9	314	8	6	2	3	5	24	539
"4"	3	22	208	24	192	7	3	6	6	8	21	497
"5"	4	322	93	5	145	1	1	6	3	3	8	587
"6"	5	174	90	6	167	1	1	5	0	5	13	462
"7"	6	16	218	6	236	2	1	2	2	4	4	491
"8"	7	25	146	10	421	10	1	14	6	4	16	653
"9"	8	17	91	6	277	3	3	2	0	2	6	407
"10"	9	23	209	16	310	7	7	1	4	2	7	586
"11"	10	51	150	1	400	5	1	4	2	2	17	633
"12"	11	5	254	16	409	6	3	8	3	9	14	727
"13"	12	41	56	2	456	17	5	7	4	4	22	614
"14"	13	41	152	0	493	9	2	1	0	2	11	711
"15"	14	64	310	12	197	9	3	3	3	5	4	610
"16"	15	145	243	14	203	8	1	3	8	6	7	638
"17"	16	19	136	28	172	5	2	3	3	1	6	375
"18"	17	19	254	23	248	8	5	5	8	8	12	590
"19"	18	32	138	13	341	11	9	13	4	9	12	582
"20"	19	38	157	7	201	10	8	9	4	7	14	455
"21"	20	82	239	16	331	15	0	9	8	11	23	734
"22"	21	16	190	6	383	9	0	11	1	8	8	632
"23"	22	5	625	9	171	7	3	2	3	5	7	837
"24"	23	17	124	34	137	78	7	4	1	7	5	414
"25"	24	34	98	74	184	3	3	0	3	1	5	405
"26"	25	110	150	13	208	10	3	0	4	5	14	517
"27"	26	19	119	8	216	18	4	8	1	2	3	398
"28"	27	26	59	4	227	2	2	1	0	2	0	323
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	1	2	3	4	5	6	7	8	9	10	11	12
"31"	28	165	222	29	375	38	6	8	15	18	26	902
"32"	29	71	35	8	134	4	1	3	1	0	8	265
"33"	30	119	347	62	240	16	7	8	7	5	19	830
"34"	31	24	144	12	500	19	7	15	6	6	17	750
"35"	32	4	153	8	183	5	1	1	0	4	5	364
"36"	33	17	105	8	425	20	2	8	7	6	22	620
"37"	34	17	190	7	258	6	2	5	2	3	10	500
"38"	35	41	238	13	547	15	8	3	1	8	21	895
"39"	36	104	110	5	543	24	2	4	2	2	10	806
"40"	37	63	307	62	349	14	6	17	7	11	24	860
"41"	38	50	350	10	109	6	3	5	3	9	14	559
"42"	39	40	89	13	569	14	2	9	3	9	28	776
"43"	40	27	98	9	386	7	3	7	1	3	8	549
"44"	41	8	168	18	308	5	1	3	1	5	11	528
"45"	42	9	102	5	240	3	2	4	0	2	14	381
"46"	43	25	90	6	357	13	2	9	3	4	27	536
"47"	44	11	60	2	394	9	3	3	1	6	19	508
"48"	45	53	230	26	367	7	5	6	1	4	11	710
"49"	46	25	82	34	459	9	4	3	1	8	13	638
"50"	47	89	72	228	212	9	8	10	8	12	16	664
"51"	48	19	108	303	65	6	9	3	4	2	6	525
"52"	49	30	54	441	109	1	9	4	6	4	13	671
"53"	50	87	105	26	303	18	10	17	13	9	33	621
"54"	51	65	152	212	194	15	23	12	24	10	19	726
"55"	52	15	72	16	249	5	4	4	5	3	9	382
"56"	53	35	153	4	156	4	1	2	4	5	12	376
"57"	54	6	72	5	232	5	8	7	1	1	13	350
