"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly  - 141 Cheriya Bariyarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"3"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"4"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"5"	"1"	"363"	"116"	"69"	"70"	"4"	"21"	"23"	"8"	"24"	"42"	"42"	"782"	"0"	"782"	"0"
"6"	"2"	"203"	"89"	"218"	"36"	"0"	"4"	"70"	"9"	"8"	"41"	"19"	"697"	"0"	"697"	"0"
"7"	"3"	"146"	"34"	"121"	"32"	"4"	"4"	"49"	"4"	"36"	"9"	"52"	"491"	"0"	"491"	"0"
"8"	"4"	"243"	"97"	"135"	"84"	"14"	"14"	"60"	"6"	"37"	"16"	"30"	"736"	"0"	"736"	"0"
"9"	"5"	"162"	"118"	"59"	"32"	"4"	"17"	"12"	"5"	"4"	"12"	"30"	"455"	"0"	"455"	"0"
"10"	"6"	"22"	"17"	"285"	"31"	"4"	"3"	"55"	"12"	"8"	"21"	"23"	"481"	"0"	"481"	"0"
"11"	"7"	"104"	"96"	"123"	"109"	"3"	"6"	"34"	"9"	"4"	"10"	"70"	"568"	"0"	"568"	"0"
"12"	"8"	"131"	"121"	"62"	"77"	"5"	"7"	"34"	"7"	"7"	"13"	"46"	"510"	"0"	"510"	"0"
"13"	"8A"	"98"	"68"	"55"	"75"	"4"	"4"	"37"	"3"	"7"	"9"	"22"	"382"	"0"	"382"	"0"
