"BOOTH.NO"	"ARVIND.KUMAR"	"ARVIND.KUMAR.GUPTA"	"PRAMOD.KUMAR"	"MAHENDRA.PRASAD.SINGH"	"RAJESH.GUPTA.ALIAS.BABLU.GUPTA"	"SIKANDAR.CHAUDHARY"	"ANURAG.RAJ"	"GAURI.SHANKAR.PRASAD"	"DURGA.SAH"	"CAPT..PUSHKAR.JHA"	"MANISH.KUMAR.SHEKHAR"	"MD..MURTUJA.ANSARI.ALIAS.DR..LAL"	"RAKESH.BHUSHAN"	"AMRENDRA.SINGH"	"DHURAV.NARAYAN.CHAUDHARY"	"BIKRAMADITYA.SINGH"	"MAHAMAD.HAMID.EKBAL"	"LAL.BABU.RAM"	"SURESH.SAHNI"	"Total"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"2"	1	7	9	39	4	137	7	2	6	6	8	6	7	13	18	12	210	9	3	57	560
"3"	2	12	8	177	5	3	5	0	12	5	86	1	5	15	10	10	31	13	8	192	598
"4"	3	13	5	125	3	10	4	1	4	2	8	1	3	10	5	3	12	18	9	374	610
"5"	4	22	16	140	6	7	13	1	15	2	8	1	2	37	19	13	33	23	10	388	756
"6"	5	44	82	152	6	276	9	5	5	1	39	6	51	4	6	3	8	3	3	1	704
"7"	6	23	18	101	9	255	7	3	5	1	3	1	11	3	6	5	8	3	5	3	470
"8"	7	40	32	97	6	59	2	0	7	1	0	3	6	5	5	3	17	2	1	6	292
"9"	8	10	32	178	6	281	12	1	7	2	15	5	5	4	11	2	17	0	1	11	600
"10"	9	9	35	356	9	152	5	1	7	2	2	7	8	4	17	6	49	0	1	5	675
"11"	10	11	20	134	3	12	1	0	1	0	2	4	1	0	7	0	11	0	0	2	209
"12"	11	13	21	288	8	22	1	1	2	1	24	1	0	1	5	1	6	0	0	3	398
"13"	12	4	125	136	5	13	79	0	2	2	0	1	5	7	2	5	12	2	6	55	461
"14"	NA	7	18	113	7	32	112	2	5	0	2	2	3	5	6	2	31	7	7	74	435
"15"	13	11	42	182	8	340	5	2	3	1	3	2	1	1	1	2	0	2	1	1	608
"16"	14	11	22	148	19	141	73	6	29	8	8	7	4	23	14	14	127	2	4	81	741
"17"	15	3	16	70	5	1	3	1	8	2	8	2	0	10	4	3	9	7	6	86	244
"18"	16	8	57	254	23	47	4	2	4	6	0	3	1	7	4	2	5	1	0	23	451
"19"	NA	0	87	194	24	81	3	1	4	1	0	1	1	9	10	4	9	6	0	61	496
"20"	17	22	133	209	8	86	6	1	8	1	1	3	4	25	4	10	25	15	16	318	895
"21"	18	12	186	261	3	64	0	1	3	0	1	2	6	4	19	5	57	1	7	34	666
"22"	19	48	22	124	2	276	0	5	4	0	0	0	1	8	15	9	27	14	5	109	669
"23"	20	9	3	52	7	538	10	5	5	1	4	3	5	2	7	2	32	1	0	8	694
"24"	21	116	23	331	9	30	7	5	20	3	1	2	1	22	12	12	29	11	3	228	865
"25"	22	4	7	84	3	103	1	1	1	0	0	1	1	0	1	1	2	4	6	17	237
"26"	23	5	37	353	5	246	6	1	4	0	0	1	3	2	4	3	17	3	2	4	696
"27"	24	7	16	395	8	220	2	4	3	0	14	3	4	2	9	5	21	5	0	5	723
"28"	25	9	18	333	8	99	5	5	6	1	7	2	4	8	6	0	15	1	1	38	566
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"31"	26	12	35	81	5	233	20	2	5	3	2	5	13	14	22	15	42	0	2	8	519
"32"	27	2	10	59	6	238	10	1	3	1	2	3	6	2	27	4	29	6	0	4	413
"33"	28	1	5	98	7	176	6	5	0	0	2	1	5	4	8	5	5	1	0	5	334
"34"	29	0	4	42	3	162	2	1	1	2	0	0	1	0	7	0	5	0	0	1	231
"35"	30	2	24	285	8	45	7	1	0	3	4	2	2	6	13	3	46	3	3	33	490
"36"	31	11	10	500	12	152	5	0	4	4	1	10	5	8	27	6	54	1	1	6	817
"37"	32	9	13	384	12	17	2	1	8	0	2	1	1	1	6	2	1	3	0	2	465
"38"	33	5	6	153	8	135	5	1	2	0	1	1	2	0	4	0	19	0	2	5	349
"39"	34	1	39	225	2	105	0	0	1	0	0	1	4	1	43	1	2	4	1	4	434
"40"	35	1	17	173	7	36	0	0	1	1	3	10	1	0	6	0	0	0	1	2	259
"41"	36	7	17	180	13	55	1	3	15	2	11	5	0	5	10	4	26	5	3	6	368
"42"	37	24	1	392	12	222	18	8	5	3	7	5	6	12	14	8	17	4	3	73	834
"43"	38	60	16	224	7	52	4	9	11	16	2	2	8	11	7	4	53	9	5	32	532
"44"	39	24	29	379	9	75	5	3	6	2	13	3	0	5	19	0	66	8	4	8	658
"45"	40	14	11	420	12	51	1	8	12	9	1	48	8	11	38	4	98	4	2	10	762
"46"	41	15	17	141	11	27	4	8	22	7	49	6	4	9	18	7	47	2	1	16	411
"47"	42	24	22	232	15	223	15	3	6	6	9	43	10	16	7	13	45	6	4	51	750
"48"	43	4	6	91	1	41	2	12	5	3	2	5	3	1	2	0	4	4	3	11	200
"49"	44	3	21	308	24	144	3	3	5	1	6	8	6	7	15	5	87	15	10	20	691
"50"	45	17	14	273	11	325	4	4	1	1	8	3	12	5	10	4	18	7	3	11	731
"51"	46	5	37	331	4	20	3	1	3	1	4	4	1	3	14	6	33	0	0	3	473
"52"	NA	5	13	297	10	67	3	2	5	4	2	3	1	6	17	5	54	0	1	2	497
"53"	47	12	35	172	7	280	8	3	12	3	4	2	7	6	7	2	28	3	1	0	592
"54"	48	2	7	192	7	37	0	1	0	2	0	0	1	2	1	0	8	0	0	0	260
"55"	49	27	34	287	7	168	6	1	3	1	6	7	0	0	10	2	8	5	2	5	579
"56"	50	13	35	309	6	164	3	0	2	0	2	4	1	2	8	0	10	5	0	3	567
"57"	51	6	19	165	7	133	4	2	0	0	2	0	3	1	5	0	3	3	0	1	354
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"60"	52	3	10	106	1	38	2	0	1	0	0	0	0	0	1	0	0	1	0	3	166
"61"	53	18	76	303	6	136	2	1	4	0	2	8	7	2	46	0	11	2	1	7	632
"62"	54	11	28	274	7	89	0	1	0	2	0	4	2	2	107	0	1	1	0	1	530
"63"	55	9	57	478	5	54	2	0	0	0	0	0	1	3	67	1	5	0	3	24	709
"64"	56	5	24	243	3	68	0	1	0	1	0	1	0	1	32	1	5	0	1	2	388
"65"	57	5	76	104	6	298	0	0	1	0	0	6	12	1	13	0	2	1	0	1	526
"66"	58	3	43	88	0	130	0	0	0	0	0	0	6	1	1	0	5	1	3	3	284
"67"	59	3	51	160	1	231	8	1	0	1	0	3	8	1	13	2	26	0	0	3	512
"68"	60	4	28	240	0	149	0	1	1	0	3	0	5	0	3	1	3	0	0	0	438
"69"	61	21	31	378	4	189	0	0	2	0	1	5	4	0	5	3	9	1	2	3	658
