"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 088---Gaighat CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :088---Gaighat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :230514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"7"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"9"	"1"	"20"	"4"	"133"	"326"	"5"	"1"	"3"	"2"	"1"	"2"	"4"	"11"	"21"	"20"	"12"	"16"	"581"	""	""
"10"	"2"	"31"	"0"	"55"	"174"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"5"	"1"	"14"	"8"	"294"	""	""
"11"	"3"	"19"	"5"	"98"	"236"	"8"	"6"	"1"	"2"	"3"	"2"	"4"	"7"	"10"	"7"	"12"	"13"	"433"	""	""
"12"	"4"	"39"	"4"	"62"	"211"	"9"	"3"	"0"	"2"	"2"	"2"	"2"	"13"	"6"	"15"	"9"	"15"	"394"	""	""
"13"	"5"	"40"	"7"	"215"	"371"	"16"	"5"	"4"	"6"	"5"	"2"	"1"	"14"	"9"	"10"	"21"	"7"	"733"	""	""
"14"	"6"	"30"	"4"	"48"	"212"	"187"	"4"	"5"	"2"	"1"	"4"	"6"	"61"	"12"	"8"	"11"	"13"	"608"	""	""
"15"	"7"	"19"	"5"	"99"	"205"	"168"	"8"	"4"	"5"	"4"	"5"	"5"	"9"	"20"	"8"	"7"	"7"	"578"	""	""
"16"	"8"	"32"	"1"	"89"	"185"	"3"	"0"	"2"	"1"	"1"	"3"	"3"	"12"	"6"	"7"	"91"	"5"	"441"	""	""
