"Candidates.Name"	"JAI.NARAYAN.PRASAD"	"JAIMANGAL.CHOUDHARY"	"DINESH.PRASAD"	"RANJAN.KUMAR.SINGH"	"RAJEEV.KUMAR.URPH.MUNNA.YADAV"	"SHAKAL.DEO.SAHNI"	"RAM.UDESH.RAI"	"LOVE.KUMAR"	"SHANKAR.YADAV"	"GOPAL.PRASAD"	"JITENDRA.PRASAD"	"NANTUN.PASWAN"	"MADHAVI.CHANDRA"	"BIPAT.SAHNI"	"Total"
"1"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	1	16	33	70	13	56	5	5	8	15	9	7	19	443	54	753
"4"	2	8	7	38	10	59	6	0	3	9	9	3	1	308	18	479
"5"	3	6	26	135	5	65	8	3	3	7	7	9	9	453	31	767
"6"	4	3	4	22	0	86	3	1	5	6	1	2	9	221	20	383
"7"	5	25	9	130	14	183	11	7	6	5	7	13	16	137	22	585
"8"	6	4	4	96	40	114	19	12	4	14	157	15	20	198	40	737
"9"	7	9	16	220	20	226	23	6	0	4	75	1	7	11	9	627
"10"	8	29	11	399	40	119	48	3	2	3	31	1	9	12	23	730
"11"	9	13	50	88	21	123	36	3	2	2	15	4	1	7	8	373
"12"	NA	8	6	121	7	136	19	2	2	4	10	2	6	10	3	336
"13"	10	24	4	52	27	472	8	11	5	3	2	2	4	13	14	641
"14"	11	11	5	54	3	511	11	8	4	4	6	2	4	6	7	636
"15"	12	1	1	48	3	140	9	0	0	1	1	0	2	3	1	210
"16"	13	52	29	46	4	184	22	2	2	3	9	5	2	24	9	393
"17"	14	42	4	95	3	172	11	1	1	3	8	7	8	49	32	436
"18"	15	0	0	36	4	137	34	1	1	1	2	1	1	2	1	221
"19"	16	76	48	110	28	168	13	2	6	4	33	4	11	18	12	533
"20"	17	23	72	176	6	155	11	5	2	2	46	1	5	12	6	522
"21"	18	13	17	183	5	32	5	4	1	0	3	1	4	4	3	275
"22"	19	56	11	347	48	154	22	7	0	3	3	2	3	16	4	676
"23"	20	11	3	124	27	45	6	2	1	2	9	5	8	8	21	272
"24"	21	12	2	94	31	142	10	5	6	6	6	5	5	6	15	345
"25"	22	4	5	12	11	171	12	4	1	2	3	0	2	9	4	240
"26"	23	11	10	254	13	96	23	4	1	6	12	4	12	7	22	475
"27"	24	10	1	2	6	460	80	2	5	3	4	3	3	5	11	595
"28"	25	9	8	93	17	174	26	3	4	5	5	2	3	7	14	370
"29"	26	126	13	239	9	210	7	1	3	4	5	1	4	7	20	649
"30"	27	11	75	367	6	60	40	5	4	7	9	9	14	15	20	642
"31"	28	19	35	368	12	42	69	2	5	6	4	5	12	8	20	607
"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	29	9	26	99	11	241	80	9	6	10	14	13	9	27	26	580
"36"	30	11	19	437	13	65	68	7	3	3	4	5	7	6	11	659
"37"	31	0	7	231	17	21	7	0	0	2	1	3	6	1	5	301
"38"	32	21	49	257	9	13	10	4	2	1	2	2	5	5	5	385
"39"	33	5	3	105	24	464	71	4	3	2	3	5	4	6	3	702
"40"	34	10	2	70	12	490	11	12	5	5	10	3	7	23	26	686
"41"	35	9	41	167	5	116	28	3	2	0	2	3	3	5	20	404
"42"	36	9	19	253	5	53	52	4	2	2	1	4	5	12	11	432
"43"	37	9	18	219	7	113	32	8	5	2	3	5	9	11	6	447
"44"	38	12	2	138	63	47	7	3	2	4	8	5	12	9	23	335
"45"	NA	27	7	175	108	44	17	1	2	0	6	3	11	3	13	417
"46"	39	6	17	77	109	76	21	3	32	4	2	5	4	8	12	376
"47"	40	20	3	143	51	111	33	4	2	1	1	0	1	3	1	374
"48"	41	5	8	401	67	122	18	1	0	0	5	2	7	5	6	647
"49"	42	72	7	42	32	194	69	10	3	7	1	2	9	4	18	470
"50"	43	9	6	264	7	121	97	4	2	6	3	4	3	8	6	540
"51"	44	4	1	93	11	24	26	4	0	1	3	0	2	1	2	172
"52"	45	9	3	127	35	70	11	3	3	0	0	1	0	3	1	266
"53"	46	12	1	130	62	15	9	2	1	3	1	3	12	2	5	258
"54"	47	7	7	157	13	56	15	7	1	1	1	3	5	5	5	283
"55"	48	16	3	116	4	451	29	9	4	9	4	9	14	16	19	703
"56"	49	7	0	8	4	79	210	9	5	4	4	5	4	5	2	346
"57"	50	1	1	164	14	75	33	0	1	1	3	1	1	3	7	305
"58"	51	3	1	90	85	40	7	1	2	3	3	1	0	1	2	239
"59"	52	15	6	179	29	88	115	12	4	2	3	5	2	23	19	502
"60"	53	13	4	111	56	47	232	11	2	5	4	4	4	4	13	510
"61"	54	26	5	373	4	106	12	6	2	3	5	26	10	48	28	654
"62"	55	18	5	413	5	105	15	6	3	4	5	16	14	20	18	647
"63"	56	6	1	58	11	225	13	7	0	4	1	3	3	0	6	338
"64"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"66"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"67"	57	23	7	118	5	102	75	5	5	3	4	9	3	4	4	367
"68"	58	10	25	140	14	170	77	8	1	6	1	3	3	5	8	471
"69"	59	25	11	345	34	132	12	5	4	6	7	7	7	9	13	617
"70"	60	5	1	270	20	160	8	6	2	4	5	4	8	20	13	526
"71"	61	24	12	390	43	236	13	7	7	4	7	7	6	10	10	776
"72"	62	21	11	382	13	390	52	6	6	2	6	6	15	4	10	924
"73"	63	11	2	279	7	139	36	8	3	1	4	6	10	12	11	529
"74"	64	14	10	232	3	66	130	3	5	6	1	5	7	12	12	506
"75"	65	24	20	211	7	140	138	6	4	3	3	2	2	8	7	575
"76"	66	10	2	336	99	145	18	3	1	26	41	3	9	8	8	709
"77"	67	5	42	117	208	16	7	2	3	2	6	1	2	3	5	419
"78"	68	6	24	153	209	56	39	2	1	4	2	5	12	7	9	529
"79"	69	7	37	110	61	39	5	1	1	0	0	0	0	1	0	262
"80"	70	7	2	181	77	61	13	0	4	1	3	2	7	8	2	368
"81"	71	7	21	78	164	40	195	7	4	5	3	9	4	6	7	550
"82"	72	17	13	245	13	213	20	10	5	7	7	9	13	33	32	637
"83"	73	22	10	143	6	259	31	2	3	4	4	6	7	20	5	522
"84"	74	71	7	349	11	86	14	3	6	2	3	12	12	28	21	625
