"No.of.Valid.Votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"3"	"1"	""	"310"	"14"	"26"	"52"	"8"	"1"	"5"	"2"	"2"	"10"	"23"	"453"
"4"	"2"	""	"225"	"15"	"14"	"252"	"10"	"5"	"8"	"8"	"4"	"4"	"16"	"561"
"5"	"3"	""	"244"	"37"	"5"	"130"	"4"	"3"	"2"	"3"	"4"	"2"	"6"	"440"
"6"	"4"	""	"157"	"34"	"5"	"150"	"3"	"2"	"3"	"1"	"1"	"2"	"3"	"361"
"7"	"5"	""	"89"	"16"	"2"	"112"	"3"	"3"	"1"	"2"	"1"	"2"	"5"	"236"
"8"	"6"	""	"57"	"12"	"4"	"57"	"5"	"1"	"3"	"4"	"5"	"6"	"21"	"175"
"9"	"7"	""	"175"	"49"	"4"	"73"	"8"	"1"	"5"	"2"	"4"	"9"	"30"	"360"
"10"	"8"	""	"85"	"29"	"1"	"9"	"2"	"0"	"1"	"1"	"2"	"1"	"4"	"135"
"11"	"9"	""	"262"	"9"	"3"	"88"	"4"	"2"	"2"	"0"	"3"	"2"	"37"	"412"
"12"	"10"	""	"62"	"94"	"12"	"101"	"12"	"5"	"9"	"12"	"8"	"17"	"30"	"362"
"13"	"11"	""	"159"	"53"	"13"	"243"	"7"	"0"	"5"	"6"	"3"	"8"	"23"	"520"
"14"	"12"	""	"115"	"283"	"63"	"61"	"9"	"6"	"3"	"3"	"2"	"5"	"5"	"555"
"15"	"13"	""	"153"	"92"	"13"	"57"	"3"	"1"	"5"	"3"	"3"	"6"	"21"	"357"
