"Polling.Station.No."	"Arvind.Kumar.Akela"	"Kahkasha.Parveen"	"Shobhakant.Mandal"	"Shree.Niwas.Mandal"	"Sadanand.Singh"	"Sunita.Devi"	"Dipak.Kumar"	"Dev.Narayan.Yadav"	"Raju.Ranjana"	"Ram.Kumar.Singh"	"Byomkesh.Mandal"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No..........of.Tendered.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	"1"	26	236	97	52	18	2	4	3	4	5	11	458	0	458	NA
"3"	"2"	20	42	152	20	85	4	6	6	5	3	10	353	0	353	NA
"4"	"3"	9	51	237	14	6	0	2	2	1	2	2	326	0	326	NA
"5"	"4"	9	4	264	8	2	0	2	3	3	0	5	300	0	300	NA
"6"	"5"	4	11	247	2	24	2	4	0	0	0	1	295	0	295	NA
"7"	"6"	19	179	71	32	174	12	5	2	4	9	21	528	0	528	NA
"8"	"6-A"	8	164	42	18	51	3	0	0	1	0	1	288	0	288	NA
"9"	"7"	69	45	246	18	25	1	0	0	8	2	11	425	0	425	NA
"10"	"8"	7	45	316	17	13	0	5	8	6	1	4	422	0	422	NA
"11"	"9"	8	403	117	38	122	4	5	4	4	6	14	725	0	725	NA
"12"	"10"	27	52	596	18	27	3	0	2	4	2	5	736	0	736	NA
"13"	"11"	4	298	71	17	173	5	1	1	0	3	18	591	0	591	NA
"14"	"12"	13	117	354	23	63	7	5	2	4	6	17	611	0	611	NA
"15"	"13"	117	109	133	9	115	5	4	2	6	6	29	535	0	535	NA
"16"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"18"	"14"	13	104	44	15	346	7	3	4	1	5	8	550	0	550	NA
"19"	"15"	18	205	50	20	84	0	1	0	1	2	4	385	0	385	NA
"20"	"16"	81	304	85	19	103	6	4	1	2	3	11	619	0	619	NA
"21"	"17"	11	65	362	10	63	2	5	2	9	4	16	549	0	549	NA
"22"	"17-A"	5	22	192	6	23	0	2	3	1	1	6	261	0	261	NA
"23"	"18"	35	198	291	38	87	2	4	6	7	1	11	680	0	680	NA
"24"	"19"	11	243	168	31	83	5	1	2	2	1	17	564	0	564	NA
"25"	"20"	9	112	90	19	145	10	1	2	4	2	5	399	0	399	NA
"26"	"21"	8	55	23	52	379	17	8	2	5	2	28	579	0	579	NA
"27"	"22"	13	257	120	25	25	1	1	3	2	6	6	459	0	459	NA
"28"	"23"	17	167	63	15	43	2	2	0	1	2	8	320	0	320	NA
"29"	"24"	11	170	55	17	73	1	2	1	2	5	5	342	0	342	NA
"30"	"25"	16	84	80	29	183	22	5	3	6	7	18	453	0	453	NA
"31"	"26"	19	16	108	8	188	18	13	7	3	3	15	398	0	398	NA
"32"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"34"	"27"	16	8	319	2	46	0	1	2	2	2	7	405	0	405	NA
"35"	"28"	50	51	358	19	108	2	2	2	4	4	4	604	0	604	NA
"36"	"29"	7	114	158	11	59	2	2	4	2	1	5	365	0	365	NA
"37"	"30"	10	155	171	27	35	2	4	2	5	6	9	426	0	426	NA
"38"	"31"	11	33	313	7	28	4	2	6	7	2	10	423	0	423	NA
"39"	"32"	15	191	135	21	75	2	3	2	4	10	7	465	0	465	NA
"40"	"33"	9	152	61	12	121	2	2	0	5	7	9	380	0	380	NA
"41"	"34"	3	115	43	7	52	0	0	1	2	3	4	230	0	230	NA
"42"	"35"	17	102	91	19	21	2	3	0	1	0	4	260	0	260	NA
"43"	"36"	152	54	360	10	90	5	4	3	10	5	23	716	0	716	NA
"44"	"37"	120	64	82	29	22	5	28	2	3	1	4	360	0	360	NA
"45"	"38"	180	65	80	14	65	6	10	2	4	5	4	435	0	435	NA
"46"	"39"	117	99	269	32	32	2	2	4	6	6	21	590	0	590	NA
"47"	"40"	143	73	301	32	54	2	8	7	9	8	16	653	0	653	NA
"48"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"50"	"41"	40	181	115	52	98	3	3	5	4	9	24	534	0	534	NA
"51"	"42"	29	84	114	15	263	5	3	0	0	3	6	522	0	522	NA
"52"	"43"	22	232	338	41	110	12	43	3	6	6	14	827	0	827	NA
"53"	"44"	45	104	130	14	154	3	10	6	4	3	12	485	0	485	NA
"54"	"45"	173	42	211	20	128	9	10	3	4	3	7	610	0	610	NA
"55"	"46"	49	76	23	27	182	10	11	4	6	9	14	411	0	411	NA
"56"	"47"	29	111	174	37	91	4	4	4	3	2	8	467	0	467	NA
"57"	"48"	51	81	59	23	106	3	21	1	3	0	8	356	0	356	NA
"58"	"49"	18	62	271	11	85	4	2	4	6	4	4	471	0	471	NA
"59"	"50"	69	154	82	15	132	1	3	2	5	13	7	483	0	483	NA
"60"	"51"	13	37	377	17	8	3	4	1	2	4	14	480	0	480	NA
