"BOOTH.NO"	"BOOTH_E.XT"	"DINESH.KUMAR.SINGH"	"BEETU.SINGH"	"MANGAL.SINGH"	"MANOJ.KUMAR.RAI"	"SRIBHAGWAN.SINGH.KUSHWAHA"	"JAYANTI.DEVI"	"MAHENDRA.CHAUDHARY"	"SUDAMA.PRASAD"	"BEDPRAKASH.SINGH.ALIAS.V.P..SINGH"	"RAJU"	"HUSSAIN.IMAM"	"TOTAL"
"1"	1	""	227	12	2	5	273	4	26	285	8	6	33	881
"2"	2	""	103	0	0	1	202	0	0	53	2	4	4	369
"3"	3	""	176	4	0	1	50	0	7	1	0	0	3	242
"4"	4	""	253	3	5	3	168	6	4	126	5	3	17	593
"5"	5	""	236	5	4	1	177	6	9	108	7	11	43	607
"6"	6	""	366	14	2	3	188	5	1	38	7	4	18	646
"7"	7	""	104	6	0	2	77	1	5	14	8	1	13	231
"8"	8	""	182	4	5	3	127	4	8	132	4	2	14	485
"9"	9	""	724	13	3	3	24	1	1	6	1	1	23	800
"10"	10	""	349	4	7	3	162	2	6	0	1	1	20	555
"11"	11	""	318	3	6	2	196	5	6	55	1	3	8	603
"12"	12	""	159	14	8	5	229	13	7	69	4	10	28	546
"13"	13	""	94	0	3	15	140	6	4	23	2	2	27	316
"14"	14	""	151	4	0	15	113	2	6	8	2	2	14	317
"15"	15	""	445	2	11	1	48	1	1	45	2	2	11	569
"16"	16	""	823	3	4	0	40	0	2	5	1	0	5	883
"17"	17	""	519	9	0	1	57	1	5	2	2	2	8	606
"18"	18	""	299	12	11	4	379	8	5	16	3	3	10	750
"19"	19	""	58	24	48	2	408	4	5	41	1	3	9	603
"20"	20	""	344	22	34	1	161	2	3	35	16	0	18	636
"21"	21	""	365	10	9	5	273	9	8	20	11	9	20	739
"22"	22	""	470	6	12	3	467	17	3	3	1	2	20	1004
"23"	23	""	105	5	2	4	264	8	8	246	8	4	43	697
"24"	24	""	375	7	2	1	78	5	8	132	2	1	18	629
"25"	25	""	276	8	7	2	244	1	8	88	2	0	5	641
"26"	26	""	196	6	7	5	418	7	6	63	2	0	12	722
"27"	27	""	136	3	10	2	397	4	8	19	1	0	14	594
"28"	28	""	195	3	3	0	214	3	0	13	3	0	24	458
"29"	29	""	208	1	5	5	321	3	4	25	2	0	9	583
"30"	30	""	482	5	6	2	101	6	5	53	7	2	14	683
"31"	31	""	566	1	0	0	2	0	0	0	0	0	1	570
"32"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	32	""	574	10	4	8	70	3	10	53	5	2	16	755
"34"	33	""	369	0	0	0	0	0	0	0	0	0	0	369
"35"	34	""	396	4	5	3	318	6	2	60	1	5	14	814
"36"	35	""	399	1	7	3	264	6	3	41	13	5	29	771
"37"	36	""	298	2	6	1	137	2	2	15	8	0	12	483
"38"	37	""	265	4	3	0	98	3	3	59	5	2	13	455
"39"	38	""	331	11	5	1	116	4	1	35	4	1	19	528
"40"	39	""	291	1	6	0	43	1	1	5	0	0	2	350
"41"	40	""	173	2	5	2	231	0	3	113	4	3	13	549
"42"	41	""	444	13	6	2	141	2	6	25	11	3	12	665
"43"	42	""	311	9	9	2	216	11	9	99	8	4	29	707
"44"	43	""	226	1	3	1	176	3	1	41	0	1	0	453
"45"	44	""	249	8	1	7	170	1	6	104	7	7	16	576
"46"	45	""	451	1	3	0	49	1	1	7	1	1	3	518
"47"	46	""	545	3	3	0	99	1	1	15	0	2	9	678
"48"	47	""	695	5	0	0	73	1	0	0	0	0	0	774
"49"	48	""	122	0	1	0	422	0	2	5	0	1	0	553
"50"	48	"A"	108	3	5	2	283	4	6	29	2	1	17	460
"51"	49	""	236	12	9	1	85	1	2	76	1	3	8	434
"52"	50	""	118	6	15	2	178	6	7	90	2	3	15	442
"53"	51	""	383	9	0	0	10	1	0	0	0	2	8	413
"54"	52	""	188	11	3	2	186	8	5	18	5	5	25	456
"55"	53	""	343	2	1	1	86	1	2	2	1	0	1	440
"56"	54	""	468	40	6	3	147	6	1	21	10	5	14	721
