"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 120 AMNOUR CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency : 120 Amnou                                                                                                                                                                                                                      No. of Voters: 192748"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"CANDIDATES NAME"	""	"KRISHNA KUMAR"	"JITENDRA KUMAR SINGH"	"RAHUL KUMAR SINGH"	"VIDYACHAND RAY"	"SHAILENDRA PRATAP"	"DHANA DEVI"	"RAMNATH BHAGAT"	"AWADHESH SINGH"	"ASHRAF ALI KHAN"	"GINNI LAL SINGH"	"NAGENDRA RAM"	"YOGENDRA PRASAD YADAV"	"RAM KRISHNA SINGH"	"SHATRUDHAN TIWARY"	"SUNIL KUMAR"	"TOTAL VALID VOTES"
"6"	"BOOTH
_NO"	"BOOTH
_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"TOTAL"
"7"	"1"	""	"103"	"54"	"6"	"8"	"32"	"1"	"0"	"5"	"2"	"4"	"5"	"5"	"2"	"27"	"48"	"302"
"8"	"2"	""	"164"	"27"	"4"	"10"	"127"	"8"	"4"	"4"	"3"	"6"	"23"	"15"	"10"	"23"	"71"	"499"
"9"	"3"	""	"198"	"56"	"5"	"8"	"182"	"10"	"4"	"11"	"0"	"3"	"12"	"4"	"5"	"11"	"11"	"520"
"10"	"4"	""	"114"	"84"	"3"	"9"	"67"	"0"	"2"	"25"	"2"	"2"	"7"	"5"	"3"	"4"	"64"	"391"
"11"	"5"	""	"213"	"210"	"30"	"12"	"63"	"9"	"25"	"7"	"1"	"4"	"6"	"8"	"3"	"43"	"70"	"704"
"12"	"6"	""	"92"	"228"	"11"	"5"	"79"	"3"	"2"	"7"	"3"	"4"	"16"	"6"	"4"	"27"	"15"	"502"
"13"	"7"	""	"118"	"22"	"4"	"4"	"104"	"8"	"2"	"6"	"0"	"0"	"13"	"6"	"3"	"14"	"79"	"383"
"14"	"8"	""	"56"	"68"	"2"	"5"	"92"	"4"	"3"	"6"	"1"	"0"	"8"	"4"	"0"	"1"	"11"	"261"
"15"	"9"	""	"163"	"20"	"11"	"3"	"115"	"7"	"9"	"5"	"4"	"5"	"14"	"5"	"15"	"15"	"152"	"543"
"16"	"10"	""	"292"	"26"	"14"	"14"	"98"	"16"	"13"	"17"	"5"	"3"	"24"	"17"	"8"	"69"	"126"	"742"
"17"	"11"	""	"59"	"13"	"2"	"6"	"190"	"7"	"3"	"5"	"2"	"4"	"7"	"3"	"0"	"13"	"189"	"503"
"18"	"12"	""	"126"	"24"	"3"	"10"	"105"	"6"	"5"	"2"	"0"	"2"	"10"	"10"	"6"	"22"	"73"	"404"
"19"	"13"	""	"191"	"45"	"4"	"7"	"79"	"1"	"6"	"16"	"7"	"5"	"11"	"10"	"12"	"88"	"110"	"592"
