"Candidates..Name......."	"ABHASH.KUMAR.JHA"	"RAM.NATH.PRASAD"	"RAM.VILAS.ROY.VIMAL"	"RAMASHRAYA.SAHNI"	"VIJAY.KUMAR.CHAUDHARY"	"KAILASH.SAH"	"RAM.PRAMOD.MISHRA"	"SANTOSH.KUMAR.JHA"	"GOPAL.PRASAD.VERMA"	"RAM.WAWU.CHAURASIA"	"Total.Valid.Votes"
"1"	"BOOTH NO"	3	4	5	6	7	8	9	10	11	12	""
"2"	"1"	72	9	37	318	245	14	31	8	25	24	"783"
"3"	"2"	50	9	20	111	232	16	18	9	15	9	"489"
"4"	"2A"	47	4	13	159	145	8	13	6	11	10	"416"
"5"	"3"	50	3	23	71	170	5	7	5	8	4	"346"
"6"	"4"	51	7	15	182	416	9	9	19	31	19	"758"
"7"	"5"	24	6	136	117	181	9	9	10	23	26	"541"
"8"	"6"	28	3	13	321	117	11	38	10	17	23	"581"
"9"	"7"	68	11	31	222	453	35	33	10	31	22	"916"
"10"	"8"	28	12	13	53	270	4	7	7	25	9	"428"
"11"	"8A"	16	3	12	65	252	100	8	8	15	15	"494"
"12"	"9"	114	4	12	47	372	6	31	6	12	11	"615"
"13"	"10"	10	4	10	158	243	7	15	11	27	17	"502"
"14"	"11"	30	3	8	329	208	12	16	6	15	14	"641"
"15"	"12"	27	9	18	243	302	7	19	11	24	6	"666"
"16"	"13"	30	3	8	284	65	6	15	3	4	4	"422"
"17"	"13A"	16	2	7	228	69	5	14	5	4	13	"363"
"18"	"14"	17	1	2	141	298	4	9	7	11	5	"495"
"19"	"15"	17	3	9	327	55	11	15	6	10	14	"467"
"20"	"15A"	25	4	6	299	97	47	16	7	11	19	"531"
"21"	"16"	36	8	14	366	239	9	18	12	18	9	"729"
"22"	"17"	122	5	19	220	318	21	27	9	25	34	"800"
"23"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"24"	"18"	20	3	7	286	116	5	18	10	12	17	"494"
"25"	"19"	17	6	6	296	101	94	23	5	8	3	"559"
"26"	"20"	13	5	8	296	101	23	18	11	15	23	"513"
"27"	"21"	27	4	10	44	299	13	7	7	16	8	"435"
"28"	"21A"	17	4	10	22	320	6	7	5	15	9	"415"
"29"	"22"	11	5	11	190	226	10	10	5	9	6	"483"
"30"	"23"	19	3	6	365	120	15	37	3	10	3	"581"
"31"	"24"	29	5	20	244	277	28	25	9	60	46	"743"
"32"	"25"	16	6	15	292	171	7	14	10	32	16	"579"
"33"	"26"	25	5	11	41	361	2	10	7	24	3	"489"
"34"	"27"	11	6	13	97	255	2	12	3	22	11	"432"
"35"	"28"	20	4	11	227	473	12	11	7	28	17	"810"
"36"	"29"	32	2	7	55	351	9	7	4	15	14	"496"
"37"	"30"	23	7	15	174	292	16	19	12	38	70	"666"
"38"	"31"	15	1	8	45	195	7	2	4	16	123	"416"
"39"	"32"	26	4	8	127	297	16	8	5	11	18	"520"
"40"	"33"	21	2	15	169	241	24	16	15	28	21	"552"
"41"	"34"	42	4	11	44	313	8	4	5	13	12	"456"
"42"	"35"	21	2	15	91	377	13	8	9	19	15	"570"
"43"	"36"	29	4	13	254	234	4	11	4	15	21	"589"
"44"	"37"	93	15	16	103	254	10	23	8	19	9	"550"
"45"	"38"	23	3	2	110	341	7	18	8	26	29	"567"
"46"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"47"	"39"	13	4	4	35	282	9	7	7	17	22	"400"
"48"	"40"	32	3	79	402	222	11	25	25	24	29	"852"
"49"	"41"	40	2	11	132	269	4	13	8	19	23	"521"
"50"	"42"	27	3	18	283	402	22	8	8	21	23	"815"
"51"	"43"	28	3	6	217	248	5	13	5	4	10	"539"
"52"	"44"	27	14	12	403	303	45	29	10	24	19	"886"
"53"	"45"	17	2	5	106	189	4	4	2	6	16	"351"
"54"	"45A"	32	3	8	250	148	6	20	6	9	3	"485"
"55"	"46"	34	7	9	133	368	32	19	16	18	21	"657"
"56"	"47"	41	4	12	89	274	14	14	8	40	226	"722"
"57"	"48"	20	1	7	97	292	8	6	3	14	4	"452"
"58"	"48A"	15	4	5	83	284	22	6	6	17	20	"462"
"59"	"49"	51	5	12	140	436	11	13	9	23	9	"709"
"60"	"50"	11	2	6	198	213	11	16	5	11	21	"494"
"61"	"51"	12	1	4	132	163	3	2	2	12	11	"342"
"62"	"52"	4	2	1	21	204	12	2	4	2	3	"255"
"63"	"53"	22	1	12	187	231	3	13	6	12	38	"525"
"64"	"54"	19	6	37	221	384	11	15	13	18	18	"742"
"65"	"55"	13	2	8	141	235	5	9	2	12	10	"437"
"66"	"55A"	11	3	16	47	296	3	8	9	12	1	"406"
"67"	"56"	28	6	8	103	707	12	15	2	6	4	"891"
"68"	"57"	26	3	14	314	225	9	30	8	23	21	"673"
"69"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"70"	"58"	35	3	12	87	299	6	5	7	14	10	"478"
"71"	"59"	21	5	6	282	360	7	2	9	12	24	"728"
"72"	"60"	20	3	4	165	273	16	21	14	20	32	"568"
