"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"2"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"3"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"4"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"5"	"1"	"135"	"5"	"6"	"116"	"26"	"4"	"3"	"0"	"5"	"300"	"0"	"300"	"0"
"6"	"2"	"82"	"3"	"4"	"197"	"95"	"13"	"4"	"2"	"3"	"403"	"0"	"403"	"0"
"7"	"3"	"194"	"23"	"12"	"158"	"10"	"4"	"6"	"0"	"19"	"426"	"0"	"426"	"0"
"8"	"4"	"20"	"5"	"4"	"336"	"4"	"10"	"4"	"0"	"4"	"387"	"0"	"387"	"0"
"9"	"5"	"14"	"3"	"1"	"280"	"1"	"18"	"3"	"1"	"3"	"324"	"0"	"324"	"0"
"10"	"6"	"128"	"5"	"4"	"217"	"7"	"7"	"1"	"2"	"3"	"374"	"0"	"374"	"0"
"11"	"7"	"43"	"8"	"4"	"471"	"11"	"14"	"6"	"1"	"4"	"562"	"0"	"562"	"0"
"12"	"8"	"128"	"13"	"12"	"249"	"53"	"4"	"9"	"1"	"6"	"475"	"0"	"475"	"0"
"13"	"9"	"117"	"10"	"16"	"144"	"4"	"4"	"2"	"3"	"8"	"308"	"0"	"308"	"0"
"14"	"10"	"29"	"17"	"15"	"449"	"8"	"7"	"6"	"4"	"12"	"547"	"0"	"547"	"0"
"15"	"11"	"178"	"117"	"5"	"135"	"22"	"2"	"4"	"3"	"3"	"469"	"0"	"469"	"0"
"16"	"12"	"113"	"14"	"23"	"439"	"20"	"5"	"5"	"2"	"7"	"628"	"0"	"628"	"0"
"17"	"13"	"143"	"9"	"20"	"141"	"19"	"1"	"0"	"1"	"2"	"336"	"0"	"336"	"0"
