"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ fo/kku l Hkk vke fuokZpu {ks= esa 159&vej i qj  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½159&vej i qj  fo/kku l Hkk          l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 2]33]495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"8"	""	"t uknZu
eka>h"	"eukst
vkt kn"	"j kd s' k
d qekj fl ag"	"l qj sUnz
i zl kn
fl ag"	"vuhy
d qekj fl ag"	"vfer
d qekj
>k"	"d snkj
i zl kn
fl ag"	"i ad t
d qekj"	"csch
nsoh"	"j es' k
d qekj pkS/kj h"	"fouksn
d qekj"	"t okgj y
ky
i kl oku"	"l qj s' k
i kl oku"	"l S; n
vy enkj gql Su"	""	""	""	""
"9"	"1"	"324"	"19"	"19"	"8"	"29"	"1"	"3"	"0"	"8"	"1"	"4"	"1"	"0"	"4"	"421"	"0"	"421"	"0"
"10"	"2"	"324"	"37"	"36"	"172"	"14"	"5"	"13"	"4"	"10"	"12"	"37"	"3"	"5"	"14"	"686"	"0"	"686"	"0"
"11"	"3"	"88"	"0"	"40"	"0"	"160"	"1"	"32"	"0"	"13"	"2"	"1"	"0"	"0"	"0"	"337"	"0"	"337"	"0"
"12"	"4"	"296"	"2"	"108"	"14"	"160"	"1"	"5"	"0"	"7"	"0"	"3"	"0"	"0"	"0"	"596"	"0"	"596"	"0"
"13"	"5"	"95"	"1"	"214"	"8"	"56"	"4"	"35"	"1"	"15"	"1"	"2"	"0"	"2"	"8"	"442"	"0"	"442"	"0"
"14"	"6"	"407"	"3"	"92"	"3"	"54"	"2"	"2"	"0"	"12"	"3"	"1"	"0"	"0"	"4"	"583"	"0"	"583"	"0"
"15"	"7"	"121"	"0"	"43"	"4"	"5"	"0"	"1"	"0"	"5"	"1"	"1"	"2"	"0"	"2"	"185"	"0"	"185"	"0"
"16"	"8"	"380"	"6"	"67"	"29"	"30"	"3"	"5"	"0"	"11"	"3"	"12"	"0"	"0"	"10"	"556"	"0"	"556"	"0"
"17"	"9"	"268"	"11"	"28"	"68"	"22"	"5"	"4"	"4"	"47"	"6"	"11"	"2"	"6"	"20"	"502"	"0"	"502"	"0"
