"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 150---Beldaur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :150---Beldaur                                                                                                                            No of Voters :234655"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Candidates  Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	"UMA DEVI"	"PANNA LAL SINGH \"PATEL\""	"MEENA SINGH"	"SANJAY KUMAR"	"SATYA NARAYAN SINGH"	"SUNITA SHARMA"	"TEJ BAHADUR SINGH"	"RAMANAND SHARMA"	"VINOD YADAV"	"ANITA BIHARI"	"RAM KUMAR YADAV"	"VIKASH KUMAR"	"VIJAY KUMAR PANDAV"	"Total Valid Votes"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"8"	"1"	"250"	"66"	"2"	"2"	"33"	"143"	"9"	"9"	"12"	"32"	"15"	"13"	"256"	"842"
"9"	"2"	"234"	"61"	"2"	"1"	"19"	"2"	"1"	"1"	"1"	"3"	"1"	"2"	"26"	"354"
"10"	"3"	"567"	"53"	"1"	"5"	"96"	"6"	"2"	"0"	"3"	"41"	"3"	"3"	"14"	"794"
"11"	"4"	"23"	"88"	"1"	"2"	"57"	"43"	"6"	"6"	"8"	"9"	"16"	"26"	"85"	"370"
"12"	"5"	"63"	"201"	"9"	"3"	"34"	"15"	"3"	"2"	"0"	"17"	"5"	"8"	"21"	"381"
"13"	"5A"	"14"	"243"	"9"	"3"	"13"	"63"	"5"	"3"	"9"	"14"	"12"	"8"	"26"	"422"
"14"	"6"	"431"	"57"	"4"	"2"	"59"	"135"	"13"	"11"	"12"	"6"	"8"	"35"	"67"	"840"
"15"	"7"	"149"	"54"	"3"	"3"	"61"	"260"	"13"	"6"	"3"	"5"	"6"	"11"	"35"	"609"
"16"	"8"	"86"	"205"	"7"	"4"	"255"	"134"	"5"	"10"	"5"	"8"	"5"	"17"	"37"	"778"
"17"	"9"	"22"	"257"	"2"	"3"	"127"	"55"	"7"	"5"	"1"	"2"	"3"	"6"	"21"	"511"
"18"	"10"	"18"	"56"	"5"	"7"	"413"	"138"	"11"	"9"	"7"	"12"	"10"	"26"	"22"	"734"
"19"	"11"	"23"	"22"	"0"	"1"	"184"	"60"	"3"	"3"	"3"	"2"	"7"	"4"	"31"	"343"
"20"	"12"	"10"	"36"	"1"	"2"	"34"	"297"	"8"	"4"	"3"	"7"	"7"	"16"	"7"	"432"
"21"	"13"	"54"	"454"	"12"	"1"	"42"	"27"	"9"	"1"	"1"	"3"	"3"	"7"	"102"	"716"
"22"	"14"	"34"	"232"	"3"	"1"	"214"	"10"	"6"	"4"	"2"	"6"	"6"	"7"	"20"	"545"
"23"	"15"	"112"	"175"	"3"	"2"	"167"	"25"	"5"	"2"	"5"	"4"	"4"	"7"	"28"	"539"
"24"	"16"	"18"	"421"	"10"	"5"	"93"	"124"	"17"	"8"	"7"	"5"	"8"	"22"	"35"	"773"
"25"	"17"	"30"	"125"	"5"	"3"	"56"	"270"	"20"	"26"	"168"	"15"	"17"	"31"	"47"	"813"
"26"	"18"	"22"	"121"	"10"	"3"	"25"	"304"	"26"	"19"	"23"	"27"	"13"	"30"	"48"	"671"
"27"	"19"	"13"	"187"	"4"	"3"	"22"	"263"	"16"	"5"	"45"	"9"	"6"	"17"	"17"	"607"
"28"	"20"	"260"	"243"	"8"	"3"	"19"	"50"	"11"	"4"	"2"	"8"	"2"	"5"	"70"	"685"
"29"	"21"	"11"	"285"	"4"	"4"	"11"	"107"	"8"	"2"	"1"	"2"	"3"	"16"	"25"	"479"
"30"	"22"	"15"	"116"	"4"	"1"	"11"	"324"	"9"	"6"	"3"	"8"	"4"	"17"	"25"	"543"
"31"	"23"	"81"	"141"	"7"	"5"	"54"	"328"	"19"	"10"	"6"	"8"	"9"	"29"	"40"	"737"
"32"	"24"	"10"	"123"	"3"	"1"	"42"	"230"	"6"	"7"	"5"	"7"	"6"	"19"	"50"	"509"
"33"	"25"	"25"	"342"	"2"	"4"	"436"	"14"	"8"	"9"	"11"	"14"	"10"	"21"	"66"	"962"
"34"	"26"	"86"	"444"	"5"	"5"	"109"	"52"	"8"	"2"	"13"	"14"	"9"	"28"	"28"	"803"
"35"	"27"	"43"	"349"	"14"	"6"	"51"	"51"	"4"	"3"	"3"	"13"	"6"	"16"	"13"	"572"
