"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"
"1"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Bihar Legislative Assembly General Election 2010 Name of the Assembly Consitutuency - 106-Ziradei"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling Staition"	"No. Of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Vote"	"No. of rejected votes"	"Total"	"No. of tender ed voters"
"4"	""	"Asha Devi"	"Dinesh Kumar Singh"	"Parash Nath Pathak"	"Binay Kumar Singh Bihari Bhaiya"	"Shiva Shankar Yadav"	"Amarje et Kushw aha"	"Arti Devi"	"Bijay Prakash Srivasta va"	"Manoj Kumar Singh"	"Mahat ma Singh"	"Rakesh Kumar Pandey"	"Vijay Kumar"	"Om Prakas h Singh"	"Krish ancha ndra Singh"	"Jayna rayan Tiwari"	"Jugul Kishor Singh"	"Jonha Devi"	"Dr. Tribhu wan Singh"	"Nand Lal Yadav"	"Param anand Gond"	"Bharat Bhagat"	"Rana Pratap Singh"	"Shahn avaj"	"Shiv Prasad Sharma"	"Shree niwas Yadav"	"Sanjay Kumar Singh"	"Satye ndra"	"Sudhir Kumar Jaiswal"	"Suresh Singh"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"
"6"	"1"	"182"	"3"	"15"	"6"	"175"	"86"	"7"	"4"	"7"	"7"	"6"	"20"	"9"	"8"	"8"	"32"	"29"	"3"	"15"	"7"	"16"	"57"	"4"	"9"	"9"	"6"	"3"	"10"	"10"	"753"	"0"	"753"	"0"
"7"	"2"	"200"	"10"	"2"	"2"	"24"	"28"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"4"	"11"	"9"	"2"	"3"	"1"	"1"	"20"	"1"	"2"	"0"	"2"	"1"	"16"	"4"	"351"	"0"	"351"	"0"
"8"	"3"	"85"	"2"	"5"	"5"	"50"	"18"	"2"	"0"	"4"	"5"	"4"	"3"	"1"	"4"	"6"	"22"	"10"	"5"	"5"	"4"	"5"	"36"	"3"	"1"	"2"	"4"	"0"	"22"	"9"	"322"	"0"	"322"	"0"
"9"	"4"	"14"	"2"	"1"	"1"	"138"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"12"	"0"	"0"	"0"	"2"	"1"	"6"	"3"	"190"	"0"	"190"	"0"
"10"	"5"	"341"	"4"	"30"	"2"	"13"	"17"	"2"	"4"	"1"	"3"	"3"	"6"	"1"	"5"	"7"	"30"	"9"	"2"	"10"	"0"	"1"	"4"	"1"	"0"	"2"	"1"	"2"	"25"	"14"	"540"	"0"	"540"	"0"
"11"	"6"	"347"	"10"	"4"	"1"	"47"	"95"	"3"	"5"	"7"	"5"	"11"	"14"	"2"	"7"	"17"	"42"	"26"	"2"	"3"	"2"	"0"	"15"	"2"	"10"	"5"	"2"	"7"	"11"	"11"	"713"	"0"	"713"	"0"
"12"	"7"	"319"	"8"	"17"	"4"	"58"	"38"	"7"	"4"	"4"	"1"	"6"	"3"	"4"	"4"	"8"	"24"	"8"	"9"	"8"	"0"	"5"	"97"	"2"	"1"	"43"	"9"	"4"	"8"	"8"	"711"	"0"	"711"	"0"
"13"	"8"	"163"	"2"	"6"	"8"	"59"	"49"	"0"	"2"	"3"	"3"	"5"	"9"	"3"	"2"	"9"	"19"	"6"	"4"	"2"	"1"	"0"	"59"	"2"	"2"	"0"	"1"	"1"	"16"	"6"	"442"	"0"	"442"	"0"
"14"	"9"	"110"	"3"	"0"	"3"	"5"	"132"	"3"	"4"	"0"	"4"	"7"	"10"	"0"	"21"	"3"	"9"	"11"	"0"	"14"	"4"	"3"	"112"	"7"	"4"	"1"	"2"	"3"	"9"	"8"	"492"	"0"	"492"	"0"
"15"	"9(A)"	"42"	"1"	"0"	"4"	"7"	"177"	"9"	"2"	"2"	"7"	"4"	"5"	"5"	"2"	"4"	"18"	"6"	"1"	"8"	"1"	"2"	"132"	"7"	"4"	"5"	"3"	"2"	"8"	"9"	"477"	"0"	"477"	"0"
"16"	"10"	"62"	"2"	"9"	"4"	"35"	"85"	"1"	"0"	"1"	"1"	"4"	"4"	"0"	"1"	"3"	"1"	"12"	"2"	"16"	"3"	"1"	"94"	"1"	"8"	"4"	"1"	"2"	"23"	"4"	"384"	"0"	"384"	"0"
"17"	"11"	"209"	"3"	"9"	"6"	"25"	"119"	"23"	"2"	"5"	"7"	"7"	"10"	"5"	"13"	"6"	"38"	"12"	"2"	"83"	"1"	"4"	"46"	"1"	"2"	"13"	"1"	"7"	"19"	"15"	"693"	"0"	"693"	"0"
"18"	"12"	"236"	"3"	"7"	"4"	"120"	"103"	"2"	"3"	"4"	"10"	"8"	"13"	"2"	"9"	"10"	"29"	"5"	"1"	"3"	"0"	"4"	"8"	"2"	"3"	"3"	"1"	"0"	"14"	"0"	"607"	"0"	"607"	"0"
"19"	"13"	"316"	"6"	"1"	"2"	"109"	"12"	"1"	"0"	"1"	"2"	"3"	"4"	"0"	"2"	"4"	"4"	"3"	"3"	"1"	"0"	"3"	"15"	"0"	"0"	"0"	"2"	"0"	"16"	"0"	"510"	"0"	"510"	"0"
"20"	"Total Votes"	"2626"	"59"	"106"	"52"	"865"	"964"	"62"	"31"	"40"	"55"	"68"	"103"	"33"	"81"	"89"	"280"	"146"	"37"	"172"	"24"	"45"	"707"	"33"	"46"	"87"	"37"	"33"	"203"	"101"	"7185"	"0"	"7185"	"0"
"21"	"Previo us round votes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"Cumul ative Total Votes"	"2626"	"59"	"106"	"52"	"865"	"964"	"62"	"31"	"40"	"55"	"68"	"103"	"33"	"81"	"89"	"280"	"146"	"37"	"172"	"24"	"45"	"707"	"33"	"46"	"87"	"37"	"33"	"203"	"101"	"7185"	"0"	"7185"	"0"
"23"	"Serial No. of Polling Staition"	"No. Of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Vote"	"No. of rejected votes"	"Total"	"No. of tender ed voters"
